content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-PPSA01397_00-RAINBOWSIXSIEGE0,PPSA01397,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01397_00-RB6SIEGESPDELU05,PPSA01397,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01397_00-RB6SIEGESPGOLD05,PPSA01397,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01397_00-RB6SIEGESPULTI05,PPSA01397,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01408_00-JD2021PS5SCEE000,PPSA01408,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWFULLGAME00000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWLP00010000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWRE00010000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWRE00020000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWSP00010000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-ORWUE00010000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-PCP0000000000001,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-PCP0000000000002,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-PCP0000000000003,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-PCP0000000000004,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-PCP0000000000005,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-WDLGOLD000000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01488_00-WDLULTI000000000,PPSA01488,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-EDITIONGOLD00000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-EDITIONULTIMATE0,PPSA01490,PS5,PSN,BUNDLE,EP0001,EP,PS5
EP0001-PPSA01490_00-EXPANSIONPASS000,PPSA01490,PS5,PSN,DLC,EP0001,EP,PS5
EP0001-PPSA01490_00-GAME000000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-HCR0000000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-HCR0010000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-HCR0020000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-HCR0030000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-HCR0040000000000,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
EP0001-PPSA01490_00-STOREPACKBUNDLE0,PPSA01490,PS5,PSN,DLC,EP0001,EP,PS5
EP0001-PPSA01490_00-ULCQUEST00000001,PPSA01490,PS5,PSN,BASE_GAME,EP0001,EP,PS5
