content_id,title_id,platform,distribution,content_type,store,store_region,region
EP4037-SLES51630_00-AVPLAYITCH000001,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000002,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000003,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000004,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000005,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000006,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES51630_00-AVPLAYITCH000007,SLES51630,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000001,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000002,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000003,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000006,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000007,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000008,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000009,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000010,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000011,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000012,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000013,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000014,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000015,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000016,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000017,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000018,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000019,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000020,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000021,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
EP4037-SLES52902_00-AVARCADECL000022,SLES52902,PS1,DISC,BASE_GAME,EP4037,EP,EUROPE
