content_id,title_id,platform,distribution,content_type,store,store_region,region
IV0004-NPXS70025_00-0000000VIDEOTEST,NPXS70025,SYSTEM,SYSTEM,SYSTEM,IV0004,IV,UNKNOWN
JP0700-NPXP00100_00-0000000000010001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010201,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010301,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010401,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010501,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010601,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010701,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010801,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000010901,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011201,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011301,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011401,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011501,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011601,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011701,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000011801,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000012001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000012101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000020001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000020101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000020201,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000020301,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000020401,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000030001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000030101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000030301,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000030401,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000040001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000040101,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000040301,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000040401,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050000,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050002,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050003,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050004,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050005,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050007,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050008,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050009,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050010,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050011,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050012,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050023,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050025,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000050029,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060000,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060001,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060002,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060003,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060004,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060005,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060007,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060008,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060009,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060010,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060011,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060012,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060014,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060015,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
JP0700-NPXP00100_00-0000000000060018,NPXP00100,SYSTEM,SYSTEM,SYSTEM,JP0700,JP,UNKNOWN
