game_name,id,category,description,game_id,rom_name,size,crc,md5,sha1,sha256
& - Sora no Mukou de Saki Masuyou ni (Japan),45535,Games,& - Sora no Mukou de Saki Masuyou ni (Japan),JP0745-NPJB00488_00-ANDPS30000000000,yUqNCOTlrqRHyxVxCaTYjznOLmnjrTrBPreWihmizeGZASHXggXZvcZuQEpkAKNVUcPHKJRvPfbdExiirmOVXhwcgbiCPOIYBAPXZ.pkg,4319410288,27cfd854,7469a20ef81ded6eb29f47d7b3753426,fe5b855e612533a8ea039b85a8ef2e76016c94c3,ca514dd9906c2d80e1e10564ca74b8dafc6bcedafc9ef14d58e9593a8c52d684
& - Sora no Mukou de Saki Masuyou ni (Japan),45535,Games,& - Sora no Mukou de Saki Masuyou ni (Japan),JP0745-NPJB00488_00-ANDPS30000000000,JP0745-NPJB00488_00-ANDPS30000000000.rap,16,dca78fad,8f633f1bc8b88073ea2bdd29c02e7ebc,ffa437d742c69f5f0150583a18def4eba3b4d39f,a78996c4b91162821bbb4759b18129bec988f12f533d49061ad4259e37da0b23
#Killallzombies (USA),19382,Games,#Killallzombies (USA),UP4235-NPUB31857_00-KAZPS3000000000U,UP4235-NPUB31857_00-KAZPS3000000000U_bg_1_586b7924c39a7b6584f2888591025d5e947087e3.pkg,146999232,49a2243e,df820d585da5d5340463b499e6b3e9f6,ce6a2386dd0ce0dc2772f114c69a2861b4f7a325,
#Killallzombies (USA),19382,Games,#Killallzombies (USA),UP4235-NPUB31857_00-KAZPS3000000000U,UP4235-NPUB31857_00-KAZPS3000000000U.rap,16,cb643686,e4bc810e8dcdcb5a19c960e8a99837c1,5f812fa0e458fc494222000f4895422c94851890,964f81ff724a2765f5ed3281722bedf51dda8656e2172167cfc8e855966e1221
10 Pin - Champions Alley (Europe) (PS2 Classics),45903,,10 Pin - Champions Alley (Europe) (PS2 Classics),EP4003-NPED00258_00-G10PNCMPAL000ENG,EP4003-NPED00258_00-G10PNCMPAL000ENG.rap,16,664b80e1,969e49b2aa19e8b8d161bb1b927cad63,24816927ec21bf3dce14a123eba72b604d78d16c,44e0f1a9a5318dc071391ca582373a8492f19c6eb175dab7f8e83c46250ee106
10 Pin - Champions Alley (Europe) (PS2 Classics),45903,,10 Pin - Champions Alley (Europe) (PS2 Classics),EP4003-NPED00258_00-G10PNCMPAL000ENG,shkhniqweFtWTohLVxXzGmVEvYhjLiFqGMbWnLfHTZSgmVqgANejyonOIhCANWIT.pkg,127585408,609022ec,2b684249c8ad2ac73ded3afeaac75177,169726d256ad8f231f7b16e998358d5d0438d4de,0d2140b83c3b1b90178479a494e499117e16891c54fb93d60c1db76cbe408101
100-en Gomi Bako (Japan),34731,,100-en Gomi Bako (Japan),JP9000-NPJA00044_00-0000000000000140,eiU3hLaAca0iyLuweGO3gI9WXdjOklcJDsagcwMyx9aDT5s9ouwlG2oREhk8dI2iLEOb9LOo7jNTLhNDveK5gO5te0kjtLT3qe2OX.pkg,355770848,7a5fa414,db7799d5fb71af7fa8de4ab3eda9eca4,a734287a4c7e284206d2045fc6cd96ecfdd3fb96,
100-en Gomi Bako (Japan),34731,,100-en Gomi Bako (Japan),JP9000-NPJA00044_00-0000000000000140,JP9000-NPJA00044_00-0000000000000140.rap,16,dc059e10,943c073f906ec4b37d678c4727998e23,bf3c8d639e0233ba03ff9b760f50f3d25d5564d5,
1942 - Joint Strike (Asia) (Demo),00847,,1942 - Joint Strike (Asia) (Demo),HP0102-NPHB00042_00-1942XXXXX0123456,6AckKNk2meccF7jSxSfLPHJIQG22exAKwniK96rCyjjkPGF4q4GKssa2dkfkf2IFsJN1HrLBeHxCpbDcC2GKQgRky8m8yBKRXgg4S.pkg,135987344,c2e10e0a,4486aea2add67505d126918bbb9d975d,39c60aacc752dcb3708ea804038899908ca9ee90,
1942 - Joint Strike (Europe),00848,,1942 - Joint Strike (Europe),EP0102-NPEB00026_00-1942XXXXX0123456,yJ7yw8SPA8Yb1I5aPKvLdESC5FcaLVu0teuWnXYowjiN8XDpsoeSBGqYXQQQAgHcHMqMNTejW8DKKR6BO0JUAIvucfcEeKYk48LxN.pkg,135987344,3f5c6c82,f622d6c7c94de2856f07e4396c842339,4707c5e6b4c130b09aca6a21cb3d568cb79fbee9,
