,title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,,Makai Senki Disgaea 3 - Raspberyl-hen Hajimemashita. (Japan),,JP,,,,DISC,ADD_ON
,,"Borderlands Triple Pack (USA) (En,Fr,De,Es,It) (Add-On Installation Disc)",,US,,,,DISC,ADD_ON
,,"Elder Scrolls IV, The - Shivering Isles (USA)",,US,,,,DISC,ADD_ON
,,Final Fantasy XIV Online - Heavensward (USA),,US,,,,DISC,ADD_ON
,,"Borderlands 2 - Game of the Year Edition (Europe) (En,Fr,De,Es,It) (Add-On Disc)",,EU,,,,DISC,ADD_ON
,,"Borderlands 2 - Add-On Content Pack (Europe) (En,Fr,De,Es,It)",,EU,,,,DISC,ADD_ON
,,"Borderlands Triple Pack (Europe) (En,Fr,De,Es,It) (Add-On Installation Disc)",,EU,,,,DISC,ADD_ON
,,Borderlands 2 - Add-On Content Pack (USA),,US,,,,DISC,ADD_ON
,,Borderlands 2 - Game of the Year Edition (USA) (Add-On Disc),,US,,,,DISC,ADD_ON
,,Makai Senki Disgaea 4 - Fuuka & Desco-hen Hajimemashita. (Japan) (Append-ban),,JP,,,,DISC,ADD_ON
,,Final Fantasy XIII-2 - Additional Content Selection (Japan),,JP,,,,DISC,ADD_ON
