title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"Killzone 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru) (Beta 2)",,,,,,DISC,BETA
,"Dead Space (UK) (En,Fr,Es) (Beta)",,,,,,DISC,BETA
,Dead Space 3 (USA) (Beta),,,,,,DISC,BETA
,"WipEout HD (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Ru) (Beta)",,,,,,DISC,BETA
,Remember Me (World) (Beta),,,,,,DISC,BETA
,Ratchet & Clank - Nexus (World) (Beta),,,,,,DISC,BETA
,Until Dawn (World) (Proto),,,,,,DISC,BETA
,"Red Faction - Armageddon (Europe) (En,Fr,De,Es,It) (Beta)",,,,,,DISC,BETA
,Need for Speed - Most Wanted - A Criterion Game (USA) (Beta),,,,,,DISC,BETA
,Vanquish (Europe) (Beta),,,,,,DISC,BETA
,NHL 09 (USA) (Beta),,,,,,DISC,BETA
,"LittleBigPlanet Karting (World) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru) (Beta)",,,,,,DISC,BETA
,Ratchet & Clank - Tools of Destruction (Europe) (Beta),,,,,,DISC,BETA
,"Saint Seiya - Sanctuary Battle (World) (En,Ja) (Beta)",,,,,,DISC,BETA
,Street Fighter X Tekken (World) (Beta),,,,,,DISC,BETA
,Valkyria Chronicles (USA) (Beta),,,,,,DISC,BETA
,"DmC - Devil May Cry (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru) (Beta)",,,,,,DISC,BETA
,"Puppeteer (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru,Tr) (Beta)",,,,,,DISC,BETA
,"Heavenly Sword (World) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi) (Beta)",,,,,,DISC,BETA
,Killzone 2 (World) (Beta 1),,,,,,DISC,BETA
,Killzone 3 (Europe) (Beta),,,,,,DISC,BETA
,"Sorcery (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru) (Beta)",,,,,,DISC,BETA
,"Wonderbook - Diggs Nightcrawler (Europe) (En,Da,Ru) (Beta)",,,,,,DISC,BETA
,Section 8 - Prejudice (World) (Beta),,,,,,DISC,BETA
,"Marvel vs. Capcom 3 - Fate of Two Worlds (USA) (En,Fr,De,Es,It) (Beta)",,,,,,DISC,BETA
,MLB 08 - The Show (USA) (Beta),,,,,,DISC,BETA
,"Ico & Shadow of the Colossus Collection, The (USA) (En,Fr,Es) (Beta)",,,,,,DISC,BETA
,"Shaun White Snowboarding (Europe) (En,Fr,De,Es,It) (Beta)",,,,,,DISC,BETA
,"Ratchet & Clank - A Crack in Time (Europe) (En,Fr,De,Es,It,Nl) (Beta)",,,,,,DISC,BETA
,Wonderbook - Book of Spells (Europe) (Beta),,,,,,DISC,BETA
