,title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,,PlayStation 3 Special Demo Disc (Japan) (White),,,,,,DISC,DEMO
,,"PlayStation Move Game Demo Disc (USA) (En,Fr,Es) (v01.00)",,,,,,DISC,DEMO
,,"PlayStation Move Starter Disc (Europe, Australia) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru)",,,,,,DISC,DEMO
,,"PlayStation Move Game Demo Disc (USA) (En,Fr,Es) (v02.00)",,,,,,DISC,DEMO
,,PlayStation Move Starter Disc (Asia),,,,,,DISC,DEMO
,,PlayStation 3 Big Hit Titles' Demo Collection Vol. 2 (Asia),,,,,,DISC,DEMO
,,PlayStation 3 Special Demo Disc (Japan) (Red),,,,,,DISC,DEMO
,,FromSoftware HD Visual Preview Disc (Japan),,,,,,DISC,DEMO
,,Final Fantasy XIII (Japan) (Trial Version),,,,,,DISC,DEMO
,,"Ratchet & Clank Future - Tools of Destruction (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Ko) (Demo)",,,,,,DISC,DEMO
,,"Pure (USA) (En,Fr,Es) (Demo)",,,,,,DISC,DEMO
,,"PlayStation Move Game Demo Disc Volume 2 (USA) (En,Fr,Es)",,,,,,DISC,DEMO
,,"PlayStation Move Game Demo Disc Volume 3 (USA) (En,Fr,Es)",,,,,,DISC,DEMO
,,This Is the Next Level - 3D Games and Demo Disc (Brazil),,,,,,DISC,DEMO
,,"FIFA 10 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Pl,Ru,Cs,Hu) (Demo)",,,,,,DISC,DEMO
,,"FIFA 12 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Pl,Ru,Cs,Hu) (Demo)",,,,,,DISC,DEMO
,,GT5 - IDU FW update 3.40 (USA) (Kiosk Demo),,,,,,DISC,DEMO
,,Spring Refresh 2011 3.60 IDU FW Update (USA),,,,,,DISC,DEMO
,,Guitar Hero - Warriors of Rock 3.40 IDU FW Update (USA) (Kiosk Demo),,,,,,DISC,DEMO
,,Demon's Souls (USA) (Demo),,,,,,DISC,DEMO
,,3D Dot Game Heroes (USA) (Demo),,,,,,DISC,DEMO
,,April 2009 IDU 2.60 (USA),,,,,,DISC,DEMO
,,E-M Fall Refresh 3.40 IDU-IDU Update (USA),,,,,,DISC,DEMO
,,inFamous 2 + MotorStorm Apocalypse - Spring Refresh 2011 3.60 IDU FW Update (USA),,,,,,DISC,DEMO
,,Winter 2012 Refresh PS3 IDU 3.72 (USA),,,,,,DISC,DEMO
,,PS3 Standard IDU 4.23 - Holiday 2012 Update (USA),,,,,,DISC,DEMO
,,Spring 2012 Refresh Standard - PS3 IDU 4.11 (USA),,,,,,DISC,DEMO
,,Summer Refresh 2011 - 3.65 IDU FW Update (USA),,,,,,DISC,DEMO
