title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"Tom Clancy's Rainbow Six - Vegas 2 (USA, Asia) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,NBA Street Homecourt (Japan),,,,,,DISC,BASE_GAME
,Madden NFL 07 (Japan),,,,,,DISC,BASE_GAME
,"Mobile Suit Gundam - Target in Sight (Japan, Asia) (En,Ja)",,,,,,DISC,BASE_GAME
,Spider-Man 3 (Japan),,,,,,DISC,BASE_GAME
,NBA 07 (Japan) (v02.00),,,,,,DISC,BASE_GAME
,"World Soccer Winning Eleven 2008 (Japan, Asia) (En,Ja)",,,,,,DISC,BASE_GAME
,Genji - Kamui Souran (Japan),,,,,,DISC,BASE_GAME
,Hakuna Matata (Asia),,,,,,DISC,BASE_GAME
,"Ryuu ga Gotoku - Kenzan! (Japan, Asia)",,,,,,DISC,BASE_GAME
,X Edge (Japan),,,,,,DISC,BASE_GAME
,Afrika (Japan),,,,,,DISC,BASE_GAME
,"LittleBigPlanet (Europe, Australia) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v02.00)",,,,,,DISC,BASE_GAME
,"Buzz! Quiz TV (Scandinavia) (En,Sv,No,Da,Fi)",,,,,,DISC,BASE_GAME
,"Heavenly Sword (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,DISC,BASE_GAME
,"Ratchet & Clank - Tools of Destruction (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko)",,,,,,DISC,BASE_GAME
,"FIFA 09 (Europe) (En,Nl,Sv,No,Da)",,,,,,DISC,BASE_GAME
,"Soulcalibur IV (Europe) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Dead Space (Europe) (En,Pl,Ru,Cs,Hu)",,,,,,DISC,BASE_GAME
,"Ferrari Challenge - Trofeo Pirelli (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"MotorStorm (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi)",,,,,,DISC,BASE_GAME
,"MotorStorm - Pacific Rift (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Ru)",,,,,,DISC,BASE_GAME
,"Damnation (Europe) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Turning Point - Fall of Liberty (USA) (En,Es,It)",,,,,,DISC,BASE_GAME
,"inFamous (USA) (En,Fr,Es) (v01.00)",,,,,,DISC,BASE_GAME
,"Resistance - Fall of Man (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Ko)",,,,,,DISC,BASE_GAME
,"Ratchet & Clank Future - A Crack in Time (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,"Midnight Club - Los Angeles (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Killzone 2 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Pl,Ru)",,,,,,DISC,BASE_GAME
,"BioShock (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Burnout Paradise (USA),,,,,,DISC,BASE_GAME
,"Fuel (USA) (En,Fr,Es)",,,,,,DISC,BASE_GAME
,Full Auto 2 - Battlelines (USA),,,,,,DISC,BASE_GAME
,"Heavenly Sword (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"Ratchet & Clank Future - Tools of Destruction (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko) (v01.00)",,,,,,DISC,BASE_GAME
,"Resident Evil 5 (USA) (En,Ja,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,Army of Two (USA),,,,,,DISC,BASE_GAME
,Baja - Edge of Control (USA),,,,,,DISC,BASE_GAME
,"God of War Collection (USA, Asia) (v01.00)",,,,,,DISC,BASE_GAME
,"Grid (USA) (En,Fr,De,Es,It)",,,,,,DISC,BASE_GAME
,"LittleBigPlanet - Game of the Year Edition (USA) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko,Ru)",,,,,,DISC,BASE_GAME
