title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,Official PlayStation Magazine Issue 70 - May 2012 (Europe),,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 10 - October 2007 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 11 - November 2007 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 12 - December 2007 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 13 - Christmas 2007 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 09 - September 2007 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 14 - January 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 15 - February 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 16 - March 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 17 - April 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 20 - July 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 21 - August 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 07 - July 2007 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 08 - August 2007 (Europe),,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 22 - September 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 23 - October 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 24 - November 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 25 - December 2008 (Europe) (En,Fr,De,Es,It)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 26 - Christmas 2008 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 27 - January 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 28 - February 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 29 - March 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 30 - April 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 31 - May 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 32 - June 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 33 - July 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 34 - August 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 36 - October 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 37 - November 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 38 - December 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,"Official PlayStation Magazine Issue 39 - Christmas 2009 (Europe) (En,Fr,De,Es,It,Pt)",,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 40 - January 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 41 - February 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 42 - March 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 43 - April 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 44 - May 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 45 - June 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 46 - July 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 47 - August 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 48 - September 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 49 - October 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 50 - November 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 51 - December 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 52 - Christmas 2010 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 53 - January 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 54 - February 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 55 - March 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 56 - April 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 57 - May 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 58 - June 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 60 - August 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 61 - September 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 62 - October 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 63 - November 2011 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 68 - March 2012 (Europe),,,,,,DISC,PSM_DISC
,Official PlayStation Magazine Issue 69 - April 2012 (Europe),,,,,,DISC,PSM_DISC
