title_id,game_title,platform_source,region,title_id,url,content_id,distribution,content_type
,"PlayStation 3 System Software Update (Version 2.0) (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko,Pl,Ru,Tr)",,,,,,DISC,SYSTEM
,"PlayStation 3 System Software Update (Version 2.0) (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi,Zh,Ko,Pl,Ru,Tr)",,,,,,DISC,SYSTEM
,"PlayStation 3 System Software Update (Version 2.0) (USA) (En,Fr)",,,,,,DISC,SYSTEM
,"PlayStation 3 System Software Update (Version 2.0) (USA) (En,Fr)",,,,,,DISC,SYSTEM
,3.40 IDU-IDU FW Update (USA),,,,,,DISC,SYSTEM
,3.40 IDU-IDU FW Update (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.50 FW - Oct 2010 (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.50 FW - Oct 2010 (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.56 FW (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.56 FW (USA),,,,,,DISC,SYSTEM
,3.66 IDU FW (USA),,,,,,DISC,SYSTEM
,3.66 IDU FW (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.72 PS 3D Display Update (USA),,,,,,DISC,SYSTEM
,PS3 IDU 3.72 PS 3D Display Update (USA),,,,,,DISC,SYSTEM
,PS3 IDU Update 430 (USA),,,,,,DISC,SYSTEM
,PS3 IDU Update 430 (USA),,,,,,DISC,SYSTEM
,PS3 IDU Update 4.10 (USA),,,,,,DISC,SYSTEM
,PS3 IDU Update 4.10 (USA),,,,,,DISC,SYSTEM
,PS3 System Software v.4.21 - F-W Only (USA),,,,,,DISC,SYSTEM
,PS3 System Software v.4.21 - F-W Only (USA),,,,,,DISC,SYSTEM
,PS3 IDU 431 (USA),,,,,,DISC,SYSTEM
,PS3 IDU 431 (USA),,,,,,DISC,SYSTEM
,3.15 IDU Firmware Update (USA),,,,,,DISC,SYSTEM
