region,code,id,title_id,name,type,game_title
Korea,ELAS,10356,ELAS10356,A Plague Tale,,A Plague Tale 
Asia,ELAS,10416,ELAS10416,A Space for the Unbound,,A Space for the Unbound 
Asia,ELAS,10477,ELAS10477,Aliens: Dark Descent,,Aliens: Dark Descent 
Asia,ELAS,10135,ELAS10135,Aliens: Fireteam Elite,,Aliens: Fireteam Elite 
Korea,ELAS,10150,ELAS10150,Aliens: Fireteam Elite,,Aliens: Fireteam Elite 
Korea,ELAS,10183,ELAS10183,Among Us,,Among Us 
Asia,ELAS,10438,ELAS10438,Anno 1800,,Anno 1800 
Korea,ELAS,10439,ELAS10439,Anno 1800,,Anno 1800 
Korea,ELAS,10108,ELAS10108,Aragami 2,,Aragami 2 
Asia,ELAS,10108,ELAS10108,Aragami 2,,Aragami 2 
Korea,ELAS,10500,ELAS10500,Armored Core VI: Fires of Rubicon,,Armored Core VI: Fires of Rubicon 
Korea,ELAS,10600,ELAS10600,Armored Core VI: Fires of Rubicon,,Armored Core VI: Fires of Rubicon 
Asia,ELAS,10563,ELAS10563,Assassin's Creed Mirage,,Assassin's Creed Mirage 
Asia,ELAS,10006,ELAS10006,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Asia,ELAS,10008,ELAS10008,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10016,ELAS10016,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10021,ELAS10021,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10022,ELAS10022,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10024,ELAS10024,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10027,ELAS10027,Assassin's Creed Valhalla,,Assassin's Creed Valhalla 
Korea,ELAS,10535,ELAS10535,Assassin's Creed: Mirage,,Assassin's Creed: Mirage 
Asia,ELAS,10215,ELAS10215,Assassin's Creed: Ragnarok,,Assassin's Creed: Ragnarok 
Asia,ELAS,10206,ELAS10206,Assetto Corsa Competizione,,Assetto Corsa Competizione 
Asia,ECAS,00103,ECAS00103,Astro Bot,,Astro Bot 
Asia,ECAS,00102,ECAS00102,Astro Bot,,Astro Bot 
Korea,ECAS,00101,ECAS00101,Astro Bot,,Astro Bot 
Korea,ELAS,10491,ELAS10491,Atelier Marie Remake,,Atelier Marie Remake 
Asia,ELAS,10483,ELAS10483,Atelier Marie Remake: The Alchemist of Salburg,,Atelier Marie Remake: The Alchemist of Salburg 
Korea,ELAS,11076,ELAS11076,Atelier Resleriana: The Red Alchemist & The White Guardian,,Atelier Resleriana: The Red Alchemist & The White Guardian 
Asia,ELAS,10399,ELAS10399,Atelier Ryza 3: Alchemist of the End & the Secret Key,,Atelier Ryza 3: Alchemist of the End & the Secret Key 
Korea,ELAS,10422,ELAS10422,Atelier Ryza 3: Alchemist of the End & the Secret Key,,Atelier Ryza 3: Alchemist of the End & the Secret Key 
Korea,ELAS,10473,ELAS10473,Atlas Fallen,,Atlas Fallen 
Asia,ELAS,10440,ELAS10440,Atomic Heart,,Atomic Heart 
Korea,ELAS,10440,ELAS10440,Atomic Heart,,Atomic Heart 
Asia,ELAS,10588,ELAS10588,Avatar: Frontiers of Pandora,,Avatar: Frontiers of Pandora 
Korea,ELAS,10590,ELAS10590,Avatar: Frontiers of Pandora,,Avatar: Frontiers of Pandora 
Asia,ELAS,10589,ELAS10589,Avatar: Frontiers of Pandora,,Avatar: Frontiers of Pandora 
Korea,ELAS,10538,ELAS10538,Baby Shark: Sing and Swim Party,,Baby Shark: Sing and Swim Party 
Asia,ELAS,10225,ELAS10225,Babylon's Fall,,Babylon's Fall 
Asia,ELAS,10079,ELAS10079,Back 4 Blood,,Back 4 Blood 
Korea,ELAS,10099,ELAS10099,Back 4 Blood,,Back 4 Blood 
Asia,ELAS,10063,ELAS10063,Balan Wonderworld,,Balan Wonderworld 
Korea,ELAS,10065,ELAS10065,Balan Wonderworld,,Balan Wonderworld 
Korea,ELAS,10162,ELAS10162,Battlefield 2042,,Battlefield 2042 
Asia,ELAS,10162,ELAS10162,Battlefield 2042,,Battlefield 2042 
Asia,ELAS,10178,ELAS10178,Beyond a Steel Sky,,Beyond a Steel Sky 
Korea,ELAS,10178,ELAS10178,Beyond a Steel Sky,,Beyond a Steel Sky 
Korea,ELAS,10911,ELAS10911,Biohazard RE:2,,Biohazard RE:2 
Korea,ELAS,11194,ELAS11194,Biohazard: Requim,,Biohazard: Requim 
Korea,ELAS,10434,ELAS10434,Biohazard: Resident Evil 4,,Biohazard: Resident Evil 4 
Korea,ELAS,10913,ELAS10913,Biohazard: Resident Evil: Gold Edition,,Biohazard: Resident Evil: Gold Edition 
Korea,ELAS,10920,ELAS10920,Black Myth: Wukong,,Black Myth: Wukong 
Korea,ELAS,11052,ELAS11052,Borderlands 4,,Borderlands 4 
Asia,ELAS,10821,ELAS10821,Call of Duty: Black Ops 6,,Call of Duty: Black Ops 6 
Korea,ELAS,10821,ELAS10821,Call of Duty: Black Ops 6,,Call of Duty: Black Ops 6 
Korea,ELAS,10032,ELAS10032,Call of Duty: Black Ops: Cold War,,Call of Duty: Black Ops: Cold War 
Asia,ELAS,10033,ELAS10033,Call of Duty: Black Ops: Cold War,,Call of Duty: Black Ops: Cold War 
Korea,ELAS,10309,ELAS10309,Call of Duty: Modern Warfare II,,Call of Duty: Modern Warfare II 
Asia,ELAS,10310,ELAS10310,Call of Duty: Modern Warfare II,,Call of Duty: Modern Warfare II 
Asia,ELAS,10163,ELAS10163,Call of Duty: Vanguard,,Call of Duty: Vanguard 
Korea,ELAS,10164,ELAS10164,Call of Duty: Vanguard,,Call of Duty: Vanguard 
Korea,ELAS,10102,ELAS10102,Chivalry II,,Chivalry II 
Asia,ELAS,10120,ELAS10120,Chivalry II,,Chivalry II 
Asia,ELAS,10188,ELAS10188,Chorus,,Chorus 
Asia,ELAS,10838,ELAS10838,Clock Tower: Rewind,,Clock Tower: Rewind 
Asia,ELAS,10840,ELAS10840,Clock Tower: Rewind,,Clock Tower: Rewind 
Korea,ELAS,10462,ELAS10462,Company of Heroes 3,,Company of Heroes 3 
Asia,ELAS,10464,ELAS10464,Company of Heroes 3,,Company of Heroes 3 
Korea,ECAS,00100,ECAS00100,Concord,,Concord 
Asia,ECAS,00098,ECAS00098,Concord,,Concord 
Asia,ECAS,00097,ECAS00097,Concord,,Concord 
Asia,ELAS,10060,ELAS10060,Control,,Control 
Asia,ELAS,10391,ELAS10391,Crisis Core: Final Fantasy VII Reunion,,Crisis Core: Final Fantasy VII Reunion 
Korea,ELAS,10392,ELAS10392,Crisis Core: Final Fantasy VII Reunion,,Crisis Core: Final Fantasy VII Reunion 
Asia,ELAS,10393,ELAS10393,Crisis Core: Final Fantasy VII Reunion,,Crisis Core: Final Fantasy VII Reunion 
Asia,ELAS,10492,ELAS10492,Cross Tails,,Cross Tails 
Asia,ELAS,10161,ELAS10161,Crusader Kings III,,Crusader Kings III 
Korea,ELAS,10161,ELAS10161,Crusader Kings III,,Crusader Kings III 
Korea,ELAS,10490,ELAS10490,Crymachina,,Crymachina 
Asia,ELAS,10490,ELAS10490,Crymachina,,Crymachina 
Asia,ELAS,10378,ELAS10378,DARQ,,DARQ 
Korea,ELAS,10359,ELAS10359,Dead Island 2,,Dead Island 2 
Korea,ELAS,10402,ELAS10402,Dead Space,,Dead Space 
Asia,ELAS,10402,ELAS10402,Dead Space,,Dead Space 
Asia,ELAS,10418,ELAS10418,Deadcraft,,Deadcraft 
Asia,ECAS,00112,ECAS00112,Death Stranding 2: On the Beach,,Death Stranding 2: On the Beach 
Korea,ECAS,00111,ECAS00111,Death Stranding 2: On the Beach,,Death Stranding 2: On the Beach 
Asia,ECAS,00110,ECAS00110,Death Stranding 2: On the Beach,,Death Stranding 2: On the Beach 
Asia,ECAS,00110,ECAS00110,Death Stranding 2: On the Beach,Collector's Edition,Death Stranding 2: On the Beach Collector's Edition
Korea,ECAS,00064,ECAS00064,Death Stranding: Director's Cut,,Death Stranding: Director's Cut 
Asia,ECAS,00031,ECAS00031,Death Stranding: Director's Cut,,Death Stranding: Director's Cut 
Korea,ECAS,00030,ECAS00030,Death Stranding: Director's Cut,,Death Stranding: Director's Cut 
Korea,ELAS,10091,ELAS10091,Deathloop,,Deathloop 
Asia,ELAS,10092,ELAS10092,Deathloop,,Deathloop 
Asia,ELAS,10093,ELAS10093,Deathloop,,Deathloop 
Asia,ELAS,10157,ELAS10157,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 
Asia,ELAS,10158,ELAS10158,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 
Korea,ELAS,10159,ELAS10159,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles 
Korea,ECAS,00061,ECAS00061,Demon Souls,,Demon Souls 
Asia,ECAS,00009,ECAS00009,Demon's Souls,,Demon's Souls 
Korea,ECAS,00005,ECAS00005,Demon's Souls,,Demon's Souls 
Asia,ELAS,10030,ELAS10030,Devil May Cry 5,,Devil May Cry 5 
Korea,ELAS,10076,ELAS10076,Dirt 5,,Dirt 5 
Asia,ELAS,10184,ELAS10184,Disciples: Liberation,,Disciples: Liberation 
Korea,ELAS,10184,ELAS10184,Disciples: Liberation,,Disciples: Liberation 
Asia,ELAS,10457,ELAS10457,Disgaea 7,,Disgaea 7 
Korea,ELAS,10458,ELAS10458,Disgaea 7,,Disgaea 7 
Asia,ELAS,10260,ELAS10260,DNF Duel,,DNF Duel 
Korea,ELAS,10260,ELAS10260,DNF Duel,,DNF Duel 
Asia,ELAS,10229,ELAS10229,DOLMEN,,DOLMEN 
Asia,ELAS,10363,ELAS10363,Doraemon: Story of Seasons - Friends of the Great Kingdom,,Doraemon: Story of Seasons - Friends of the Great Kingdom 
Korea,ELAS,10364,ELAS10364,Doraemon: Story of Seasons - Friends of the Great Kingdom,,Doraemon: Story of Seasons - Friends of the Great Kingdom 
Asia,ELAS,10365,ELAS10365,Doraemon: Story of Seasons - Friends of the Great Kingdom,,Doraemon: Story of Seasons - Friends of the Great Kingdom 
Asia,ELAS,10760,ELAS10760,Dragon Age: The Veilguard,,Dragon Age: The Veilguard 
Asia,ELAS,10401,ELAS10401,Dragon Ball Z Kakarot,,Dragon Ball Z Kakarot 
