game_title,asian_title,game_title_item,title_id,additional_info,region,content_id,url
Toukiden,討鬼伝,Toukiden 討鬼伝,ULJM-06290,,JP,,
Toukiden,討鬼伝,Toukiden 討鬼伝,NPJH-50789,,JP,,
Manager's Hat,geo-online.co.jp pre-order,Manager's Hat geo-online.co.jp pre-order,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Cat Ears,www.tsutaya.co.jp or www.wonder.co.jp pre-order,Cat Ears www.tsutaya.co.jp or www.wonder.co.jp pre-order,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Tenko Head Mask,www.gamecity.ne.jp pre-order,Tenko Head Mask www.gamecity.ne.jp pre-order,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Male Lawson Costume,www.lawson.co.jp pre-order,Male Lawson Costume www.lawson.co.jp pre-order,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Female Lawson Costume,www.lawson.co.jp pre-order,Female Lawson Costume www.lawson.co.jp pre-order,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Sako's Tenko Mask,Samurai Ace Vol. 7 magazine,Sako's Tenko Mask Samurai Ace Vol. 7 magazine,NPJH-50789,http://koei.wikia.com/wiki/Toukiden/DLC,JP,,http://koei.wikia.com/wiki/Toukiden/DLC
Politan Mask,"July 25, 2013 Dengeki PlayStation Vol.547","Politan Mask July 25, 2013 Dengeki PlayStation Vol.547",NPJH-50789,http://www.gamecity.ne.jp/toukiden/tieup.html,JP,,http://www.gamecity.ne.jp/toukiden/tieup.html
Toukiden Kiwami,討鬼伝 極,Toukiden Kiwami 討鬼伝 極,ULJM-06376,,JP,,
Toukiden Kiwami,討鬼伝 極,Toukiden Kiwami 討鬼伝 極,NPJH-50878,,JP,,
Manager's Hat at Geo,防具「大店長の笠」,Manager's Hat at Geo 防具「大店長の笠」,NPJH-50878,http://www.gamecity.ne.jp/toukiden/kiwami/shop.html#geo,JP,,http://www.gamecity.ne.jp/toukiden/kiwami/shop.html#geo
Ore no Shikabane wo Koete Yuke,Rare God first run copies bonus,Ore no Shikabane wo Koete Yuke Rare God first run copies bonus,UCJS-10117,,JP,,
Ore no Shikabane wo Koete Yuke,俺の屍を越えてゆけ,Ore no Shikabane wo Koete Yuke 俺の屍を越えてゆけ,NPJG-00124,,JP,,
Summon Night 3,サモンナイト3,Summon Night 3 サモンナイト3,ULJS-00303,,JP,,
