LocoRoco Midnight Carnival (Unlock Key),AS,http://zeus.dl.playstation.net/cdn/HP9000/NPHG00024_00/ploNYHkIwXl8TgMMJy4t31t20fmV5wGbMOJkldECXBU77E8r05wR4KlthH73OpQ6DjcxqcvRILrHqbeOdusCQ6tgUiRCPIW07T3vG.pkg,
LocoRoco Midnight Carnival (Unlock Key),EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEG00024_00/O8UEnpdDs2MpaWuGGwg99oQ3CRHioTX5FEcpik6ES9epwi5DODPyJSNmyKcEojBTTLDqlHfkAvI08GvTvI2vj9nE2u081phLfuDwP.pkg,
LocoRoco Midnight Carnival (Bui-Bui Level Pack),AS,http://zeus.dl.playstation.net/cdn/HP9000/NPHG00024_00/4S6fcT9JlEXorAXbWuqgDWi4IhjdwQUn5PIGTyJ1t5g1apqqjAXFrIw9fbKPw6p6HhqdyP8p6FpGc4x14VMPpJ8EuIHX1QH1KbPxe.pkg,
LocoRoco Midnight Carnival (Update 2.00),AS,http://zeus.dl.playstation.net/cdn/HP9000/NPHG00024_00/6f55dxCFbyGYj7I4SayudqqUT1yYpYC3xDlB9bsstKfGlDv3eYVgQFM6sSD4muV8smYgrB90D6wejcXVvWIL3hBv07hceOvgwdb4n.pkg,
LocoRoco Midnight Carnival (Unlock Key),US,http://zeus.dl.playstation.net/cdn/UP9000/NPUG80318_00/p9MQV715vfOQ0IIa67ITcYKLX0GPhsEnT2XYo4O0ylnDUFaxkiEWHIwVQbkst7FwXAB4yqj4x52v80Kp5LxIH22C4eEmK8oxoyQ8S.pkg,
LocoRoco Midnight Carnival (Bui-Bui Level Pack),US,http://zeus.dl.playstation.net/cdn/UP9000/NPUG80318_00/HxlffXLK7i7hyjjMXnyUnQwFRqI6hUMxwHml9FpF8XOmnKtEu01kIFWXKAux7LtfAeBW1O9jaUUQoFKVLceR2caP6JdWUhMUPrQQT.pkg,
,,,
,,,
Dissidia 012: Duodecim Final Fantasy - Lightning Alt 3: Aya Brea,EU,http://zeus.dl.playstation.net/cdn/EP0082/ULES01505_00/orBErQfNRXnAGznrDYYRZYgefPSSWfkrMyMFOFAblAUUlooSgNhgiRpjRrsqHaZW.pkg,
Dissidia 012: Duodecim Final Fantasy - Warrior of Light,JP,http://zeus.dl.playstation.net/cdn/JP0082/NPJH50377_00/gxSOMpWDzLdlXhYrbhnNGNJlEUbMDhboaIRseUJF lbmnoFevCcOKMmMYoFyWOAXiyWIZjEHTiAhFckehSPETJPeKHsaCMnjMLlLvB.pkg,
,,,
,,,
Pachipara Slot+ Daiku no Gensan,JP,http://zeus.dl.playstation.net/cdn/JP0103/NPJH60022_00/qZnjLQnLuEYJLNIcrBKRNgsnaCeZmchuIjeAaLQhtyveuOkWzDVPUcpYTHersenikewUOesRfucYgdSFwnJgMYlMpGDSpaatMilwK.pkg,
,,,
Hantsune Miku Append,JP,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/jtqrEdlxGuuIKsCAKRWkNpt8dLH58LmrpsPVyJaEn7iVKAHKnaxxxEdu3hXfio5157hiS7UBtIScbp8RV8d1t3cmWjRQDyiso0dpo.pkg,
,,,
Hatsune Miku: Project Diva 2nd,JP,,
アイドルマスターコラボ記念ポスター (free DLC),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/7VLPSjqUaNLVsO4e0wEribpJlP0msvExVauDBWamrPb8ehKwwGyjF1rpheNCB2N6hBBPTMNcnoX71w1rA239ss4aY6SPKbIAhecP0.pkg,
発売記念ルームアイテム2 (free DLC),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/V09uf6aVhUcGnPyvul1P72Efegg0wMfE2mr8htyx5WHG7TH3oR3csGbregUBhR3MO1HVDprVFVuGmk9MnW49pB9SHRWv7yXfSm8cw.pkg,
発売記念ルームアイテム1 (free DLC),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/8JqHt9mEajlKAWOVYKKBPCWjUKrWB8dYo8nmxSDGTYqnAS7jTM4oonoxl91uSG8gNB4W0JeqlefFHkxVnvbThVvpK6q4AV1Dv12BS.pkg,
あなたの歌姫 (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/cBbTJQFBeysomzJdnwEzFOucggaLrxGDkgYnJsbbKspRzOyizDnaCJdIrLehUaIxmYVnLlhTtUkdlYWkHcPkVTdWORMKwDxgULJJp.pkg,
えれくとりっく・えんじぇぅ (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/FlbxxlZqhDnnAxhjjTSvlELJKfnpQOBPwgMXWDDbEurpSXoMBqQomeWMinyGfdnDtDAttwjStXQsbyoHrRtoLshcxcGCfbPaFuUFy.pkg,
金の聖夜霜雪に朽ちて (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/xsEojuJqujdSmazXZYccSBJIhcgwEEiNjXRXYXOqlVnIgAztURHKMBccTBCEcabWIjODEnRhamBtrQAnNIqPTRYhvvuBPKuXDlsnT.pkg,
StargazeR (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/yyMLPu1ME7jCeVVclWp4MMJQ2feQ0923hA0im9kHXPHuurfEIpk0EetkEfHQUlAy85Gh1sePJn4DqCHtmiubtfCVFyVFDlWYOnIrU.pkg,
タイムリミット (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/ElkoKiOqBsxvzVCHYXzKIqAnQGHcbsFSxNRrZIEwdlXjnWrljDHPNNzcSdGAkmotygRkOiujJMbCCktPPoyryEymyxgSxiswSUIhT.pkg,
初音ミクの消失 (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/IKIksrbkiYqVtllagvClW7MqfXqUwxTqQpb0uxwG43DvDkjWMRgVd50DTnysVoM3JCkfonKkD0j3tUsjE8vahgYAIHQwKHnRFIm5r.pkg,
星屑ユートピア (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/xIdxdbekPgvzmqyZxJwnlAZAwvAionBlmlLQZjbqYfSLlDcgJeEnuWoscSauwYhOYjwTuDmNtIbJANFfumKGnGMWWKGpCepnSyFFE.pkg,
右肩の蝶 -39's Giving Day Edition- (Song),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/icKwWweWOiJujIhlXlGXzGHggAhNDlSMsdrogmGFxSxFXxLSpgNGLmeFoKwyHHQNZNEYHLJQAUefGRmHievTOOSmFGXuHhTxaSZci.pkg,
,,,
初音ミク -Project DIVA- ドリーミーシアター 2nd (Dreamy Theater 2nd Export App),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH90213_00/GABKRavFZcVIFLZlabzpFYPIRWKwQhxRvysZgDJlsZgHRcXMrgvQNGcOvUscxmeWQEBACKsVjxAqQRrWQKciXisnsHHyYzHzOgwuh.pkg,
初音ミク -Project DIVA- 2nd お買い得版 (Extend module - extendモジュールパック),,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50300_00/cietOBsLSQoiqLVSXMZvlUCRDVVBQStVkiOvZsYYUhoLoKbrdGSCnwpDuKdffPtdZRWWGZonBkbkiDnYLNMRVQqGPnEBgaHASfCmu.pkg,
,,,
,,,
Disgaea 2: Dark Hero Days,,,
DLC 1: Almaz,US,http://zeus.dl.playstation.net/cdn/UP1063/ULUS10461_00/XIHPnvMTOPmTA2djhG2BGhCsNMa1k6FfPDyXFyBMUT1LsXFV8Y5W3TDXJj1SObpig7B4aEouIQW0XMroBgm2OAQPRW8HNDY2w3kXC.pkg,
DLC 2: Sapphire,US,http://zeus.dl.playstation.net/cdn/UP1063/ULUS10461_00/HbgAyh1656uix4J6pP7PJOpnP48NPLwuSeVaXlOL8CccfxfErdvNIPEt0YUTV7XHIG1j92RAT9vTqImYnbf8m5snBpEtooaKENRI9.pkg,
