title_id,game_title,region,serial
NPJJ00115,Disney's Action Game featuring Hercules (Italian) ,EU,SCES00894
NPJJ00634,Disney's Action Game featuring Hercules (Spanish) ,EU,SCES00895
NPJJ00163,Tarzan (English) ,EU,SCES01431
NPJJ00097,Tarzan (French) ,EU,SCES01516
NPJJ00709,Tarzan (German) ,EU,SCES01517
NPJJ00750,Tarzan (Italian) ,EU,SCES01518
NPJJ00631,A Bug's Life (French) ,EU,SCES01520
NPJJ00636,A Bug's Life (Spanish) ,EU,SCES01523
NPJJ00647,Kurushi Final: Mental Blocks (French) ,EU,SCES02010
NPJJ00710,Kurushi Final: Mental Blocks (Italian) ,EU,SCES02012
NPJJ00315,Kurushi Final: Mental Blocks (Spanish) ,EU,SCES02013
NPJJ00705,The Little Mermaid II (French) ,EU,SCES03033
NPJJ00658,The Little Mermaid II (Italian) ,EU,SCES03035
NPJJ00659,The Little Mermaid II (Spanish) ,EU,SCES03036
NPJJ00660,Disney's Atlantis: The Lost Empire (Italian) ,EU,SCES03539
NPJJ00153,Disney's Atlantis: The Lost Empire (Spanish) ,EU,SCES03541
NPJJ00162,Syphon Filter 3 (French) ,EU,SCES03698
NPJJ00640,Peter Pan: Adventures In Never Land (French) ,EU,SCES03711
NPJJ00175,Peter Pan: Adventures In Never Land (Spanish) ,EU,SCES03715
NPJJ00243,Party Time with Winnie the Pooh (French) ,EU,SCES03744
NPUI94555,Party Time with Winnie the Pooh (Italian) ,EU,SCES03747
NPJJ00326,Party Time with Winnie the Pooh (Spanish) ,EU,SCES03748
NPJJ00355,"Monsters, Inc. Scare Island (French) ",EU,SCES03763
NPJJ00254,"Monsters, Inc. Scare Island (Spanish) ",EU,SCES03767
NPJJ00624,Lilo & Stitch: Trouble In Paradise (Spanish) ,EU,SCES03875
NPJJ00241,Lilo & Stitch: Trouble In Paradise (French) ,EU,SCES03876
NPJJ00654,G-Police (Italian) ,EU,SLES00855
NPEF00270,G-Police (Spanish) ,EU,SLES00856
NPEF00180,Fear Effect (French) ,EU,SLES02167
NPEF00268,"Fighting Force 2 (Italian, Spanish) ",EU,SLES02237
NPEF00182,Grandia (French) ,EU,SLES02398
NPJJ00655,Toy Story 2: Buzz Lightyear to the Rescue! (French) ,EU,SLES02405
NPJJ00625,Toy Story 2: Buzz Lightyear to the Rescue! (Spanish) ,EU,SLES02408
NPEF00047,Parasite Eve II (French) ,EU,SLES02559
NPEF00047,Buzz Lightyear of Star Command (French) ,EU,SLES03312
NPEF00076,Buzz Lightyear of Star Command (Italian) ,EU,SLES03314
NPEF00076,Buzz Lightyear of Star Command (Spanish) ,EU,SLES03315
NPEF00076,"Toy Story Racer (Dutch, Italian, Spanish) ",EU,SLES03398
NPEF00076,Seirei H,JP,
NPEF00080,Tantei Jinguuji Saburo: Early Collection,JP,
NPEF00080,Kotobuki Grand Prix,JP,
NPEE00038,Yamasa Digi Guide: Hyper Rush,JP,
NPEE00038,Tantei Jinguuji Saburo: Yume no Owarini,JP,
NPEE00038,Grand Theft Auto,JP,
NPEF00046,Thunder Force V: Perfect System (2016.11.22),JP,
NPEF00046,Action Bass,JP,
NPEF00046,Pipe Dreams 3D (World Greatest Hits),JP,
NPEF00088,Speedball 2100 (World Greatest Hits),JP,
NPEF00088,Tom Clancy's Rainbow Six (World Greatest Hits),JP,
NPEE00023,Black/Matrix Cross,JP,
NPEF00085,Ms. Pac-Man Maze Madness,JP,
NPEF00085,Pachi-Slot Kanzen Kouryaku 1: Universal Koushiki Gaido Volume 1,JP,
NPEF00082,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,JP,
NPEF00082,Pachi-Slot Kanzen Kouryaku: Universal Koushiki Gaido Volume 4,JP,
NPEF00082,Pro Mahjong Kiwame Tengensenhen,JP,
NPEF00077,Yamasa Digi Guide: New Pulsar R,JP,
NPEF00077,T: Kara Hajimaru Monogatari (Hamster),JP,
NPEF00084,Yamasa Digi Selection,JP,
NPEF00084,Tantei Jinguuji Saburo: Touka ga Kienu Aidani,JP,
NPJJ00176,Jet Moto 3,US,
NPEE00051,Black/Matrix 00,JP,
NPEE00051,Kowloon's Gate,JP,
NPEF00197,Yamasa Digi Guide: Umekagetsu R,JP,
NPEF00114,Slam Dragon (Hamster),JP,
NPEF00124,Tantei Jinguuji Saburo: Mikan no Report,JP,
NPEF00093,Pachi-Slot Kanzen Kouryaku: Takasago Super Project,JP,
NPEF00093,Dezaemon Kids! (PS1 Import),EU,
NPEF00150,Galaxy Fight (PS1 Import),EU,
NPEF00205,Rapid Angel (PS1 Import),EU,
NPEF00205,Tall Unlimited (PS1 Import),EU,
NPEF00205,Pachi-Slot Kanzen Kouryaku: Takasago Super Project 2,JP,
NPEF00094,Dragon Seeds (Hamster),JP,
NPJJ00114,Yamasa Digi Selection 2,JP,
NPJJ00643,The Bistro,JP,
NPJJ00741,Gambler Jiko Chuushinha: Ippatsu Shoubu!,JP,
NPJJ00208,Yamasa Digi Guide: Faust,JP,
NPJJ00164,Yamasa Digi Guide: M-771,JP,
NPJJ00066,Gussun Paradise,JP,
NPJJ00565,Zoku Gussun Oyoyo,JP,
