game_title,region,url,content_id
SRW OE Strong Part Content 1 (Chobham Armor SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/XcHBzchmzUxByWbpylFrnvwEfiIlsjLKnicvPzVWTbPqEGGJAnpABJhuFUrXsLnuzTaikhpIcSjtJUWjZVuLJDRnByliNtxiWnfnT.pkg,JP0700/NPJH50521_00
SRW OE Strong Part Content 2 (Power Frame SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/LCdasyMOgCyBoswyIjTBYpZYTKIwFggvAyUzVpBIqEBIEIIOyJBOySCkGoTUbApADOphPyijewYWDhwtKabQrCXyqhFYFbZUudmAs.pkg,JP0700/NPJH50521_00
SRW OE Strong Part Content 4 (Hyper Jammer SR),JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/GTglCvfPcgmDxlzfjphyTboCoZJIVaqFQCklgbmCpgDbFvWJwlIdLJjlEMaCQWjiWmlsNoIIRpfMdMqMsfyAuisXUGZZyAUyCCzhb.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 1,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/WJpPklwqZjOpMeAihhmeotDRIsqNIbRwveeLmfyuhBCDVgnGiEgzeJHVBAvRqBEYwKteDxemXSbUdStCakDRWGYKQeTAgETvRAcQP.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 2,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/fBdMvRapwTSkrtodgzzhNLSNANkPwUXtOLEQWncpdamwizXBDjUiRyQmSFpRakvJPvXulzpdxjTLcqUSriXXKNkJmSzIBqTmkvoNX.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 3,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/DpjlvYhaxCGxkHSXWsNMyIPFIbcKTtSWstjEFbVHEbjHOpTAeplgjUVLVdDnNuyfVZTOTHEaXtNtsgynufnBeWvMhlXSoBRGBrMAY.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 4,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/gsGgmwjSwleAxYMMEqFbMHNmEAuELVWZgBmxIPuggNPsOKURiErHfbPzHaVvZLAGxdCkVfMAtLIxyQqxKLQtFnLHzTPgQZZHMLqhx.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 5,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/SVqHnxRESJJjGebwQfEdYtUBRRKMkSyiNamjltENnDuHfgobXzgOqKDfiLAxiDKNzdzJWYXDmTOiWKRhybJNaJKdKbiidWWloLYwO.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 6,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/GPsWRzYwLKaozglnoAtRgoSuNSRodBBessUqICRILZWqNckHkfyiPfDxuizedovlHxhKEFdetMJYnbDwHjqVMLGTHRRIvvCNUeniH.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 7,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/PJECmwIDQHSMEAVuYRTkSwWtaVRKRWbkNPNdPUgXcRVwlCtPKlFSOORLhrRBQeibCLKyfwfefzIPkgwhohwMyzegPRuTxJTsKdKes.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Chapter 8,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/MAKQqDoZmZkxfHkJQWRTJwqMjDLrnLhNmvqAUDOGEwCDJcdeERAZcnbfdjMNBaeiFPCoyCwhDDwdTRyvwaGIeYLbNzdHHaOdQaiop.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Cybuster,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/ALfzgAIDMMHxQOwVnnoLIgmaAvQeOfcJayOFCMakxbRqLxvbLrIbHbXARQfTmBWuQmCHGrwhItikEBbSeWIgcrqzwSIdCWmaOtIIG.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 01,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/KJOsyHNqABwLEgoGlxDVflVMoFbtHysxVFLrMigIkMPGaownpCgWZgrTYVcdEBFrXslHFzdoxsQqjOpafAMuPJSUtsYVmikexOCHO.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 02,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/yVLykahBUMzJziNwwLvPMAbWBgAZvLKzrJomFkznSrRJZezQqLNNYmcNqPuaUMPDSQinPxNnTdEQBCBRuVrhgYFbUCRsfRJSKuOOn.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 03,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/DFpuxzWdwgEMLRRbFJavPtftlTRtTDCIvbJcuatLUMopBUDZlgfNFfniYimBMNtCYspffFCdZklQiQXwRwwUTUNkGompHziGtMSep.pkg,JP0700/NPJH50521_00
Super Robot Taisen Operation Extend Mission DLC 04,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50521_00/BIThTFiOLaBdYhLObjbrxxzigJYADqbLySOXzgrfgUOwrmEinXmWzBekxQczdbVgNsRRTExTfithJGjqaXojMvNpYIMEesiCtOZkB.pkg,JP0700/NPJH50521_00
