game_title,title_id,region,serial
Syphon Filter 3 (French),NPEE00023,EU,SCES03698
Kurushi Final: Mental Blocks (French),NPEE00038,EU,SCES02010
Kurushi Final: Mental Blocks (Italian),NPEE00038,EU,SCES02012
Kurushi Final: Mental Blocks (Spanish),NPEE00038,EU,SCES02013
GPolice (Italian),NPEE00051,EU,SLES00855
GPolice (Spanish),NPEE00051,EU,SLES00856
The Little Mermaid II (French),NPEF00046,EU,SCES03033
The Little Mermaid II (Italian),NPEF00046,EU,SCES03035
The Little Mermaid II (Spanish),NPEF00046,EU,SCES03036
Disney's Action Game featuring Hercules (Italian),NPEF00047,EU,SCES00894
Disney's Action Game featuring Hercules (Spanish),NPEF00047,EU,SCES00895
Tarzan (English),NPEF00076,EU,SCES01431
Tarzan (French),NPEF00076,EU,SCES01516
Tarzan (German),NPEF00076,EU,SCES01517
Tarzan (Italian),NPEF00076,EU,SCES01518
"Monsters, Inc. Scare Island (French)",NPEF00077,EU,SCES03763
"Monsters, Inc. Scare Island (Spanish)",NPEF00077,EU,SCES03767
A Bug's Life (French),NPEF00080,EU,SCES01520
A Bug's Life (Spanish),NPEF00080,EU,SCES01523
Party Time with Winnie the Pooh (French),NPEF00082,EU,SCES03744
Party Time with Winnie the Pooh (Italian),NPEF00082,EU,SCES03747
Party Time with Winnie the Pooh (Spanish),NPEF00082,EU,SCES03748
Lilo & Stitch: Trouble In Paradise (French),NPEF00084,EU,SCES03876
Lilo & Stitch: Trouble In Paradise (Spanish),NPEF00084,EU,SCES03875
Peter Pan: Adventures In Never Land (French),NPEF00085,EU,SCES03711
Peter Pan: Adventures In Never Land (Spanish),NPEF00085,EU,SCES03715
Disney's Atlantis: The Lost Empire (Italian),NPEF00088,EU,SCES03539
Disney's Atlantis: The Lost Empire (Spanish),NPEF00088,EU,SCES03541
Toy Story 2: Buzz Lightyear to the Rescue! (French),NPEF00093,EU,SLES02405
Toy Story 2: Buzz Lightyear to the Rescue! (Spanish),NPEF00093,EU,SLES02408
"Toy Story Racer (Dutch, Italian, Spanish)",NPEF00094,EU,SLES03398
"Fighting Force 2 (Italian, Spanish)",NPEF00114,EU,SLES02237
Grandia (French),NPEF00124,EU,SLES02398
Parasite Eve II (French),NPEF00150,EU,SLES02559
Galaxy Fight (PS1 Import),NPEF00180,EU,
Syphon Filter 3 (French),NPEF00182,EU,SCES03698
Fear Effect (French),NPEF00197,EU,SLES02167
Buzz Lightyear of Star Command (French),NPEF00205,EU,SLES03312
Buzz Lightyear of Star Command (Italian),NPEF00205,EU,SLES03314
Buzz Lightyear of Star Command (Spanish),NPEF00205,EU,SLES03315
Rapid Angel (PS1 Import),NPEF00268,EU,
Dezaemon Kids! (PS1 Import),NPEF00270,EU,
Gussun Paradise,NPJJ00066,JP,
Tantei Jinguuji Saburo: Yume no Owarini,NPJJ00097,JP,
Seirei Hata RayBlade,NPJJ00114,JP,
Tantei Jinguuji Saburo: Early Collection,NPJJ00115,JP,
Pro Mahjong Kiwame Tengensenhen,NPJJ00153,JP,
Yamasa Digi Guide: New Pulsar R,NPJJ00162,JP,
Yamasa Digi Guide: Hyper Rush,NPJJ00163,JP,
Yamasa Digi Guide: M771,NPJJ00164,JP,
Yamasa Digi Selection,NPJJ00175,JP,
Yamasa Digi Selection 2,NPJJ00176,JP,
Yamasa Digi Guide: Faust,NPJJ00208,JP,
Tantei Jinguuji Saburo: Mikan no Report,NPJJ00241,JP,
Tantei Jinguuji Saburo: Touka ga Kienu Aidani,NPJJ00243,JP,
Yamasa Digi Guide: Umekagetsu R,NPJJ00254,JP,
Black/Matrix Cross,NPJJ00315,JP,
Black/Matrix 00,NPJJ00326,JP,
Kowloon's Gate,NPJJ00355,JP,
Zoku Gussun Oyoyo,NPJJ00565,JP,
Slam Dragon (Hamster),NPJJ00624,JP,
Dragon Seeds (Hamster),NPJJ00625,JP,
Action Bass,NPJJ00631,JP,
Kotobuki Grand Prix,NPJJ00634,JP,
Pipe Dreams 3D (World Greatest Hits),NPJJ00636,JP,
T: Kara Hajimaru Monogatari (Hamster),NPJJ00640,JP,
The Bistro,NPJJ00643,JP,
Speedball 2100 (World Greatest Hits),NPJJ00647,JP,
PachiSlot Kanzen Kouryaku: Takasago Super Project,NPJJ00654,JP,
PachiSlot Kanzen Kouryaku: Takasago Super Project 2,NPJJ00655,JP,
PachiSlot Kanzen Kouryaku 1: Universal Koushiki Gaido Volume 1,NPJJ00658,JP,
PachiSlot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,NPJJ00659,JP,
PachiSlot Kanzen Kouryaku: Universal Koushiki Gaido Volume 4,NPJJ00660,JP,
Ms. PacMan Maze Madness,NPJJ00705,JP,
Grand Theft Auto,NPJJ00709,JP,
Tom Clancy's Rainbow Six (World Greatest Hits),NPJJ00710,JP,
Gambler Jiko Chuushinha: Ippatsu Shoubu!,NPJJ00741,JP,
Thunder Force V: Perfect System (2016.11.22),NPJJ00750,JP,
Jet Moto 3,NPUI94555,US,
