game_title,title_id,region,content_id,type,url,type
Carnivores: Dinosaur Hunter,NPHZ00057,AS,HP4101-NPHZ00057-00-CARNIVORESHUNTER,PSN,https://store.playstation.com/#!/en-hk/games/carnivores-dinosaur-hunter-full-game/cid=HP4101-NPHZ00057_00-CARNIVORESHUNTER,PSN
Ben 10: Ultimate Alien - Cosmic Destruction,NPEH00116,EU,EP0700-NPEH00116-00-GPCBEN10UL000001,PSN,https://store.playstation.com/#!/en-gb/games/ben-10-ua-cosmic-destruction/cid=EP0700-NPEH00116_00-GPCBEN10UL000001,PSN
Dynasty Warriors Vol. 2 (French),NPEH00015,EU,EP0106-NPEH00015-00-GPCDYNASTY000002,PSN,https://store.playstation.com/#!/fr-fr/cid=EP0106-NPEH00015_00-GPCDYNASTY000002,PSN
Dynasty Warriors Vol. 2 (German),NPEH00016,EU,EP0106-NPEH00016-00-GPCDYNASTY000003,PSN,https://store.playstation.com/#!/de-de/spiel/dynasty-warriors-vol2-psp/cid=EP0106-NPEH00016_00-GPCDYNASTY000003,PSN
Hakuoki: Warriors of the Shinsengumi,NPEH00142,EU,EP1024-NPEH00142-00-0000000000000001,PSN,https://store.playstation.com/#!/en-gb/games/hakuoki-warriors-of-the-shinsengumi/cid=EP1024-NPEH00142_00-0000000000000001,PSN
Madden NFL 10,NPEH00010,EU,EP0006-NPEH00010-00-GPCMADDENN000001,PSN,https://store.playstation.com/#!/en-gb/games/madden-nfl-10-psp/cid=EP0006-NPEH00010_00-GPCMADDENN000001,PSN
Mawaskes Puzzle,NPEH00120,EU,EP0024-NPEH00120-00-GPCMAWASKE000001,PSN,https://store.playstation.com/#!/en-gb/games/mawaskes-puzzle-psp/cid=EP0024-NPEH00120_00-GPCMAWASKE000001,PSN
Rugby League Challenge,NPEH00023,EU,EP4116-NPEH00023-00-RUGBYLEAGUECH001,PSN,https://store.playstation.com/#!/en-gb/games/rugby-league-challenge-psp/cid=EP4116-NPEH00023_00-RUGBYLEAGUECH001,PSN
BeitHell2000,NPJG0009?,JP,,PSN,,PSN
BeitHell2001,NPJG0009?,JP,,PSN,,PSN
(BeitHell2000) Feeling Partner 5 vs 5 (Redeemable),NPJG0009?,JP,,PSN,http://game.watch.impress.co.jp/docs/news/361433.html,PSN
(PlayView) Irem Bururun Digital Magazine,NPJH60001,JP,JP0024-NPJH60001-00-0000PV0100010100,PSN,http://www.jp.playstation.com/software/title/jp0024npjh60001_000000pv0100010100.html,PSN
Elminage III Ankoku no Shito to Taiyou no Kyuuden (DL Version),NPJH50816,JP,,PSN,,PSN
"Motto Ane, Chan to Shiyouyo! +Plus",NPJH00135,JP,JP0407-NPJH00135-00-0000000000000001,PSN,https://store.playstation.com/#!/ja-jp/cid=JP0407-NPJH00135_00-0000000000000001,PSN
Football Manager Handheld 2011,NPUH10077,US,,PSN,,PSN
