type,title_id,game_title,region,update,license,url,content_id
CARD,PCSA00001,ModNation Racers: Road Trip,US,1.01,KO5ifR1dQ+eHBlgi6TIwBNnv6xcUZoAE8Pmvr7x+GZfOUenqhdMW+V+78HQ0xgc3AACVEBRW,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00001/PCSA00001_T1/dbb883f318b0899d/UP9000-PCSA00001_00-MNRV000000000000-A0101-V0101-ad187b2769bfce5b9ff9827c6144955ca676177f-PE.pkg,UP9000-PCSA00001_00-MNRV000000000000-A0101-V0101
CARD,PCSA00002,MLB 12: The Show,US,1.01,KO5ifR1dQ+eHBlgi6TIwAtnv6+NkaBTi4Rrs4R8e5hniiM9/Icc1Fv9jP54XopBzze3F/sujMT64AQDLrBWQ,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00002/PCSA00002_T0/dbb15e9b30917420/UP9000-PCSA00002_00-MLB12THESHOWVITA-A0101-V0100-5f757d506cdfd4eaade4ef35d6661719732b3396-PE.pkg,UP9000-PCSA00002_00-MLB12THESHOWVITA-A0101-V0100
PSN,PCSA00003,Sound Shapes,US,1.14,KO5ifR1dQ+eHBlgi6TIwBtkf7B/q5xLs4RjgGgy2FJ//imqUDxUqHJ1vYvVfR6Ljf8dojA9uAAB1FxQs,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00003/PCSA00003_T17/ba0a82497d694ba5/UP9000-PCSA00003_00-SOUNDSHAPES00000-A0114-V0100-388e0c5905944d87490e945cc8f31aa8f9b19c82-PE.pkg,/UP9000-PCSA00003_00-SOUNDSHAPES00000-A0114-V010
PSN,PCSA00004,Escape Plan,US,1.04,KO5ifR1dQ+eHBlgi6TIwAdnvGuwc4O7o6+rrGBziGhQajM9/Ips99m+VSfL/n325burtfX9HY3xwAwAXSBZX,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00004/PCSA00004_T3/b92cdfdb97fbd9c4/UP9000-PCSA00004_00-ESCPGAMEMASTERUS-A0104-V0100-1f2d79240c7e95736c49450d43f647ebbc83d7c5-PE.pkg,UP9000-PCSA00004_00-ESCPGAMEMASTERUS-A0104-V0100
PSN,PCSA00007,Hustle Kings,US,1.01,KO5ifR1dQ+eHBlgi6TIwB9kf6hEaHOLj6u3pB7ETn/9c4j7FB28/Wbt908EibQOzBYM8OphHenoEAEqSFKsA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00007/PCSA00007_T0/20f88cc6f7038ebf/UP9000-PCSA00007_00-UHUSTLEKIN000001-A0101-V0101-6272c40ef3e9bf4248f9c9b9c934e5120f95c238-PE.pkg,UP9000-PCSA00007_00-UHUSTLEKIN000001-A0101-V0101
CARD,PCSA00008,Resistance: Burning Skies,US,1.02,KO5ifR1dQ+eHBlgi6TKwANkf5BrsGRzi6OfsGuYZ4hgajM9/QZmvv6dMjthRtXOB6xvZ+7GDPDqYR3p6BAD7VhY9,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00008/PCSA00008_T2/bf97548999cda5c1/UP9000-PCSA00008_00-RESISTANCEVITAUS-A0102-V0100-a13544c81c4661e10949e15fae0e44c11bf303ed-PE.pkg,UP9000-PCSA00008_00-RESISTANCEVITAUS-A0102-V0100
CARD,PCSA00009,Hot Shots Golf: World Invitational,US,1.09,KO5ifR1dQ+eHBlgi6TKwBNkPtMbQyMjY2MTE1NTMzNwcn/8YQ57nKbr5WuabHf5Z89ygdjTGBzcAAMZ9Eq0A,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00009/PCSA00009_T6/3716aed06344ca82/UP9000-PCSA00009_00-0011223344556677-A0109-V0100-606b7f1090b4fe0cfdb9d4bb392f19381fcecfaf-PE.pkg,UP9000-PCSA00009_00-0011223344556677-A0109-V0100
CARD,PCSA00010,Little Deviants,US,1.01,KO5ifR1dQ+eHBlgi6TIE2+/jGRLi4+riGubp6BcSDDQDD2AJ8J2um/UgqZa5YwqP0fwflIUWywYaRwfzSE+PAEV/FCoA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00010/PCSA00010_T0/8762817b1f933216/UP9000-PCSA00010_00-LITTLEDEVIANTS00-A0101-V0100-197b6387e90fd7f2fac1a5054c69cb6bd30ff2f8-PE.pkg,UP9000-PCSA00010_00-LITTLEDEVIANTS00-A0101-V0100
CARD,PCSA00012,Reality Fighters,US,1.03,KO5ifR1dQ+eHBlgi6TI0AtkfEuTp6AOzMTTYEZ//nmn2/JBga7h/QWpDZ+7yQk7KQotlA42jg3mkp0cAMrUUxAAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00012/PCSA00012_T4/1fd0478268e5e01b/UP9000-PCSA00012_00-TRIAL00000000USA-A0103-V0100-66ddaa5f8f3d71b18bfb5b9e30667c01ca0870e7-PE.pkg,UP9000-PCSA00012_00-TRIAL00000000USA-A0103-V0100
CARD,PCSA00014,Unit 13,US,1.01,KO5ifR1dQ+eHBlgi6TI0Adkf6ucZYmgc5RkQ4BpkYAg0Aw9Yzi3Ku1b+5fP21ZZbI1UO36AstFg2jKYY2gIApKcVBAAA,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00014/PCSA00014_T17/7c51afb652a7014b/UP9000-PCSA00014_00-UNIT13ZIPPER0100-A0101-V0100-7a159437305f5b4a3d6824be820c8a5e002f76f0-PE.pkg,/UP9000-PCSA00014_00-UNIT13ZIPPER0100-A0101-V010
