game_title,region,title_id,url
1000 Tiny Claws (Minis),EU,NPEZ00401,http://zeus.dl.playstation.net/cdn/EP4131/NPEZ00401_00/yOIMIiVzurYnTwoDPKfdDDBTOiHYmTFhwHdMYUaWtadvTJdpMcbhICDZXCHIeFIt.pkg
1000 Tiny Claws (Minis),US,NPUZ00262,http://zeus.dl.playstation.net/cdn/UP4131/NPUZ00262_00/GrUYzmEAfJrkJnPoZbuDCuNxedcqPOzTSnRZYDLtjfKCnBexwLxRnSYCfPzJXYyfuaIBPshWxTpJyPuvFMZWfmIrXsPtSOszktCtV.pkg
100-in-1 Megamix,AS,NPHH00272,http://zeus.dl.playstation.net/cdn/HP4069/NPHH00272_00/yJVd1KHBG7ktBCkWfbDdyDQwFe7RTYqxwXfpNlo2VOIm0tHiUUKPQQjpDG1WdPrfjvhlOntsCqITQREnBQF9bi01APr8E0ysX7EcA.pkg
100-Man Ton no Barabara,JP,NPJG00071,http://zeus.dl.playstation.net/cdn/JP9000/NPJG00071_00/oVkxs0hqt1cNd3MfMkmQKwBatyj2s7A7dUGKcgoQ82SMFeJexPehj2PM3VrEkUIWErXiotVLgUqJv1JFNXm5kXN2dPITHGamH7jN5.pkg
101-in-1 Megamix,EU,NPEH00068,http://zeus.dl.playstation.net/cdn/EP4069/NPEH00068_00/6rJOUVjS1NnGHa67stOtBGSxKTt3jDqWEJ7Qe3hU7tsnjpc2iVoAeE88HoJ8MSkX.pkg
101-in-1 Megamix,US,NPUH10088,http://zeus.dl.playstation.net/cdn/UP4069/NPUH10088_00/ExR95Xxdoest15r3nNatBwuNqWQr58qtj5emDBQt6MCkpfgCthONh5O5x3S9mX126p5nKH7yHeqdB49cQ8M3IREu9EBNnMJnrlywY.pkg
2010 FIFA World Cup South Africa,EU,ULES01412,http://zeus.dl.playstation.net/cdn/EP0006/ULES01412_00/jwMjtF1Xrb6g9RDfDKl2LUKlg2qWJbJheqgEt5PlwohHY6iY6s4V6YrcnKUIlRmjM4d8o8aat5Mm4h9DGYLf8od08yuKC2OWC7lmv.pkg
2010 FIFA World Cup South Africa,EU,ULES01412,http://zeus.dl.playstation.net/cdn/EP0006/ULES01412_00/TNlC9iOyRADWaL6rURvEF7ybEPkUwahiw1ydwrSXpff9JwgmrdSNBXdVxN0afPwad6iFESU2vo5h2Q5w2Evg2wBxF41LqIbwEIwE0.pkg
2010 FIFA World Cup South Africa,US,ULUS10504,http://zeus.dl.playstation.net/cdn/UP0006/ULUS10504_00/IXihP3sYKaCtuxGqp3DeGV6p5ylkS2CrMrH4cBXE9QIuOS613OXVSR66m62CQuNHrBB4RpMNGiEbCdpldidOjDgHk52O86LtU7tpd.pkg
2010 FIFA World Cup South Africa (FR/DE),EU,ULES01413,http://zeus.dl.playstation.net/cdn/EP0006/ULES01413_00/xY7Lh27c0QLXWmiEsuu3Xp3jT8OEqFs2Cmb6TGnj15yD0vjsrpEY9gmYjBaUkic1sGfJyQjnJ64sTj4x5OOoRdfJUa48At3TtFBBQ.pkg
20Q (Minis),EU,NPEZ00175,http://zeus.dl.playstation.net/cdn/EP4163/NPEZ00175_00/ItUCtLjOpXPxsdzSivcRvGoKLIoWQUdLUAaoxaWkiPTYoQRzdhFGNGNEEIMRhgzx.pkg
"3,2,1...SuperCrash! (Minis)",EU,NPEZ00305,http://zeus.dl.playstation.net/cdn/EP4128/NPEZ00305_00/eDFGvqKXSckCflfyj6UVuVVpkPH0MvNlsWJd9ucJSFJpDl5ejlGH5eG5XkCYFnRJ.pkg
"3,2,1...SuperCrash! (Minis)",US,NPUZ00189,http://zeus.dl.playstation.net/cdn/UP4128/NPUZ00189_00/JXCSXW8Mc2nkluQy8Pm59HDXL4CDb8LTo8DkS0EfIYHT1yH5RRstWPqK8gTsVqGdmPSW8HLHf68QlhJUDLA19jc6to7RQdcNUPX3P.pkg
300: March to Glory,US,ULUS10241,http://zeus.dl.playstation.net/cdn/UP1018/ULUS10241_00/sK0XjBYSsn0TQQT62MQ3t3I0GWDvAKotmgWwBHP3C9Lac4dqyGK9qp0d48dthqiuWYDbegmHNXCgy8VP1P5vr3f1pBSnqArXOCF4n.pkg
3D Twist & Match (Minis),EU,NPEZ00318,http://zeus.dl.playstation.net/cdn/EP4119/NPEZ00318_00/RIEPdEjTPsYbsprGwyUvzfVSDDzpQEFcHDbcplwawpYdoZBhQnFIORunubdhVyMl.pkg
3D Twist & Match (Minis),US,NPUZ00176,http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00176_00/ahNSDTzDvUcwQZezbNodLmgXLeiSdeqzWjhSONcOAvyEQJERHvMSnoRFQmvHJgcOaiwSqkyRjoFUxaXOhcwEyHbqJUnzjAPPgeDDe.pkg
428: Fuusa Sareta Shibuya de,JP,NPJH50020,http://zeus.dl.playstation.net/cdn/JP0365/NPJH50020_00/gFqxhzCMTLSdSuYgoommaYrsaroMyqckedZCFhZlCDhcAlyfomZlgaRhaOAcDTqrMENRWgDIgtdZhqJRbrFejDHLGZhFeMXQfrtKf.pkg
4x4 Jam (Minis),EU,NPEZ00205,http://zeus.dl.playstation.net/cdn/EP4147/NPEZ00205_00/uwsM4VOx5Muj6gCgDYBDkl6A0cWMUeietmtxqoFL02luWLQ2Ia8DfWR8yCFKivM0kM95yPm78pkstfUnOUp5OVQioXyrdhsBnbMnJ.pkg
4x4 Jam (Minis),US,NPUZ00104,http://zeus.dl.playstation.net/cdn/UP4147/NPUZ00104_00/fgFs5J6vGFlPrNEw2os4OJVUWX84HYVSJfc32YX9qvKhw5eBYG4FltAMy455aVsjP8jWpPpjKIsJc1B1MurnrBh9fGpvdh8gGhfDG.pkg
5 in 1 Solitaire (Minis),EU,NPEZ00384,http://zeus.dl.playstation.net/cdn/EP2043/NPEZ00384_00/syvnQdSxkDEBHQRKOEjJJKIhvafdmwlQLDKeVWxAHXTnytNAuVVpNKGoggYblTdh.pkg
5 in 1 Solitaire (Minis),US,NPUZ00086,http://zeus.dl.playstation.net/cdn/UP2043/NPUZ00086_00/ctiaUEraNAALrFcIhRYycnBmteVoTlvjtTLOfwIsJyBWJnmopWRUlFDWoExZjtPYDjsbmsUtnMZgPBLhWTRPgLrbmgxBsohSgmNZg.pkg
5-in-1 Arcade Hits (Minis),EU,NPEZ00174,http://zeus.dl.playstation.net/cdn/EP4151/NPEZ00174_00/Ls6UDGMYOAa2sys5dWf9HcGWXrDlaMrSb2AO8xaKEaIJFXumki8ALLfGHqemGFNkVWuNmHB6HXiMHcD0YHMxpWkxjA1f44OPFtOLF.pkg
5-in-1 Arcade Hits (Minis),US,NPUZ00078,http://zeus.dl.playstation.net/cdn/UP4151/NPUZ00078_00/RFOtu40ry8n4BdN7WRle8ccVKHbjCyNkqRseGq66sHRuYFevj0n90LdcMobbdq0W2i3SCvQj0LXPgdjG8l9UDm7jht9Wr2AGWGgYv.pkg
7 Wonders of the Ancient World,US,ULUS10227,http://zeus.dl.playstation.net/cdn/UP2008/ULUS10227_00/P3ToJK0UabOmwC7E6gAxxWhO3JNLryCFCYUImQb40n4AXFv44kDbJk93YdBV1V0050g2k6ubNy5PHHrw5LXQ4O9jlh2hrqYgO7qCM.pkg
7th Dragon 2020,JP,NPJH50459,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50459_00/IEXpppGAYjzauBzvZuaSytUfXMAFOzaWSffLZjnyBNKmcyReOzgENojogFhDoslIkyCEGfAAjhvaZGeQXnsOtlsyezTxjGjbgZmtg.pkg
7th Dragon 2020-II,JP,NPJH50716,http://zeus.dl.playstation.net/cdn/JP0177/NPJH50716_00/cncWkFKqHMyyZAxyixtdkWuEmzhmxgwuMzufvmXlTckaqJINsFmZQRLwpDbKaNacjwEYNdRuuIAaOYjdUewxvGOwYPbFJyPDDJgAt.pkg
A Space Shooter For 2 Bucks! (Minis),EU,NPEZ00322,http://zeus.dl.playstation.net/cdn/EP4096/NPEZ00322_00/OIPJuXJgvfUkBXItVOKkEBphEMpMkWXQiSBosANpqZLxojMCRerJeoEAqUbcHOCU.pkg
A Space Shooter For 2 Bucks! (Minis),US,NPUZ00190,http://zeus.dl.playstation.net/cdn/UP4096/NPUZ00190_00/INcBdjFYxqlAEIgKHkNsIirpPyDwRSDTqUpfpjiGdACDLIGHbpWIqaIuBPfRzTepKxImpHfHZenLiLIqiXTETijAWaTZNxHXyAoNU.pkg
Ace Armstrong vs The Alien Scumbags (Minis),EU,NPEZ00218,http://zeus.dl.playstation.net/cdn/EP4132/NPEZ00218_00/SmOSlbJWjSOlhGIp06PwYybYcPvWkkGqf3ianHHF9RsOUnasUpEaeaNcRWpc7ocN.pkg
Ace Armstrong Vs. The Alien Scumbags! (Minis),US,NPUZ00109,http://zeus.dl.playstation.net/cdn/UP4132/NPUZ00109_00/xSH8m4AbUyNmO8gg9CashFo0w2pBx64uRBvHXhvX25MOoOCFPLSw7HanMQsySEDOJUjrP1NXYOY9cdaCEb8KB2VH5ESwAJClXesIi.pkg
Ace Combat X2: Joint Assault,JP,NPJH50263,http://zeus.dl.playstation.net/cdn/JP0700/NPJH50263_00/CpiA7Hdw4B8NtmtBqUvgocw8R5I6LIEbCf0o8bmpvrtfvyF5uOiGTHTw8FjdAwy6XNJNBMmLuT5oTewauvu6vHleoDSk0YU1KHrP0.pkg
Ace Combat: Joint Assault,US,ULUS10511,http://zeus.dl.playstation.net/cdn/UP0700/ULUS10511_00/I8bLXTDqlHrvsbiMdk5ulHuOTapV7GpcGGPl3PIMUbBGepxrMV7hQRHxb3nWGNIQJlhC26WKGESE7AV0Xy4nVfsxeg91YYU9brW70.pkg
Ace Combat: Joint Assault,EU,ULES01408,http://zeus.dl.playstation.net/cdn/EP0700/ULES01408_00/h4bkwqGc3nKpHb43XIPmmNYsgiH9RGH62MgkiDU8DjR53v11HTIT6mBfAXxF2NpM.pkg
Activision Hits Remixed,US,ULUS10186,http://zeus.dl.playstation.net/cdn/UP0002/ULUS10186_00/R4XDLkQT23qOQ9tVABplwmML3OMVpUXx05fKj80qWosXW1dYAmIt5A2tAJ7JTjerPJIY6G2cauKHEw8M4DsMRiPpxaEcyW5O8KxpX.pkg
Actual Crimes: Jack the Ripper (Minis),EU,NPEZ00216,http://zeus.dl.playstation.net/cdn/EP4119/NPEZ00216_00/yqle5FEulTUcpidsTaX5DYYj30Aug7ubDI9nFxYj6vQ5GK2P9ehIcKDl1puHl2qb.pkg
Actual Crimes: Jack The Ripper (Minis),US,NPUZ00110,http://zeus.dl.playstation.net/cdn/UP4082/NPUZ00110_00/Nq71xE96rCqOeyX5HX9MOA4UW7gyOTG2IMrYUJNTcu9hsbPMsOyUSBPNMvgedhe185T7YAF67j1XngKeykg9QLDkW1Iy7Oegdomni.pkg
Adventures To Go!,US,ULUS10417,http://zeus.dl.playstation.net/cdn/UP1014/ULUS10417_00/dFnPL5sWiRLY1311VFyhK0qrW5vEaN43phH41iGx04uQjQFq1Yg4cnBFvnjt0lv0HggWcsAJHelKBs6cWJDWWjXC2BlEd3yfXPwkm.pkg
Aedis Eclipse: Generation of Chaos,US,ULUS10242,http://zeus.dl.playstation.net/cdn/UP1063/ULUS10242_00/tddr9oHkCNHhkwTa69lIQEixktYOMshVmjvAyyPvoJA4dGNVDu6rIOJxGjHXX6vxCvBD3HpEBDbW0TIiQknOYb5qBfeg0BlrY2TW0.pkg
Aedis Eclipse: Generation of Chaos,EU,NPEH00106,http://zeus.dl.playstation.net/cdn/EP4015/NPEH00106_00/FxdWABPGLzUlwfNGjxSASHOQkKfLHFaiBkKxlwuxONNJnCjyFSebQEHpTZcFwdhS.pkg
Aero Racer (Minis),EU,NPEZ00043,http://zeus.dl.playstation.net/cdn/EP4043/NPEZ00043_00/4hhsnDFo3r9WaO4Jv9t2p0G1XdREFwKvGNG4avC852TfTLmTRcbQTRO7br4ni18ERv2DC8RlRXLE1yAferNVGca6YPrwSpUq6sSYp.pkg
Aero Racer (Minis),US,NPUZ00023,http://zeus.dl.playstation.net/cdn/UP4043/NPUZ00023_00/fCswKvRPA1hlBjDJqHyuqxEHwYrsqN5oigiJOqxneVKdTowTfbX8hyNnHGMiwv0qGFYONw2fVlflBubuUeExD18ypucNnvmpQ3Yo8.pkg
AFL Challenge,EU,NPEH00022,http://zeus.dl.playstation.net/cdn/EP4116/NPEH00022_00/LrnRpsbYXOdMPGsnGOvLbF1xxspMaV3WQ8e6QJxVX5fP7Xk0p7xnMETTshDbGjqM1TTLmJXTFv501fRXexnGQavmCFccXYqREl4vq.pkg
After Burner: Black Falcon,US,ULUS10244,http://zeus.dl.playstation.net/cdn/UP0177/ULUS10244_00/CPPsJpVUrIgi05lNS8FcrBmgeDvfaiPnNAmlGNowoO2nBprC4dfof1eSlNg5XCg3lYJPJmq43nRmgt8llsQCduKK34SC65LkcgeAl.pkg
Age of Hammer Wars (Minis),EU,NPEZ00142,http://zeus.dl.playstation.net/cdn/EP4118/NPEZ00142_00/O149TKaCH79Aiu0gKemsswrnH6iT5yuOX4NehD2NBGjk4F8v9Rx1HU272cSox6u9.pkg
Age of Hammer Wars (Minis),US,NPUZ00178,http://zeus.dl.playstation.net/cdn/UP4118/NPUZ00178_00/XLo6n52onMDts8WXP1yeEb99HQeqqYvH11HcrRN4UcVYHbYw1UAIhXUnOHg13fi7y10KGK9qFtMOoK6EtA2BQ7TCKjYfnVCGyAYLY.pkg
Age of Zombies (Minis),EU,NPEZ00044,http://zeus.dl.playstation.net/cdn/EP4043/NPEZ00044_00/UIdMn3jsyOxn6tDUxcNFSubfwnT5rdbPAJOlgOUteQtvav75YNpV4h686WYiNw4oaYoFbXMn9gohEN64D3kBiM1Nl4ShRHobHwKhr.pkg
Age of Zombies (Minis),US,NPUZ00024,http://zeus.dl.playstation.net/cdn/UP4043/NPUZ00024_00/RAcdjOIO8jPP1vwNwUwqDkkrOMeLAkr4sKY80GsM7KsbramVuIABplxXmjCSQOWoVJxddcomaqNLwqq6JxS1oFYhkx77YhfbarmHf.pkg
AIR,JP,NPJH50337,http://zeus.dl.playstation.net/cdn/JP0548/NPJH50337_00/hVNg2KseM2HHK2NRO68QJLvG4QAFX7tBRdrvu6inkTr37HfpWpXJi32Chk2L0DAjNviCjTnXKr6mJJD1fIqi9479JS8rldXh5n1GG.pkg
Akiba's Trip Plus,JP,NPJH50563,http://zeus.dl.playstation.net/cdn/JP0048/NPJH50563_00/qVLKMkSIgKNKNlyumrzopXbuxiFPdvogavtzOjcoyWMKFqzJaNWmRfZWDsqrhgjztmNrfFErvEFezTDLZeVUNhKUVOLvrjGrvHinS.pkg
Akumajou Dracula: X Chronicle,JP,NPJH50028,http://zeus.dl.playstation.net/cdn/JP0101/NPJH50028_00/iB2hStvrw8cktnlivUBB7ELBR2h53AkYehG1N7nS2Kb99HapLgj3oSaIqFJ5FfpnYiAQcVUQq80uR9RjvoREe3hKetllongN9iy9X.pkg
