GameId	Region	GameTitle	URL
SCAJ10001	AS	Makai Senki Disgaea	
SCAJ10003	AS	Taiko no Tatsujin Doki	
SCAJ10004	AS	Time Crisis 2	
SCAJ10006	AS	Taiko no Tatsujin 3 - Appare Sandaime	
SCAJ10007	AS	Taiko no Tatsujin - Waku Waku Anime Matsuri	
SCAJ10008	AS	Taiko no Tatsujin Atsumare Yonndaime	
SCAJ10009	AS	Psikyo Shooting Collection Vol.1 - Strikers 1&2	
SCAJ10011	AS	Taiko no Tatsujin Go! Go! Godaime	
SCAJ10012	AS	Taiko Drum Master	
SCAJ10013	AS	Taiko no Tatsujin - Tobikkiri! Anime Special	
SCAJ10014	AS	Taiko no Tatsujin Wai Wai Happy Muyome	
SCAJ10015	AS	Taiko No Tatsujin Doka! To Omori 7Daime	
SCAJ20001	AS	Ratchet & Clank	
SCAJ20002	AS	Gallop Racer 6 - Revolution	
SCAJ20004	AS	Dot Hack Vol.3	
SCAJ20005	AS	Guilty Gear XX	
SCAJ20006	AS	Gunbarl Collection with Time Crisis	
SCAJ20008	AS	V-Rally 3	
SCAJ20009	AS	Herdy Gerdy	
SCAJ20010	AS	Bakusou Dekotora Densetsu 3	
SCAJ20011	AS	Armored Core 3 - Silent Line	
SCAJ20012	AS	Venus & Braves	
SCAJ20013	AS	MotoGP 3	
SCAJ20014	AS	Time Splitter	
SCAJ20015	AS	Shin Megami Tensei 3 - Nocturine	
SCAJ20017	AS	Sly Cooper	
SCAJ20019	AS	Arc the Lad - Seirei no Tasogare	
SCAJ20020	AS	Drag-On Dragoon	
SCAJ20021	AS	Metal Slug 3	
SCAJ20023	AS	Soul Calibur II	
SCAJ20024	AS	Dot Hack Vol.4	
SCAJ20025	AS	Grand Prix Challenge	
SCAJ20026	AS	Generation of Chaos III	
SCAJ20027	AS	Tenchu 3	
SCAJ20029	AS	R-Type Final	
SCAJ20032	AS	Mosquito - Let's Go Hawaiian	
SCAJ20033	AS	Guilty Gear XX #Reload	
SCAJ20034	AS	Summon Night 3	
SCAJ20035	AS	Deat to Rights	
SCAJ20037	AS	Monster Farm 4	
SCAJ20039	AS	Sidewinder V	
SCAJ20040	AS	King of Fighters 2001, The	
SCAJ20041	AS	Energy Airforce - Aim Strike!	
SCAJ20043	AS	Chain Drive	
SCAJ20044	AS	Tomb Raider - The Angel of Darkness	
SCAJ20045	AS	Shadow Tower Abyss	
SCAJ20046	AS	Siren	
SCAJ20047	AS	Time Crisis 3	
SCAJ20048	AS	R - Racing Evolution	
SCAJ20050	AS	Fatal Frame 2 - Crimson Butterfly	
SCAJ20055	AS	Battle Gear 3	
SCAJ20056	AS	Bujingai	
SCAJ20057	AS	Front Mission 4	
SCAJ20058	AS	Terminator 3 - Rise of the Machines	
SCAJ20059	AS	Minna no Golf 4	
