GameId	Region	GameTitle	Link	zRIFId	ContentId	Firmware
PCSA00029	US	Uncharted: Golden Abyss Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00029_00/RcJFDNAQcPMBFcEoMIjhDhRglknSNEEPhzYCXTXDSRCfvtcJqfPZQvwwBzpNXrFq.pkg	KO5ifR1dQ+eHBlgi6TKyBNkf6u4Y5hniGOLh6guyygCf/6pfsHPcO355js303rsv18f1j8b44AYAd0EV+wAA	UP9000-PCSA00029_00-UGAVITATHEME0000	0
PCSA00099	US	Tearaway Custom Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00099_00/mANTDkYDjNPOrkAGOeueTRhKJLAJHowEteUNKNqSRdHVwnogzGIAyMInwkoFRDMA.pkg	KO5ifR1dQ+eHBlgi6bK0BNkf4uHq64qw0wCf/0r/Khi+v9dRP89GzGvRCeNFozE+uAEAJB4UCQAA	UP9000-PCSA00099_00-THEME00000000000	0
PCSA00147	US	Freedom Wars Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00147_00/UP9000-PCSA00147_00-THEME201410FW001_bg_1_c1290637dc8da489fbc2005a9a248ad7fb121a35.pkg	KO5ifR1dQ+eHBlgidBmamIPsD/Fw9XU1AvIMDdzCgaL4/Od8pfvroo6oPJdL7Elz+yM2jcb44AYA5EUUdwAA	UP9000-PCSA00147_00-THEME201410FW001	0
PCSA00147	US	Freedom Wars - Kouken Girls Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00147_00/UP9000-PCSA00147_00-THEME201412FW002_bg_1_7b91c810ef0454426f64dbab3f2bdeeca8bbbf88.pkg	KO5ifR1dQ+eHBlgidBmamIPsD/Fw9XU1AvIMjdzCgW7A5z+xpy8qhKQTX7Dmrv79Jqg9dDTGBzcAAIKDFD8A	UP9000-PCSA00147_00-THEME201412FW002	0
PCSA00155	US	Oreshika: Tainted Bloodlines - Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00155_00/UP9000-PCSA00155_00-THEME201410ORE01_bg_1_bd1cdbea7e27340ca59b9044a068449b67bda520.pkg	KO5ifR1dQ+eHBlgidBmamoLsD/Fw9XU1MjA0MTTwD3I1MMTnv0NKfGmV2Qprr2/+Fjb9+IyTozE+uAEAoi0U7wAA	UP9000-PCSA00155_00-THEME201410ORE01	3.5
PCSA00570	US	Four Seasons Theme	http://zeus.dl.playstation.net/cdn/UT0014/PCSA00570_00/vcYcFJnrzCYzszddRJowtSAAHMMRziHdZovHIKBYzKfciCgFSsWHweKDqlJTDOmO.pkg	KO5ifR1dQ+eHAq0xNIHqMjUH2+/s4hzi4err6gix0wif/zjaXxun1e2KMY/VreCekS8zGuODGwAAUfgSTgAA	UT0014-PCSA00570_00-CDCTHEMEA0000002	0
PCSA00571	US	Stiching Theme	http://zeus.dl.playstation.net/cdn/UT0014/PCSA00571_00/UeyggNMMfrnTRkCBinxLAEzHXFXSJVoihveQlLsMJigWoBqABqkihxaiLeSEUWHC.pkg	KO5ifR1dQ+eHAq0xNIHqMjU3BNnv7OIc4uHq6+oIsdMIn/9WWhd/OdjZ7phdrFm8alm31WiMD24AAGxwFC0A	UT0014-PCSA00571_00-CDCTHEMEA0000002	0
PCSA00572	US	Crystal Theme	http://zeus.dl.playstation.net/cdn/UT0014/PCSA00572_00/czqQKNMWUlisxtaSKKZIARrnnRFqBALFZtbEvVCcTxJtjMjHQoJMNZzTezodLmAU.pkg	KO5ifR1dQ+eHAq0xNIHqMjU3Atnv7OIc4uHq6+oItROf/0Ibnm1/rMf6ee95kwajyW2zR2N8cAMAl2EU4gAA	UT0014-PCSA00572_00-CDCTHEMEA0000001	0
PCSA00607	US	PlayStation® 20th Anniversary Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00607_00/jnBoxGkdjXOwvNEUZIKLZosIlxgZEJtKCJpmOmVyGtfaMyOIWPEIorjUQVrhHGTe.pkg	KO5ifR1dQ+eHBlgidJkZmIPsNzII8XD08/MM8XD1BdpliM9/Nj3+xUxH16b5yPWHr3X1Pzka44MbAAAQGxNX	UP9000-PCSA00607_00-20THANNITHEME001	0
PCSA00662	US	TORO and Friends Theme	http://zeus.dl.playstation.net/cdn/UP9000/PCSA00662_00/VFXXapreXYvQjXrwdPxmqblbbTdxuVPESvYSEPXOhngPnyuXKpMAJjDqZeKDMagT.pkg	KO5ifR1dQ+eHBlgidJmZGYHsd/H39ndx9fX3DA6O9A8NdsTnv7Lv78QY0p87hf12Xl7/qcxnNMYHNwAAGYIVswAA	UP9000-PCSA00662_00-DOKODEMOISSYOUSA	0
PCSE00235	US	DOA Hot Summer Ayane Theme	MISSING	MISSING	UP4108-PCSE00235_00-AYANETHEME000000	
PCSE00235	US	DOA Hot Summer Christie Theme	MISSING	MISSING	UP4108-PCSE00235_00-CHRISTIETHEME000	
PCSE00235	US	DOA Hot Summer Helena Theme	MISSING	MISSING	UP4108-PCSE00235_00-HELENATHEME00000	
PCSE00235	US	DOA Hot Summer Hitomi Theme	MISSING	MISSING	UP4108-PCSE00235_00-HITOMITHEME00000	
PCSE00235	US	DOA Hot Summer Honoka Theme	MISSING	MISSING	UP4108-PCSE00235_00-HONOKATHEME00000	
PCSE00235	US	DOA Hot Summer Kasumi Theme	MISSING	MISSING	UP4108-PCSE00235_00-KASUMITHEME00000	
PCSE00235	US	DOA Hot Summer Kokoro Theme	MISSING	MISSING	UP4108-PCSE00235_00-KOKOROTHEME00000	
PCSE00235	US	DOA Hot Summer Leifang Theme	MISSING	MISSING	UP4108-PCSE00235_00-LEIFANGTHEME0000	
PCSE00235	US	DOA Hot Summer Lisa Theme	MISSING	MISSING	UP4108-PCSE00235_00-LISATHEME0000000	
PCSE00235	US	DOA Hot Summer Marie Rose Theme	MISSING	MISSING	UP4108-PCSE00235_00-MARIETHEME000000	
PCSE00235	US	DOA Hot Summer Mila Theme	MISSING	MISSING	UP4108-PCSE00235_00-MILATHEME0000000	
PCSE00235	US	DOA Hot Summer Momiji Theme	MISSING	MISSING	UP4108-PCSE00235_00-MOMIJITHEME00000	
PCSE00235	US	DOA Hot Summer Nyotengu Theme	MISSING	MISSING	UP4108-PCSE00235_00-NYOTENGUTHEME000	
PCSE00235	US	DOA Hot Summer Rachel Theme	MISSING	MISSING	UP4108-PCSE00235_00-RACHELTHEME00000	
PCSE00235	US	DOA Hot Summer Tina Theme	MISSING	MISSING	UP4108-PCSE00235_00-TINATHEME0000000	
PCSE00609	US	Blue Code Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICBLUETHEME	
PCSE00609	US	3D Circuits Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICCRCTTHEME	
PCSE00609	US	Epic Death Dealer Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDDLRTHEME	
PCSE00609	US	Epic Death Dealer 2 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDDR2THEME	
PCSE00609	US	Epic Death Dealer 3 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDDR3THEME	
PCSE00609	US	A Dynamic Death Dealer Lord Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDLRDTHEME	
PCSE00609	US	Epic Dragon Battle 2 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDRG2THEME	
PCSE00609	US	Epic Dragon Battle Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICDRGNTHEME	
PCSE00609	US	Epic Green Stream Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICGRSTTHEME	
PCSE00609	US	A Epic Laser Cat 2 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICLSC2THEME	
PCSE00609	US	A Epic Laser Cat 3 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICLSC3THEME	
PCSE00609	US	A Epic Laser Cat Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICLSCTTHEME	
PCSE00609	US	3d Dynamic Meteor Theme B	http://zeus.dl.playstation.net/cdn/UT0027/PCSE00609_00/jQZnaZBrkOtmKjyOqTDIjCRiqtRovzttBazbdjptgIEidzqXJpLPFERphgcMaSBy.pkg	MISSING	UT0027-PCSE00609_00-DYNAMICMTRBTHEME	0
PCSE00609	US	Epic Pirate Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICPRTETHEME	
PCSE00609	US	A Epic Skull Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICSKL1THEME	
PCSE00609	US	A Epic Skull 2 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICSKL2THEME	
PCSE00609	US	A Epic Skull 3 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICSKL3THEME	
PCSE00609	US	Epic Werewolf Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICWLF1THEME	
PCSE00609	US	Epic Werewolf 2 Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICWLF2THEME	
PCSE00609	US	Epic Waterfalls Theme	MISSING	MISSING	UT0027-PCSE00609_00-DYNAMICWTRFTHEME	
PCSE00617	US	Gnarling Wolf Theme	MISSING	MISSING	UP4507-PCSE00617_00-0000000000000002	
PCSE00617	US	American Eagle Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000003	
PCSE00617	US	Angry Baseball Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000004	
PCSE00617	US	Assassin Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000005	
PCSE00617	US	Bone Eye Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000006	
PCSE00617	US	Calm Puppy Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000007	
PCSE00617	US	Canada Beaver Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000008	
PCSE00617	US	Cyber Werewolf Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000009	
PCSE00617	US	Dead Rude Boy Theme	MISSING	MISSING	UP4507-PCSE00617_00-1000000000000010	
