GameId	Region	GameTitle	URL
SCPS45084	AS	Super Black Bass X	
SCPS45373	AS	Fuujin Ryouiki Eretzvaju	
SCPS45385	AS	Tomb Raider III - Adventures of Lara Croft	
SCPS45403	AS	Beat Mania Append GottaMix	
SCPS45447	AS	Chrono Cross	
SCPS45448	AS	Chrono Cross	
SCPS45165	AS	Goal Storm '97	
SCPS45183	AS	Vandal Hearts	
SCPS45184	AS	Suikoden	
SCPS45196	AS	Castlevania - Symphony of the Night	
SCPS45294	AS	International Superstar Soccer Pro '98	
SCPS45386	AS	Tomb Raider III - Adventures of Lara Croft	
SCPS45497	AS	ISS Pro Evolution	
SCPS45003	AS	Sangokushi IV	
SCPS45128	AS	Sangokushi V	
SCPS45510	AS	Shediao Yingxiongzhuan	
SCED01570	AU	Australian Summer Special	
SCED03200	AU	This Is Soccer 2	
SCED03636	AU	Disney's Atlantis - The Lost Empire	
SCES02269	AU	This Is Soccer	
SCES03071	AU	This Is Soccer 2	
SLED02044	AU	Star Wars - Episode I - The Phantom Menace	
SLED02310	AU	Compilation 01	
SLED02415	AU	Compilation 02	
SLED02439	AU	Compilation 03	
SLED02440	AU	Compilation 04	
SLED02879	AU	Tony Hawk's Pro Skater 2	
SLES00488	AU	Time Commando	
SLES01576	AU	Shane Warne Cricket	
SLES01675	AU	Tiger Woods 99 USA Tour Golf	
SLES01875	AU	AFL 99	
SLES01876	AU	Need for Speed - High Stakes	
SLES02371	AU	CyberTiger	
SLES02556	AU	Thrasher - Skate and Destroy	
SLES02595	AU	Tiger Woods USA Tour 2000	
SLES02862	AU	Sydney 2000	
SLES03337	AU	Tiger Woods USA Tour 2001	
SLES03447	AU	Darkstone	
SLES03570	AU	Blue's Clues - Blue's Big Musical	
SLES03585	AU	Who Wants to Be a Millionaire - Australian Edition	
SCED03237	BE	This Is Football 2	
SLUS01417	CA	Harry Potter and the Philosopher's Stone	
SLES03261	DA	Disneys Tigerdyrets honningjagt	
SLES03512	DA	Hugo - Den Sorte Diamantfeber	
SCED00494	DE	Tekken 2 - Fade To Black - F1 - V-CD	
SCED00583	DE	Euro Demo 02	
SCED00622	DE	Euro Demo 03	
SCED00669	DE	Euro Demo 04	
SCED00670	DE	Euro Demo 05	
SCED00671	DE	Euro Demo 06	
SCED00672	DE	Euro Demo 07	
SCED00673	DE	Euro Demo 08	
SCED00674	DE	Euro Demo 09	
SCED00675	DE	Euro Demo 10	
SCED00676	DE	Euro Demo 11	
SCED00677	DE	Euro Demo 12	
SCED00678	DE	Euro Demo 13	
SCED00679	DE	Euro Demo 14	
SCED00680	DE	Euro Demo 15	
SCED00890	DE	Euro Demo 08b	
SCED00994	DE	Euro Demo Classics Special	
SCED01121	DE	Euro Demo 16	
SCED01122	DE	Euro Demo 17	
SCED01123	DE	Euro Demo 18	
SCED01124	DE	Euro Demo 19	
SCED01125	DE	Euro Demo 20	
SCED01126	DE	Euro Demo 21	
SCED01127	DE	Euro Demo 22	
SCED01128	DE	Euro Demo 23	
SCED01129	DE	Euro Demo 24	
SCED01130	DE	Euro Demo 25	
SCED01190	DE	MIP Club Demo 02	
SCED01270	DE	Command & Conquer - Alarmstufe Rot & Bloody Roar	
SCED01306	DE	Autorennen Spezial '98	
SCED01307	DE	Fussball Spezial 01	
SCED01528	DE	Strategie Speziale '98	
SCED01643	DE	Beat-Em-Up Speziale	
SCED01739	DE	Katalog Spezial Demo	
SCED01777	DE	Euro Demo 27	
SCED01786	DE	Euro Demo 28	
SCED01834	DE	Euro Demo 29	
SCED01835	DE	Euro Demo 04-99	
SCED01836	DE	Euro Demo 05-99	
SCED01837	DE	Euro Demo 06-99	
SCED01838	DE	Euro Demo 07-99	
SCED01839	DE	Euro Demo 08-99	
SCED01840	DE	Euro Demo 09-99	
SCED01841	DE	Euro Demo 10-99	
SCED01842	DE	Euro Demo 11-99	
SCED01843	DE	Euro Demo 12-99	
SCED01844	DE	Euro Demo 01-00	
SCED01845	DE	Euro Demo 02-00	
SCED01846	DE	Euro Demo 03-00	
SCED01847	DE	Euro Demo 04-00	
SCED01848	DE	Euro Demo 05-00	
SCED01995	DE	Euro Demo 04-99 'Action Special'	
SCED02050	DE	Euro Demo 06-99 'Special'	
SCED02383	DE	Germany Speziale 11-99	
SCED02659	DE	Euro Demo 06-00	
SCED02660	DE	Euro Demo 07-00	
SCED02661	DE	Euro Demo 08-00	
SCED02662	DE	Euro Demo 09-00	
SCED02663	DE	Euro Demo 10-00	
SCED02664	DE	Euro Demo 11-00	
SCED02665	DE	Euro Demo 12-00	
SCED02666	DE	Euro Demo 01-01	
SCED02667	DE	Euro Demo 02-01	
SCED02668	DE	Euro Demo 03-01	
SCED02669	DE	Euro Demo 04-01	
SCED03203	DE	Fussball Live 2	
SCED03358	DE	Dschungelbuch, Das - Groove Party	
SCED03468	DE	Euro Demo 05-01	
SCED03469	DE	Euro Demo 06-01	
SCED03470	DE	Euro Demo 07-01	
SCED03471	DE	Euro Demo 08-01	
SCED03472	DE	Euro Demo 09-01	
SCED03473	DE	Euro Demo 10-01	
SCED03474	DE	Euro Demo 11-01	
SCED03475	DE	Euro Demo 12-01	
SCED03476	DE	Euro Demo 01-02	
SCED03477	DE	Euro Demo 01-2005	
SCED03478	DE	Euro Demo 03-02	
SCED03479	DE	Euro Demo 04-02	
SCED03809	DE	Euro Demo 02-02	
SCED03887	DE	Euro Demo 05-02	
SCED03892	DE	Euro Demo 06-02	
SCED03893	DE	Euro Demo 07-02	
SCED03894	DE	Euro Demo 08-02	
SCED03895	DE	Euro Demo 09-02	
SCED03896	DE	Euro Demo 10-02	
SCED03897	DE	Euro Demo 11-02	
SCED03903	DE	Euro Demo 01-03	
SCED03905	DE	Euro Demo 03-04-2003	
SCED03927	DE	Erlebe den Zauber von Disney auf der PlayStation	
SCED04012	DE	Free Spin Demo Disc! Voellig Gratis Demo Disc!	
SCES00348	DE	Baphomets Fluch	
SCES00602	DE	Z	
SCES00800	DE	Baphomets Fluch II - Die Spiegel der Finsternis	
SCES00869	DE	Final Fantasy VII	
SCES00893	DE	Disneys Hercules Action-Spiel	
SCES00902	DE	Ace Combat 2	
SCES01071	DE	Treasures of the Deep	
SCES01172	DE	Wild Arms	
SCES01186	DE	Klonoa - Door to Phantomile	
SCES01232	DE	Spice World	
SCES01288	DE	Zero Divide 2 - The Secret Wish	
SCES01322	DE	Granstream Saga, The	
SCES01358	DE	Pet in TV	
SCES01493	DE	MediEvil	
SCES01517	DE	Disneys Tarzan	
SCES01521	DE	Disney-Pixar Das grosse Krabbeln	
SCES01567	DE	X-Files, The	
SCES01702	DE	Fussball Live	
SCES01770	DE	Destrega	
SCES01912	DE	Syphon Filter	
SCES01918	DE	G-Police - Weapons of Justice	
SCES01945	DE	Legend of Legaia	
SCES02005	DE	Disneys Mulan	
SCES02011	DE	Kurushi Final	
SCES02029	DE	Ape Escape	
SCES02073	DE	Tiny Tank	
SCES02101	DE	Shadow Madness	
SCES02151	DE	Cold Blood	
SCES02161	DE	Star Ocean - The Second Story	
SCES02175	DE	Magical Tetris Challenge	
SCES02278	DE	Pac-Man World	
SCES02287	DE	Syphon Filter 2	
SCES02367	DE	Barbie - Race & Ride	
SCES02460	DE	Disney's Malen und Spielen - Disney-Pixar A Bug's Life	
SCES02484	DE	Muppet RaceMania	
SCES02489	DE	Barbie - Super Sport	
SCES02566	DE	Dragon Valor	
SCES02622	DE	Colony Wars - Red Sun	
SCES02685	DE	Tombi! 2	
SCES02814	DE	Chase the Express	
SCES03005	DE	Disneys Aladdin - Nasiras Rache	
SCES03015	DE	Disneys Ein Koenigreich fuer ein Lama	
