GameId	Region	GameTitle	PKG direct link
NPUF30007	US	Bomberman '94 (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30007_00/uaHYyreBQJkuzlSTxhnixdySKDLzKIFuvXLhwlROPOGDCLHnQNozvrurbzgVpCVYYuVinhZoyMRskNDMhMgAfRJWzDSBCeOxOuztO.pkg
NPUF30008	US	Alien Crush (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30008_00/IXqLdAjXxARjwkNbmgIikLMUYbgIDsGOEUjinINtMrSMrztIpQAUiVblqECEdFyobYWfEmbuhqwciDHVZHoBcchOwXYIQcTpKicBk.pkg
NPUF30009	US	Neutopia (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30009_00/OCobyAqLHReWdwbfJFEgZGkNBMnJyiUMXoupRigBDYzsHVurzimIJDDXWqrCPNVQncEQtMwVWsPbiLjvgFCRcsdruGDcUOcKmdQMy.pkg
NPUF30010	US	Super Star Soldier (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30010_00/TTQxkKBrSQqVnlrFPItyMtpfbvdFutKTFSSFuMXxFSXFzYNZmwClRvdSptWzIQiKsdWncQGYUCCPnvJiIoeyDdHMIioTQlFiEVQoq.pkg
NPUF30011	US	Dungeon Explorer (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30011_00/ZnqPARnnDNpniKtnPEhIpOAWepjDAKxiJKpQqJpCPdUmWLzLxlWNrtpZbcelzUSnAdgkYwxNysfhbNQCbQqrCghaSCffwkNuzdzyJ.pkg
NPUF30012	US	Bonk's Adventure (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30012_00/ykqLwcBQDJeITirKphHHefyJkayMviiFzplfMiGJCxWOeAvGGamGxPCKRsMPzEZAyeDMRnMUgEgwHguFaICKiwzUxustYyjjKadnW.pkg
NPUF30013	US	World Sports Competition (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30013_00/TnTFfNxkbcWHlyqYUiqvnTKAOuZDKfdxWmEubNUaWTdYAaHONXjuXqnRrnMcGKbwBFfQwSHVlvsiBZlQGeefKchQDbvOFFigbkBEx.pkg
NPUF30014	US	New Adventure Island (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30014_00/wxDFouDgynIpTcVjOTGikvMZYURDKNHupaVYRNqLGqFMNDnJeNPEzjmxkUqpSvUiaziyDjUptVxNCoZuRjAguCLnVoDNvjtGOBJHl.pkg
NPUF30016	US	Soldier Blade (PC Engine)	http://zeus.dl.playstation.net/cdn/UP0555/NPUF30016_00/xfnaRtlWhoHcaKlHzMMKoEPcJCUheFkUrNvCISEBfvTzEhojBfZhHuTcgRkwGIlQQSDCtIOGyhxeNilGEvuRRxKUozcECdDbPHAKZ.pkg
NPUG30015	US	Groovin' Blocks	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30015_00/PrWQ22YtuciwBoWdvHUDV7mouN4j2lWYyMstJQs07kOl8FsES3ubd9tErVqKuvwY6DEoSrAQpytpUHAV0CsWtihKw0X9qdE1i5pxX.pkg
NPUG30038	US	Bejeweled 2	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30038_00/o9PKc89Jn6fVwAimAqvNUf8jPK6LbOYF9dGPCl4sY87JqgdCimj6T5x9GnA63nORfhOJ6aYaR2L3HKCWPTmhEUkcfxlCg6RRxMunJ.pkg
NPUG30040	US	Peggle™ PSP®	http://zeus.dl.playstation.net/cdn/UP0017/NPUG30040_00/yNY6s6EX3JmgPou6AGgWLGFFDVsmGVCcrOg9q6kis0IkverqWJHloTp3x20uWWWKbHjqQ5I2eIt2UCus7qmXvbtDxSoQGbTA7hE5h.pkg
NPUG80060	US	Beats	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80060_00/iB7Lsr2MToIrm5ge1r7UWylPCHjKu7FytGomoaiDb58eIeY3PKg9bsu4JtXog5409gvJUgAuenPkC90MJVtiG6a4OVIl4BOypq8oK.pkg
NPUG80086	US	flOw	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80086_00/9SAniUubBfvbbf5Tpvn5npLdnkcdajsqPVV7plsnVY1cqaTw4SqhVV5ucrbqKLAGufIFxsniTC6xuVyDqjyJbTWSRtCXs0BSqsvhM.pkg
NPUG80090	US	Go! Puzzle	http://zeus.dl.playstation.net/cdn/UP9000/NPUG80090_00/28fFkYcM31XkWpeLxYhS5FtngOORJ4PPNjCxfOfnt4HDLvWc21qneR0eb4M2kJcMjmaWeJNUayAKjDHFTXxKvdjwJeEAQB5gcxLN7.pkg
