title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEB00705,ANIMAX (AU),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4447/NPEB00705_00/bNRIVsAsgfPgOiWBPQGgnFPviocnFMZDSXpoYGYLSHSdtnroPNRnOyUNrFnYvYrAerXGYqySffjrLMjuJwGGVnSPxMJFkqHyFpynn.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00708,ANIMAX (AU),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4443/NPEB00708_00/sACWmpGJbbiaabTMONEErWNjexwrnJrLrQefcbgcIkKAVVHKnUfOohnodNBQlUdlgRIyQmmXMZyxIZVhdJtAHMXRJiNwzvUAtgzmM.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00898,ANIMAX (AU),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4355/NPEB00898_00/JQOaKXMJBDlmZZcbFNWDNdHPuGZuMLTAdzrAUdKFshbVafZHjjVgFTRicVwIzyox.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00691,ANIMAX (DE),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4452/NPEB00691_00/RYxWoRQVgwVHAnQwlqxIhuScQLGUzDiLdAtSxNQXjHGXysGzqsoUeYVuNVdTSnSySJVmnmDNdsBcYaWDyJyeHpTfIXfxoFijWEvrd.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00709,ANIMAX (ES),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4441/NPEB00709_00/HbUTlBhOaOLGKexEvIMShVYxAFVmukjGWrySlQJFZOqYBorpmPqBYelKVJRVltMnlivXXqZkmNVVayDRfKkzXsUlAxmByLVQdTSsc.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00712,ANIMAX (ES),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4445/NPEB00712_00/IfAcHkNShYcsNrOBblaxNJermVNzSaxIXILucenrkckcBHWXjLvcpRvWqNzkbnwuzjHklroAnungCOyntSMDwesVwVpxyjLgCEoJD.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00713,ANIMAX (ES),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4339/NPEB00713_00/GalDKyLmjrtRsecSdPDwloRlDAIiwyBxPZfaAcSojWRBUifkAsRYMOSKGEWIZEXnWXeRDfPHvlTHSbUzTUeZdEopjYfsBMWsFRYTc.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00694,ANIMAX (HU),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4452/NPEB00694_00/fbyALOQhbeVfgNOAslmivTdqiscAHdEIXRAyZMmMFVllBZgNZXuxjSNCaXvOnADwoSmYFhyhIUjOmrMreZwGFnsBnkLjjPVBcsKhf.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00697,ANIMAX (PL),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4452/NPEB00697_00/ohbmsxleXMhuJTpdlfTeLlOWgdRGEkCHuYZTFStvIspDwsHVOjTbAnpNNItYIbJqoKKQaAltqOzWMQOrvuvOKlUXcLbWuoBnLqVpn.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00703,ANIMAX (PL),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4451/NPEB00703_00/oiyDRlRQtrgYwbzwrwyMVihQRaYxjnXTEwotfWmzujGeObigyfriobbQLzQXObZhrgJZeOjzYJHsbqYLdbDZxiWyBXsPRZEJYdThJ.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00860,ANIMAX (PL),WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4343/NPEB00860_00/KHndDZAOxZBSnRrNAsXCQhEaJZQhZreLchwJuHVzJFqlCiaCujpcKEOIRVIuwxAqFKIegqFSByvofMfysGzVzZbdFhLWXFreBTHhC.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00954,AXN SCI-FI WEBLINK,WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4452/NPEB00954_00/NxlRjaHfViTNvjghmIeuplvpYckFfopNafCeSLWWrpnNrSZiPWhkSZQSxcCJxsLn.pkg,,NO,OTHER,PSN,WEBTV,NONE,
NPEB00955,SET WEBLINK,WebTV,EU,http://zeus.dl.playstation.net/cdn/EP4452/NPEB00955_00/QNnlHdVwhdMMgpKewmXCyqIKHjmrKBbEvGVbijRjeBsEpgQzwxJJWKIDQGlGIUtv.pkg,,NO,OTHER,PSN,WEBTV,NONE,
