titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPJJ00401,0 Kara no Mahjong: Mahjong Youchien - Tamago Gumi,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00401_00/HiVMWoTVGEDMXAcqoJe1IrUgiXaXCMwtlpBveToq6qMJnEDAVS6yKX5ekBpJG3J8a1RBG84DTSwWlLMLjoG82mftcJ0xTQJ4nUiKK.pkg,JP0747-NPJJ00401_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPJJ00432,0 Kara no Shogi: Shogi Youchien - Ayumi Kumi,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00432_00/Y8QBjmUybwDVJn4L6v9hiGRJMhsT71uL6dc7HBTHYLm3NjXBRkgRaJV2Bqur8qsXDu1I2VMcsbVmTtKuMQeDNENr2Ym5DEu25Ia8C.pkg,JP0747-NPJJ00432_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPJJ00024,1,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00024_00/hgDMwA3eHIJ3MQiPsW31OlgYnIQi0ftVpXP7pxnl31OLpbqMl2V45OJjxgIDO3n1vxdTOVHbElHLi0bhsrLs5LWYJHsV0s5g26QMp.pkg,,NO,PS1,DISC,BASE_GAME,NONE,
NPUI94508,2 Xtreme,PS1,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUI94508_00/5WjoPIyQtvxsN8n3wqbe59YuDq3SOtMQyPUquk57pPXlMv7LowFm7YSVxAoJPTyDey2lprVuSR0CYlGPoUsSFL8o3vfL8nn6Wom0S.pkg,UP9000-NPUI94508_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPEF00148,40 Winks,PS1,EU,http://zeus.dl.playstation.net/cdn/EP0182/NPEF00148_00/7nolVtXWwlSvVHjJpW80oT9c0jRvtD3wwtkHDi1mjXxPPybJRgsaL8SjWGH4Pvv6.pkg,EP0182-NPEF00148_00-G40WINKSXX000ENG,YES,PS1,DISC,BASE_GAME,NONE,
NPEF00080,A Bug's Life,PS1,EU,http://zeus.dl.playstation.net/cdn/EP1006/NPEF00080_00/6ss6E8hmkMWO9qJsVnOXdLtQ8RKASqBhCSIk7LQnnePtTMumaRJVeICE5QaEcAMDxNFnvOJbjLBHaxksWa84oPDJC82AD7o7SEYVU.pkg,EP1006-NPEF00080_00-GABUGSLIFE000ITA,YES,PS1,DISC,BASE_GAME,NONE,
NPJJ00015,A-Train,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00015_00/TSxa3Op2nSfEME8EwFruSNUVbo5HcRhrqJEGbEtQ9Ur1pJdwnMGLhbIQ4ar2LrJy7YXeouOLs8q8SOtLaPDRBFxhtdv3PJeGIGw5B.pkg,JP0011-NPJJ00015_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPJJ00028,A5: A-Ressha de Ikou 5,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0011/NPJJ00028_00/UDQJlSLpR4aXTtxyxEfC5IRWoS2om9EsCxxkNw9ot6yMdDatCJCnWr2aulGDDPXTjSrHmXSABtDUH3kGpCjWVtBdvEmsX2xk1oJQm.pkg,JP0011-NPJJ00028_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPUJ01470,Aces of the Air PSOne Classic,PS1,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUJ01470_00/cLIIofJSkYnoMHzcbRkVKrUcgopBcffOhyaWqOFqlWLkxaczrcCzEoDLvANrpMFb.pkg,UP9000-NPUJ01470_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPEF00002,ACTUA GOLF 3,PS1,EU,http://zeus.dl.playstation.net/cdn/EP4039/NPEF00002_00/oJO4xBavP2rpsYCTGTpqkLOboRthsPskVFStbBQvg8mam9G8d4pQv5qiWMc4d4rGENu4tOYVWNNuTLAqfKSxB7SmvllOFthO8POqc.pkg,,NO,PS1,DISC,BASE_GAME,NONE,
NPJJ00255,Advanced V.G.,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0741/NPJJ00255_00/gGLUciem9HYkC3Fg3D0KDJQHCEO4d3NFt0SVT4Wv603GxJScCno6sb6JqakWx0Ic49jaQ2j5bP0d07DMDDinJ5eERdbX43H9Gvlkd.pkg,JP0741-NPJJ00255_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
NPJJ00489,Akumajou Dracula X - Gekka No Yasoukyoku,PS1,JP,http://zeus.dl.playstation.net/cdn/JP0101/NPJJ00489_00/k8wUAEH4ND5tX23WtC4QEwGqmTwis49vBGgDiwwbTIUdSgQUQmAEMhvAqiCuFStB7ekPE1YV2BHwdqTWxJRmPhu69SaKUL32K9mlR.pkg,JP0101-NPJJ00489_00-0000000000000001,YES,PS1,DISC,BASE_GAME,NONE,
