titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPUD21653,0,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD21653_00/znIPaFSliPJNtcrCguQrzOspswzNSbwQWVtUxqVfnGmdsggukHmqGEAZJBfyzWLG.pkg,UP9000-NPUD21653_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPJD00081,ADK,PS2,JP,http://zeus.dl.playstation.net/cdn/JP0576/NPJD00081_00/CwTXNrhjqCOOlZrzWbayqqxvICXnjrLwNfHHQuSVvEGSebDyjWEFXfVyTGFuzmmURwEnDGlCYRGulrOxyEpZFIRQVCvWxCRuWAIOQ.pkg,JP0576-NPJD00081_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPED00099,Baroque,PS2,EU,http://zeus.dl.playstation.net/cdn/EP4034/NPED00099_00/QKQTleDMTOVJqMlVASNatmufNgEMvbVJThDUoqMUwgqqYZraUhgYbFwZykaotMPz.pkg,EP4034-NPED00099_00-GBAROQUEXX000ENG,YES,PS2,DISC,BASE_GAME,NONE,
NPUD20461,Bloodrayne,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD20461_00/alHUEJJsFJaksbmdMrcEBHFgCbItGHRhhfZRUucviLhqRWYwKQceMkdcPthmJWrYCjsOuMmshVuRZzQpxCnXuHMXnqkzxVvXcamNO.pkg,UP9000-NPUD20461_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPUD20862,Bloodrayne 2,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD20862_00/JxrXsMqhYnTutgKWhKNckLbUgTATkpcztxfzrkkyqHEhQNaIVlOrgeSUlvIPyPhbnTyxqZewGaGsBXjNvDuKxLKVyEvTEIjOEgCyX.pkg,UP9000-NPUD20862_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPED00233,Bully,PS2,EU,http://zeus.dl.playstation.net/cdn/EP1004/NPED00233_00/KhVqrogIjBLBqVvTcedzlyUBEGwqKRsHlYwIOAnGupuHPgqgEKNOzYrNftwIZrPr.pkg,,NO,PS2,DISC,BASE_GAME,NONE,
NPUD21269,Bully - Canis Canem,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD21269_00/krRuUfjcRpLzZmLGynWMgxfmtlnoRSVzSTqdFdXnSwXVokhJnRJbSfBMlZDZpsxwTufoZEcwdtlCnsOdODjSrBaXDxmEoYZlyClrA.pkg,UP9000-NPUD21269_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPUD20950,Capcom Fighting Evolution,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD20950_00/tEKPDUqrNztEytEqKQkmnvGVHBOVDkfuuUOmYlPeStftqphSpRjIvEpxHtkXrZhZkXBybsmndrJmivLSsufHTxPdIAEbCBMfCxSgx.pkg,UP9000-NPUD20950_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPJD00029,Capcom Fighting Jam,PS2,JP,http://zeus.dl.playstation.net/cdn/JP0102/NPJD00029_00/LXQbcZElrtxcUkCYnePaFUmIwYAfTAGJiyhkQjFktFjwkcZGtZjePrfdZYRXMZIPgfcmLTFOxMdPBPGGZIPDHNxjFjVyCoPwUhFQS.pkg,JP0102-NPJD00029_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPJD00015,Capcom Vs SNK 2 Millionaire Fighting 2001,PS2,JP,http://zeus.dl.playstation.net/cdn/JP0102/NPJD00015_00/zzoQFBskhgLMPctiGXIWZQKUjIqLydolkbFNDwzxynIPcKfHLXEhcNMszecoDpNRjgOVRzTXRddJiUJSHdQFRHTgVLnePVIfYvrsG.pkg,JP0102-NPJD00015_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPUD20246,Capcom VS SNK 2:Mark of The Millennium 2001,PS2,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUD20246_00/HaAUNdjZFrLFGtlIuuJfLeufpNdCRuOuNOWuThQGuzzGBLypDeydksAUAMnfNinBpEAiMRcNDpLTNtolzklSSePBuwYCAkWChMGYS.pkg,UP9000-NPUD20246_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
NPJD00010,Castlevania Lament Of Innocence,PS2,JP,http://zeus.dl.playstation.net/cdn/JP0101/NPJD00010_00/wyFqYuqvptHZPDgKMHAROVdwoFYbmyYSbHGPblNAIXqxRzvIFzsWQqgndoMRGJrMfHfhwIouYuVpRHYzSEOviUkcbQfiXLbWlbjUn.pkg,JP0101-NPJD00010_00-0000000000000000,YES,PS2,DISC,BASE_GAME,NONE,
