titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/bEIOFHoOfjWdDZuaOFubFdFxDzmTFNZlZkdDYAlZMVUrZGMmxALHqFedcetmHbDL.pkg,EP0177-NPEB01921_00-AVALIENISO000001,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/OQydDHTjvJoMOXBbrBCmUBEbdQXndEtCsvjjDPfQoypeYvPImGQlUCdJUXJbdKnD.pkg,EP0177-NPEB01921_00-AVALIENISO000002,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/PkaRZXdZQFLoAuLUrPNheUZWqkTlKFaGBVtQmHOyHKHaYeYewjhNcCuYnTWaYfYb.pkg,EP0177-NPEB01921_00-AVALIENISO000003,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/npwzPzHTWObYlTJkrWkxPkVYbHkRFAPqAWOBbMsoKDoQytFxuMSILjbiguZXRFBX.pkg,EP0177-NPEB01921_00-AVALIENISO000004,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/uTAxxRyPyzdKkVWVPXGxgLxjYFVVtoysCLqxIkuErrYUGNnAdHowlHeoiGBCfOhR.pkg,EP0177-NPEB01921_00-AVALIENISO000005,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/VDXKNTpXzHMfDBNVVfsTumkhJdgeJKcbielrLoMAbUXyQtvuFQMfiDhqDMHpLTLF.pkg,EP0177-NPEB01921_00-AVALIENISO000006,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/DhQLuZjBDMGhTHwCLMbAfpUzelpCBBVXSPEOwrHdMgLWDAeWPYJLakURWdQvTAZH.pkg,EP0177-NPEB01921_00-AVALIENISO000008,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/uefhkmILxuKzPXDafScxtVGojLXrqbLaGjyGNFqmeJnqPnywPlpBVgGpABzFBtVB.pkg,EP0177-NPEB01921_00-AVALIENISO000009,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/YAeaPPSeeEPxHEnBRVihDRUXhEMOkfWYDwuCvvdzUSsoTlOkEipZWGEGOnoOpPgO.pkg,EP0177-NPEB01921_00-AVALIENISO000010,YES,PS3,PSN,AVATAR,NONE,
NPEB01921,Alien: Isolation Avatar AVALIENISO000007,Avatar,EU,http://zeus.dl.playstation.net/cdn/EP0177/NPEB01921_00/LyybUUnrWPjaLkPLexVQXSbLQMRFUQDkgmQeRVrmkthqwEjqphmBATQXHvIwtYSL.pkg,,NO,PS3,PSN,AVATAR,NONE,
NPUB30510,Armageddon Riders Avatar AVAARARMAGEDDOOR,Avatar,US,http://zeus.dl.playstation.net/cdn/UP4287/NPUB30510_00/SaeYfzzRZOBGzUgtkeHVjnOiEJlNIHsyGOsOYRcRLoKLXMklsvPOhfPwfMxBFZCxCNHOQQfrTFGLWkEiFrZNcYJXXjYbrLShyDghe.pkg,UP4287-NPUB30510_00-AVAARARMAGEDDOOR,YES,PS3,PSN,AVATAR,NONE,
NPUB30510,Armageddon Riders Avatar AVAARCOLLIDERZOM,Avatar,US,http://zeus.dl.playstation.net/cdn/UP4287/NPUB30510_00/DDDHlGJvQTvsqykUuzayDnSHXFKQuSGSGtwgquFFBZNSIOOxUbRTDUbQAsXFQeblNnFgYzsoBEJEZnGTqYxPRFDOlIWymPAJKNFFi.pkg,UP4287-NPUB30510_00-AVAARCOLLIDERZOM,YES,PS3,PSN,AVATAR,NONE,
NPUB30510,Armageddon Riders Avatar AVAARFASTDEADLY0,Avatar,US,http://zeus.dl.playstation.net/cdn/UP4287/NPUB30510_00/LveyjQFHGCeCHoqKXYlbzdeRfeGHhtztITCSAhZFIFNDIXzIgEYmDJwnxfmePsTyjRAnirrGzxMiEadZplumoTQyGRROiKyERzEoK.pkg,UP4287-NPUB30510_00-AVAARFASTDEADLY0,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000001,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/sVDoOeAWbfsXxWxjdKLgJxWutAqbZGjXeKTMOwsZdgtBbajuxVuhlfXIolgFocMy.pkg,JP0506-BLJM61014_00-AVATAR1405000001,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000002,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/TyMHlrZvuTbkqkvQIuAYpEOwzPpqZvMlaoebwudJedTeMDLRQISVcWQxbhnNELuV.pkg,JP0506-BLJM61014_00-AVATAR1405000002,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000003,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/QhOCFGOHmvQBykgzwMNWsHhENRgnBrDkJWFthjtnPUethCmfNGujrOPAXknTAGgW.pkg,JP0506-BLJM61014_00-AVATAR1405000003,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000004,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/IgkyypQCKHzklyYCqpShJMYSJaMALQtCnfoJIYSHpChQvIrICbDXMkYyhyukZXIc.pkg,JP0506-BLJM61014_00-AVATAR1405000004,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000005,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/WGKjZimqsjtSmTzMBElOqaqXMfPkjhADAaPncsZzdngcqKVdqbkIzfcBwuzEgpfH.pkg,JP0506-BLJM61014_00-AVATAR1405000005,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000006,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/JfVKtvadMhxtrhBAMFgDCEzbXdzTRfzHfZDeKPCbjVeQlArtaMVvoOQePWgRIsyq.pkg,JP0506-BLJM61014_00-AVATAR1405000006,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000007,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/XwgZThGmjlITEFFRefuzrTRRlInWCyGRRFCdeIvlnjITRbsvPJCAaQjKUMnoPaSW.pkg,JP0506-BLJM61014_00-AVATAR1405000007,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000008,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/oYuKlqItzGNQzEurntDxGHcjCrHxCRiExeQbsjaNsfkRHWgIbbnwVcLPoUiIaPLI.pkg,JP0506-BLJM61014_00-AVATAR1405000008,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000009,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/HJExLjofodDMOUzsJbfRhRFUBJiYcCKRPFKQwnEOQvfjcwsAZqojPLfheqpqFyLg.pkg,JP0506-BLJM61014_00-AVATAR1405000009,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000010,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/VPHdNXWqsEdKFxnPFEvFTIgrPdXetHfOIOxLrnavmiSXXzvHccJvSmtbpmcURFJD.pkg,JP0506-BLJM61014_00-AVATAR1405000010,YES,PS3,PSN,AVATAR,NONE,
BLJM61014,ARMORED CORE VERDICT DAY Avatar AVATAR1405000011,Avatar,JP,http://zeus.dl.playstation.net/cdn/JP0506/BLJM61014_00/txlNmSRimUjDgaYVPOkpkdegBqPQYWSonBhwBlmibKMERSLzVgReEldSlDsbHToB.pkg,JP0506-BLJM61014_00-AVATAR1405000011,YES,PS3,PSN,AVATAR,NONE,
