title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEA00137,.DETUNED,PSN,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00137_00/109CtlbNdCqJrAo4X04u1a1n1qwDc9QceQ4pyRxT45s9ab0IlbbfFRNL8UjBorVe1XbpO95ALqsUG9NG1QWfX7pI5s7TsvlYXrg0n.pkg,EP9000-NPEA00137_00-DETUNED000000001,YES,PS3,PSN,BASE_GAME,NONE,
NPEA00122,10200,PSN,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00122_00/5AWeqlXQjnbXjfxfqvQ8fuXxTjph5HwDDcUrITelO3S67LbBApsLWMDhjOVPhvLxHqKprKE7yk193ybCQVN6UFnvp8CwQlQ7qcleQ.pkg,,NO,PS3,PSN,BASE_GAME,NONE,
NPEA00186,000000GOWMETALEP,PSN,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00186_00/fPh3wF22RvnfgNLlLuk6tDberk03QgnO02cu3YhXek5L8HcB8naiWKM6dsypOyoTv8M37lSHy6RAkvfPsadxysWUUCSVh0WPhPFIH.pkg,EP9000-NPEA00186_00-000000GOWMETALEP,YES,PS3,PSN,BASE_GAME,NONE,
NPEB00026,1942: Joint Strike,PSN,EU,http://zeus.dl.playstation.net/cdn/EP0102/NPEB00026_00/yJ7yw8SPA8Yb1I5aPKvLdESC5FcaLVu0teuWnXYowjiN8XDpsoeSBGqYXQQQAgHcHMqMNTejW8DKKR6BO0JUAIvucfcEeKYk48LxN.pkg,EP0102-NPEB00026_00-1942XXXXX0123456,YES,PS3,PSN,BASE_GAME,NONE,
NPUB30024,1942: Joint Strike,PSN,US,http://zeus.dl.playstation.net/cdn/UP0102/NPUB30024_00/M5owiRSUtMTCwCy7BgpFRQFkb9VBJKjytrBfEfuvylNCSIqvdXBQyDIrO893SlB3Ndnbm9MaQ12u2grVWTs5dxxOGO9BTOHJmsK8x.pkg,UP0102-NPUB30024_00-1942XXXXX0123456,YES,PS3,PSN,BASE_GAME,NONE,
NPUB30347,4 Elements HD,PSN,US,http://zeus.dl.playstation.net/cdn/UP4009/NPUB30347_00/OcAagtcdqQGFTaNMTXYMzfXcXYpvGVxoSuUCuOOOXUvJszZEQXQeSWNAWnVqslWFNsNlsbEEPzuucPqoKkyCRKNoWyCOVgXdYYulA.pkg,UP4009-NPUB30347_00-4ELEMENTS0000000,YES,PS3,PSN,BASE_GAME,NONE,
NPEB01397,4K Gallery,PSN,EU,http://zeus.dl.playstation.net/cdn/EP4288/NPEB01397_00/NYCWHljxcSEpyxJAanqFEkWdeKPvAMAzSccWyivNVxZAoLqqxzODqNytbXCTkbhD.pkg,EP4288-NPEB01397_00-4KGALLERY0000100,YES,PS3,PSN,BASE_GAME,NONE,
NPUB31842,99Vidas,PSN,US,http://zeus.dl.playstation.net/cdn/UP2158/NPUB31842_00/UP2158-NPUB31842_00-99VIDASPS3160328_bg_1_575fb60adb68ef95b1bd3eda0981067eee64effc.pkg,,NO,PS3,PSN,BASE_GAME,NONE,
NPUB91040,99Vidas,PSN,US,http://zeus.dl.playstation.net/cdn/UP2158/NPUB91040_00/UP2158-NPUB91040_00-99VIDASPS3170808_bg_1_6bf4f834ae7d21cb42c020350f603af351aa90b6.pkg,,NO,PS3,PSN,BASE_GAME,NONE,
NPEB02164,A Boy and His Blob,PSN,EU,http://zeus.dl.playstation.net/cdn/EP1012/NPEB02164_00/EP1012-NPEB02164_00-GABOYANDHI000001_bg_1_c2a73625cc52d2bc8e2fbeb1b6aaebca5dfe1e3c.pkg,EP1012-NPEB02164_00-GABOYANDHI000001,YES,PS3,PSN,BASE_GAME,NONE,
