titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEB90079,1942: Joint Strike Demo,Demo,EU,http://zeus.dl.playstation.net/cdn/EP0102/NPEB90079_00/gxAqurjh3QXchGf9WsQAvKrtt1Ytfa7halRf6tk91e0OFinjQdqTOg6Ev7hpibG0I3PI9FCefAhXYmy6lIpARtm31V60lN554iei0.pkg,,NO,PS3,PSN,DEMO,NONE,
NPUB90104,1942: Joint Strike Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP0102/NPUB90104_00/xajUlYHMwUgqAA0hB1E3TglCjXt8vn2VMbYNdxlo2qXtOJ2YAM4xmry2HJWTdnUhvab5ynT7gYIfb3ULnJmDa2sHq9LP0cjy06l3a.pkg,,NO,PS3,PSN,DEMO,NONE,
NPHB00042,1942: Joint Strike Demo,Demo,HK,http://zeus.dl.playstation.net/cdn/HP0102/NPHB00042_00/6AckKNk2meccF7jSxSfLPHJIQG22exAKwniK96rCyjjkPGF4q4GKssa2dkfkf2IFsJN1HrLBeHxCpbDcC2GKQgRky8m8yBKRXgg4S.pkg,,NO,PS3,PSN,DEMO,NONE,
NPEB90228,2010 FIFA World Cup Demo,Demo,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEB90228_00/srC5Vpqvwhmaxjc1qKm3kt2siEdlA2DmrmMkJktrJvfV78wH6iyw3F7qUNpfIJ9nyv9FD1h1iL97JE5G3rljomG5OPuNQODdYDhW3.pkg,,NO,PS3,PSN,DEMO,NONE,
NPUB90369,2010 FIFA World Cup Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP0006/NPUB90369_00/q4QpU6pceQqki1fBVRW4sxXtuieOYc3fCVclWiTLGlqp9UN4iybf0p9v2JnGw3N2J2p2rNquVQJ8Ap5SEs3ktThFQheh1tcwmGHIE.pkg,,NO,PS3,PSN,DEMO,NONE,
NPUB30156,3D Ultra MiniGolf Adventures 2 - Demo,Demo,US,http://ares.dl.playstation.net/cdn/UP0101/NPUB30156_00/cxCQ8LAY7lwCplWYhTETxue2dt28xOFCHUp9LsEEjrL1dagcdmKWFfsB3f2bmwV3ApwovhCwSBxnLVLHM5X2HqJ2kidfLXR4LGKYT.pkg,,NO,PS3,PSN,DEMO,NONE,
NPEB00287,3D Ultra MiniGolf Adventures 2 - Demo,Demo,EU,http://ares.dl.playstation.net/cdn/EP0101/NPEB00287_00/BfIsILmrjrTHJKxdnjYTJIEaFBJABuyrtVjbIbzXykkhjnjLJoHQRlaHlZcMciQA.pkg,,NO,PS3,PSN,DEMO,NONE,
NPUB90483,AC Brotherhood - Multiplayer Beta,PSN,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB90483_00/lrtHS37U78RN0lhjNgvg9v1La5iNHkKO4n9mQCIHWEudvhgxwsVccpfWVgMjHESEfsDMqCYhVbtFUA0YF5PWgOwfUD1pgsykHTuhW.pkg,UP0001-NPUB90483_00-ACBROTHERHOOD00B,YES,PS3,PSN,DEMO,BETA_PROGRAM,NPUB90483
BLET70013,AC Brotherhood - Multiplayer Beta,PSN,EU,http://zeus.dl.playstation.net/cdn/EP0001/BLET70013_00/RtNCIMQhys3lHc4E9sysVVYsg55fA2ECGEk9Vu6MqibmrWGXwhyDMJXjVYJChlOB.pkg,EP0001-BLET70013_00-ACBROTHERHOOD00B,YES,PS3,PSN,DEMO,BETA_PROGRAM,BLET70013
BLET70017,AC Revelations - Multiplayer Beta,PSN,EU,http://zeus.dl.playstation.net/cdn/EP0001/BLET70017_00/oSJHfXBdwDjbQOxBZvfQmNjOUZEKuOkUAATzEJzzIzBDcgATyWrfYDrrhfypjfsJ.pkg,EP0001-BLET70017_00-ACREVELATIONS00B,YES,PS3,PSN,DEMO,BETA_PROGRAM,BLET70017
NPUB90674,AC Revelations - Multiplayer Beta,PSN,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB90674_00/BYrdFbJvwXgtJooFgUmXIPZXdHWMhhkLneJcZsTIMwnfrUfBbUNqTfkNRUmNQDqMIqiRVqQoSesVMRbfehUKnmCHnFJrpjHYRSgzF.pkg,,NO,PS3,PSN,DEMO,BETA_PROGRAM,NPUB90674
NPHB00393,Ace Combat Assault Horizon - demo,Demo,HK,http://ares.dl.playstation.net/cdn/HP0700/NPHB00393_00/kVSgwaZDdQnUsRCuIPvXhIcWPDlTGDHBKygwVeqUbYgsjwWkCwZNqRYdrGaSsbacuONwbGYgUEzvYqNVeTYOMNeWGEsHASLmjAoEM.pkg,,NO,PS3,PSN,DEMO,NONE,
NPEB90352,ACE COMBAT ASSAULT HORIZON Demo,Demo,EU,http://zeus.dl.playstation.net/cdn/EP0700/NPEB90352_00/joDbLqVGrtfxjdVELHiEUqLPAUusVOLXszHmtWnBwAkpGvGEHcWRvLwiVJIWqaQv.pkg,,NO,PS3,PSN,DEMO,NONE,
NPUB90530,ACE COMBAT ASSAULT HORIZON Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP0700/NPUB90530_00/pWHOERVlzmpxENOWVrrMdCtAcqCRvzEskMzZgjcPPKVZDXSgYqnLLHFbZdGtoMrTkUmbgKoIxljraTkzupGEGwcEDGZDzqlDfWuZm.pkg,,NO,PS3,PSN,DEMO,NONE,
NPJB90677,Ace Combat Infinity - Open Beta,PSN,JP,http://zeus.dl.playstation.net/cdn/JP0700/NPJB90677_00/fTnvqiFXDIrQLXBaMhuylVgotxRBkpSEvLqZbBwzEtAlBYzAEJfyqrpCkarueMFDaIENGGrEguVxHuKljZSzkxhnskUZkVJjdfEGB.pkg,,NO,PS3,PSN,DEMO,BETA_PROGRAM,NPJB90677
BLET70052,ACE COMBAT INFINITY BETA TEST Ver,PSN,EU,http://zeus.dl.playstation.net/cdn/EP0700/BLET70052_00/NbKvkBSYKtpYLzCLQQBIbOxNYWWcwgmnaquvOMGLKWwLqGHkOPvORjufDTKSwXpC.pkg,EP0700-BLET70052_00-ACECOMBATINF00B1,YES,PS3,PSN,DEMO,BETA_PROGRAM,BLET70052
NPUB90215,AFRO SAMURAI Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP0700/NPUB90215_00/mgAjvypAlmoqN2HOELPevtJCGFRei7tgtV6RhCyYHIR16iMEPhNNuTrQIx6VlXX2JHb1EQbF7QqgkfjXhbd95YMyuisNhmytOwVjv.pkg,,NO,PS3,PSN,DEMO,NONE,
NPJB90043,Agarest Senki Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP0031/NPJB90043_00/pgc83jhYO8b666NLDEeM8P74rLCtQ7nEFbstav86mfM2XUk3ktpFdRfARcpfbqPw4l7FrcGRKqBmtyJWrpkKULsJk10bcFaSAhiAw.pkg,,NO,PS3,PSN,DEMO,NONE,
