titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPUB30058,3 on 3 NHL Arcade Full Game Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0006/NPUB30058_00/qfoWtNrg7P9XfAAcXs2QDvGCXhEQNVwMvebRvcsgUtiAlmtuIjk9g3hJ15skkGyVVhEmV6TvuLOvV0QNYTD4K8sFj96bQmptg71si.pkg,UP0006-NPUB30058_00-3ON3NHLARCADE002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30058
NPEB00080,3 on 3 NHL Arcade Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEB00080_00/hSawgIW4SiQq0c89eaHRM7iY7aagiek11uo2yT87aFPweeu4wVCr9SOSKtioim2XY5geexuWORFK4HNJMfy6q9lHt4gbuRoJHuGu5.pkg,EP0006-NPEB00080_00-3ON3NHLARCADE002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00080
NPUB31397,Abyss Odyssey - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0005/NPUB31397_00/sepYteIGLCmHSlGuIONDTxDlKqFPxHPMLGPcCXYLyhatEtBqwVQIflgULHEjMOSp.pkg,UP0005-NPUB31397_00-ABYSSGAMEFULLHDD,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31397
NPEB01910,Abyss Odyssey - Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0005/NPEB01910_00/KpdjSnxfnpfDOjDwhKfhQbZsWmzLxLkuqmCNywgYDOinYYxcRQLQFMuKiBDfYZdu.pkg,EP0005-NPEB01910_00-ABYSSGAMEFULLHDD,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01910
NPUB30867,Adam's Venture: Chronicles - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4005/NPUB30867_00/UzbkUDsikIhuXdVRozjsFfzmpPQmHBzYeGbdcVyrjJxznWjsNiZxQhKzPcePvaPH.pkg,UP4005-NPUB30867_00-GAMEPURCHASE0002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30867
NPUB30335,Alien Breed 2: Assault - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4064/NPUB30335_00/SqoXiPyxmTzKNndCgTKaxTtQjiFUwJHWLqkARYEbLjQVGNKwVmZuujKKIhgEzZNniqudCIQoRCNcqELWACOkZMjZIAVWWYfrfJEds.pkg,UP4064-NPUB30335_00-ALIENBREED000014,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30335
NPEB00345,Alien Breed 2: Assault Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00345_00/jPFFRdjQOZzZjPsfIcKGNHfMCwmzdfKbJweHIMqFCGInKXrxzmCzYriNNIlsRrfE.pkg,EP4064-NPEB00345_00-ALIENBREED000002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00345
NPUB30336,Alien Breed 3: Descent - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4064/NPUB30336_00/gkAMoIWrIiUBZdmhxXuIXSnHRrPvRBpgvBucKBiyTmCwKMFPacAuJNtvKaBtVeffSqexPCEHzkKYOMZYgBJvsBAgqldZmLQAEvHTD.pkg,UP4064-NPUB30336_00-ALIENBREED000044,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30336
NPEB00346,Alien Breed 3: Descent Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00346_00/RBFcLqfQKfHGAAjhCywxsDZkhZpvKNZOTjHWxLspTfbjmgMlcVGDBKHKHPxYvslU.pkg,EP4064-NPEB00346_00-ALIENBREED000032,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00346
NPUB30141,Alien Breed: Impact - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4064/NPUB30141_00/dLYEON6yy89Y7jV1818rme0TqVdVkSlBLuQI6tfddj2R4O3xiuUDS1gUqvOh37KR4M39Jv2MThunviWOy05NsBokhXniACESNVSqd.pkg,UP4064-NPUB30141_00-ALIENBREED000004,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30141
NPEB00260,Alien Breed: Impact Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00260_00/bPNuV609G7TNSl7uICMRXqT2iPYFNgGFA9DS8IMIpjDpPBH76764EyxL0SaIALEQ.pkg,EP4064-NPEB00260_00-ALIENBREED000004,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00260
NPEB01088,Alien Rage,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4321/NPEB01088_00/VdWYUfdIGgRmsNEMDQdLaanQIACxRxTCmXSzxbJuHdKGugfBUaVhuHXqKZgcVMJX.pkg,EP4321-NPEB01088_00-ALIENRAGEFULLCIG,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01088
NPUB30834,Anomaly Warzone Earth - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4361/NPUB30834_00/HRlpiEkGlmXwfyQyabyfCrBrkcSHpqaKFeBPpbLlnxvMUIKesunMWerZrwbBCDnmTOItfijFNxOIlyPnFlTgORVqBROOjLkVduyZs.pkg,UP4361-NPUB30834_00-ANOMALYKEY000001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30834
NPUB31244,Assassin's Creed Liberation HD - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB31244_00/dfvKoKmZmiQKlbDjiXmkBLullbYVDSwRfnHgjOmwNWKUmAKJbmwalnRKZUGrJpcG.pkg,UP0001-NPUB31244_00-ACLIBERATIONHDKY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31244
NPEB01386,Assassin's Creed Liberation HD Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0001/NPEB01386_00/hggglrVYspXzqCRwpRjKstjgIUmMRaIKhTNGIlgIDuIhJemPYkRBwUDzkRdFnUTgEkpZNMAYNsDcucDnXrhrwHhXnuczvZQDQmEmz.pkg,,NO,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01386
NPUB30577,Awesomenauts - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4165/NPUB30577_00/NSQaOxcTzNXvARmJQimjfLtnoxlJFWMOywsCiTbFPpnoQmoPxXzaONHnjCkqNouauvbfBUGwhmifcyqyJTyRCJvUeMpxnVkqQMpLl.pkg,UP4165-NPUB30577_00-RONIMOAWESOME002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30577
NPEB00670,Awesomenauts Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4165/NPEB00670_00/hxuGsiEQBjxZFUwMFUvZWvOisSvdGbxxuJgojsXtGLCdDHdyllGgrhjydEosQgsp.pkg,EP4165-NPEB00670_00-RONIMOAWESOME002,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00670
NPUB30536,Babel Rising - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30536_00/uEQSnvHIoEBpdVxwlJxfGkuHdxhXAoOQJnVUYRwfsFTYZwuGDMkMSylSbKiMJsZZFWZQWWilQVyUbTKbzEVdXYIFRVCfCHDPgoLbJ.pkg,UP0001-NPUB30536_00-BABEL3D000000001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30536
NPEB01968,Batman: Arkham Origins Blackgate - Deluxe Edition - Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP1018/NPEB01968_00/QhQxBOpcEgcAWltYARNtkmHJYwzIrfqIHOEicXdFAhtLjKovtgLJzofRhCLlaTRt.pkg,EP1018-NPEB01968_00-GAMEPURCHASE0001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01968
NPEB00092,Battlefield 1943 - Full Game Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEB00092_00/gVTHmWT06OkJEu8GQ8alWFNULkOsKQl1KiVFlb97WlUCvdQ7ERpkI6VbPNLuqXIWLUi7QbdsSfV4L6gLwFnb5R27JQudD6Yen0ole.pkg,EP0006-NPEB00092_00-BF1943EULICENSE0,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00092
NPUB30077,Battlefield 1943 - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0006/NPUB30077_00/Q5lFrXucn5kxDPuJRK5RGV04JvUBcqSg9bY7JnMIImk4feiyN6d3DUe4SD5YfctCQESw4V5TJrjw0hXduL7Ow6G0dg1ERL8sArwoS.pkg,UP0006-NPUB30077_00-BF1943USLICENSE0,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30077
NPUA30002,Bejeweled 2 - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0017/NPUA30002_00/dtWGLXGPnJSuMHUCxLGm1pAUOIul331H7C9WmqsKQj495mWun7ysCmSqFdYVb4SrImmCK45LaKdRjiCWp0x0NlM4SFoaMJm8vj7rN.pkg,UP0017-NPUA30002_00-GAMEPURCHASE0001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUA30002
NPEA00427,Bentley's Hack Pack Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP9000/NPEA00427_00/cHFASlrFHHracMpLlDvUwNbasRqoTbhDSwVvhsZkLeWXUzxUyJMlCHeuwVWkeyHO.pkg,EP9000-NPEA00427_00-KBENTLEYSH000001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEA00427
NPUA80882,Bentley's Hackpack Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80882_00/EYiUfRKyaovGWTywsSpYRehPQaWmydlWyQDrcZDwEBwypxmzNHGTuTfvMAAllBkSwjfLAFWvPwCidXalpkaKWGNfCXPzSWNvVbOsO.pkg,UP9000-NPUA80882_00-KBENTLEYSH000001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUA80882
NPEB01040,Big sky infinity Activation,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4337/NPEB01040_00/jrqKhZDLtyHuGcppFUrzmyzkQbHuEmVVmLmEtNEhzIWdVeKDvPDsQMSmlpsMyUIZ.pkg,EP4337-NPEB01040_00-UBIGSKYINFUNLCK1,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01040
NPUB30733,BITTRIP Presents Runner2: Future Legend of Rhythm Alien - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP1024/NPUB30733_00/OaGRxzWhKZpGGLkSpStURCQYZgFuipcoMBWtxCBTftnydGtIXuYsqcuPuNmZIjfj.pkg,UP1024-NPUB30733_00-GAMEUNLOCK000000,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30733
NPUB30224,Blacklight: Tango Down - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4002/NPUB30224_00/Ux8eqS0s6KULq5fGKQEFAJl3yx9NNIpTOy17Cp6bLdHEBGpkMBi6rL9iaBvO8CBp7IJuJg9QA0MIlcaNK5dWLhWbNJefIMWx8fLwr.pkg,UP4002-NPUB30224_00-BLACKLIGHTLIC001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30224
NPUB30367,Blokus - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP2006/NPUB30367_00/mMfMBDPXOLJwftlPwZytIYYuwjQXIjNLrEPYXBpiLzWCntSEQMNzMzKwOInAitdmMwcYrSmNFjjECwTjLAnnzfGGImLbGnNZKiVXo.pkg,UP2006-NPUB30367_00-BLOKUS0000000KEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30367
NPEB01901,Blood Knights,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4365/NPEB01901_00/kksWGxkpdkOvuuAqdOfmvCiULoQvKXVeQjtrtBBzaHijPrfatOWiXNEnuFiLkSLA.pkg,EP4365-NPEB01901_00-BLOODKNIGHTSKEY1,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01901
NPUB30377,BloodRayne: Betrayal - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP1012/NPUB30377_00/DzecxxnPzRnWFzaInKVrcyilRHQRSSuUloTaGXIWXVVbVHWOLSERAVdysNdZKIUunuwViicKQnRcKnpOWVgAhskNarPylboXHdMMn.pkg,UP1012-NPUB30377_00-BLDRYNBTRYLLCNSE,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30377
NPUB30051,Bomberman ULTRA - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0555/NPUB30051_00/Dikhu60KChKGY01AWoajmfT10rMQ7GGVEf62OAqeTFLUps1ya2jsMFxyFUVu6xVwbE0K99BKO10rT1YxXUehGU203vvdwI1ABj2sc.pkg,UP0555-NPUB30051_00-BMANLICENSEGAME1,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30051
NPEB00171,Brain Challenge - Expansion Pack,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP2006/NPEB00171_00/2TFpQj8x6loDGL0NoYhOgwBMhaxoMc3JhNKsIynsbH5W4jMWp7DFdHUG66RfB0OStBnEQ9BEdUjnOyVVLM30IpMcOt15nXmdcyyBA.pkg,EP2006-NPEB00171_00-HDDBOOTONLINEKEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00171
NPUB30158,Brain Challenge - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP2006/NPUB30158_00/yRhhQmxaGRuqc2jo9dwk3LibJB9uLwIeh46RQy8uLsjSbVPOqU6f8M39RCTvsMt6SjQ9XQg1D5FJ6SrGxcL96WSqC8eQNfvj4MDKN.pkg,UP2006-NPUB30158_00-HDDBOOTONLINEKEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30158
NPUB30989,Brothers: a Tale of Two Sons - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4040/NPUB30989_00/rXCIXqrqdoJQpZFIqmJTuuwyvsZPUYLWUUczjNdUjkjyphzsaXljUmEgzZeuNCTW.pkg,UP4040-NPUB30989_00-BROTHERSLICENSE0,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30989
NPEB01201,Brothers: a Tale of Two Sons Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4040/NPEB01201_00/NAXLWsRdPcYQDIXuWKtsvOkPniFmOLfddhzNmzEqUWmFWNPxqnxxCnVdijodoMrT.pkg,EP4040-NPEB01201_00-BROTHERSLICENSE0,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01201
NPUB30065,Call of Duty Classic - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0002/NPUB30065_00/khj3SVxaOL4x6wyc4btogv0kGWvUCKMWfbUr8aLdW4nY7QhbU6aDuP7seb5N2njWExrCHpA6OhhVc2d6jwa3tI9Qn2HJjSYw6BAW0.pkg,UP0002-NPUB30065_00-CODCLSSICLICENCE,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30065
NPUB31079,Call of Juarez Gunslinger - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB31079_00/XyEXeTZNXDQUHEqbgZpejzXRpWGSEEOSBrZoVAZHgzMUagLLqVUdTLAELxbQQAol.pkg,UP0001-NPUB31079_00-CJ4UNLOCKFULLKEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31079
NPJB00394,Call of Juarez Gunslinger - Unlock,EDAT,JP,http://zeus.dl.playstation.net/cdn/JP0001/NPJB00394_00/IjvueWWtIpzNronuhdfnfqkCsegtpdTtDttnhWHuzfRhkyLjIDHaMpEUVntWrkDkzWHuKTCSbTYEGcTamwrRhWSFGjXpkYBXNJyAK.pkg,JP0001-NPJB00394_00-CJ4UNLOCKFULLKEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPJB00394
NPEB01214,Call of Juarez Gunslinger Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0001/NPEB01214_00/frvSqhbvfdmCdowzmbDFTTAGokwMumKVBQUlaNgQCuJAfuGWbsiGufTTkMCxPSCK.pkg,EP0001-NPEB01214_00-CJ4UNLOCKFULLKEY,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01214
NPUB30181,Castle Crashers - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP2015/NPUB30181_00/rneAh25SQULkFygPjFHvHwAoauQNmMoGf6OtYu4EYxXiSo8mvIY9my0R9yD0ftBJHY2xhl6DWG0eIuKO3T66lPikSPG9Kmu6aPdbT.pkg,UP2015-NPUB30181_00-CASTLECRASHERS02,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30181
NPEB00293,Castle Crashers Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP2015/NPEB00293_00/4LL2ywBAi5Xid5r9LETF7MuRwtiTOoyKbU1o9VXxrKMneiXUdlywu8qv9TOc1j5J.pkg,EP2015-NPEB00293_00-CASTLECRASHERS02,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00293
NPHB00207,Castle Crashers Unlock,EDAT,HK,http://zeus.dl.playstation.net/cdn/HP2015/NPHB00207_00/wXlF0cWHNgmQEXM5Qlutq9Gqf8egafTb26AU5LEBqxpen8GPKFrXObKfhQNaN8uxEqKvwFp5u3iV2pi6Y9n3RJLCceuEbkuFSW0GN.pkg,,NO,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPHB00207
NPUB31099,Castle of Illusion Starring Mickey Mouse - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0177/NPUB31099_00/khIsMyIziglTMGmnGobKYChwAnxfhqjqFwnVHEbOMUqYbMkEfOnzmQyFExDJpXPn.pkg,UP0177-NPUB31099_00-DISNEYCOIKEY0001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31099
NPUB30537,CastleStorm - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP4042/NPUB30537_00/qFMpKtReJYeGOSdsagEwZwQCOzsEnijpPTGfbJzjAbxznwFKeMrllXgOknIoCMIv.pkg,UP4042-NPUB30537_00-CASTLESTORM00001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30537
NPEB00677,CastleStorm Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP4042/NPEB00677_00/lcSKNnsjfFJWdHtabPPxInspFBNtjbFMXZSTVIhKleaMNVtGCSqRHBteQUjRqFvn.pkg,EP4042-NPEB00677_00-CASTLESTORM00001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00677
NPUB30505,Castlevania Harmony of Despair - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0101/NPUB30505_00/jtfUbWyXEySmTXrBXntcMZgGYVlHFAWSxVDyLXLKSUcITIbYqYesyFUhrQKqsyqYldNlbsWhgYSfPJfbWcmizLNnUNROktVUDMdMD.pkg,UP0101-NPUB30505_00-CVHDZDLCZUNLOCKZ,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30505
NPUB31352,Castlevania: Lords of Shadow - Mirror of Fate HD - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0101/NPUB31352_00/NXVDwztbkPtVLEfyNWSLONsmoQPyncpTjbpxGJVTxAIYGpbJiabBgwUnEFBEFcGz.pkg,UP0101-NPUB31352_00-CMOFPURCHASE1234,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31352
NPUB30042,CellFactor: Psychokinetic Wars - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB30042_00/lNK3Q70pHM4JwcDNlnurQHccgm3lea2Hbq9y9XdeL7cYhHjXupCjjWLeSn56F7rLvviqQ36A8lGgBMYtmbo5pd9LGMU6dAB4QyxBm.pkg,UP0001-NPUB30042_00-CELLFACTOR000001,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB30042
NPEB01934,Child of Light - Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP0001/NPEB01934_00/zdKWoMXeMocLqNLkvEaSXElIdNFUtoHgMQNjfscAEvxYqdYsVoXasrAMWEBHesdr.pkg,EP0001-NPEB01934_00-CHILDOFLIGHTFULL,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB01934
NPUB31430,Child of Light - Unlock,EDAT,US,http://zeus.dl.playstation.net/cdn/UP0001/NPUB31430_00/PloRZKrvAlpwrwVzfOoUWnMoeaMYgmQKyjTZhpUcYecaBGEMBDQnynoWBSMYxtGR.pkg,UP0001-NPUB31430_00-CHILDOFLIGHTFULL,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPUB31430
NPEB00374,Chime Super Deluxe Unlock,EDAT,EU,http://zeus.dl.playstation.net/cdn/EP2007/NPEB00374_00/peMtWqCZbrYZguTOOzwkalZdOOHffhIpBMuZVeIvMzgFVYtwSPIqBdQkLEIZBbOk.pkg,EP2007-NPEB00374_00-0000000000000000,YES,PS3,LICENSE,LICENSE,LICENSE_UNLOCK,NPEB00374
