titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPEB00080,3 on 3 NHL Arcade,C00,EU,http://zeus.dl.playstation.net/cdn/EP0006/NPEB00080_00/A7D6APEPmsoH3FhqG7BcRI23awIHofjdL0krkqXWdHULkLmX3HHnnRiM3ndO7JJJB4gwI7kbcPP9eUohCvSgRyQw9YntB7xcayLUm.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00080
NPUB30058,3 on 3 NHL Arcade,C00,US,http://zeus.dl.playstation.net/cdn/UP0006/NPUB30058_00/kljSpLyFOKIfbG9diNkpsHsG0LAk6PFfWcbVNHhokb8LXwktcGdh6puQ6pAmDLonXcxk158FjLGUbvlBQrUislRlKyr9jrp7adhpV.pkg,UP0006-NPUB30058_00-3ON3NHLARCADE002,YES,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30058
NPJB00019,3 on 3 NHL Arcade,C00,JP,http://zeus.dl.playstation.net/cdn/JP0006/NPJB00019_00/Wc04rVdVtVtAWjpTj4OWofRP7hINd1ugAEAQbQsD3H8dlPMWxFlXK40iBCCob6E3eWTNmkXI3CGMORSpiIVuFYoQfNmw7Ikqh0cnf.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPJB00019
NPEB01127,A-MEN,C00,EU,http://ares.dl.playstation.net/cdn/EP4158/NPEB01127_00/kiqqcHAPVnKCdZzKuKLrIFKmXeAVXglXNuLvoSQORhsrHqMBpYToPyQQYIOkiQpH.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB01127
NPUB30878,A-Men,C00,US,http://zeus.dl.playstation.net/cdn/UP0700/NPUB30878_00/BoxwshpNhrtViuhFZJWorkTkObDSysPypeFSYkmKWdVANTDCZYIGyIaaIeQMpDqo.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30878
NPUB31397,Abyss Odyssey,C00,US,http://zeus.dl.playstation.net/cdn/UP0005/NPUB31397_00/gXiBXueEyIeudKVNNWiJjxoKhqfTxYbezghpNBmmuwfNtTbHMHIScdzINTvwWgoN.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB31397
NPUB31753,Adam's Venture: Chronicles,C00,US,http://zeus.dl.playstation.net/cdn/UP1470/NPUB31753_00/UP1470-NPUB31753_00-GAMEPURCHASE0001_bg_1_15fb387d8f86fc3093311bf12d5c55250ccea072.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB31753
NPEB02323,Adamā€™s Venture: Chronicles,C00,EU,http://zeus.dl.playstation.net/cdn/EP4541/NPEB02323_00/EP4541-NPEB02323_00-GAMEPURCHASE0001_bg_1_3092caff117b431160e32d0e39c10fc3b1a6a181.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB02323
NPEB00872,Adams Venture Chronicles,C00,EU,http://zeus.dl.playstation.net/cdn/EP4005/NPEB00872_00/HhqVOHxUAfmAEwstxqFxRKTQTubryyMRvAwCvPcYccsaojBxDuRRkvyDfjYJpZYE.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00872
NPUB30867,Adams Venture Chronicles,C00,US,http://zeus.dl.playstation.net/cdn/UP4005/NPUB30867_00/YnUkGhDTuQDpAOJGOIrlSisQLzcGTKHgvVdQYWIvgfVdEzqkoXTjehpbQJwrUIrr.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30867
NPUB31664,Adventure Time: Finn and Jake Investigations,C00,US,http://zeus.dl.playstation.net/cdn/UP2089/NPUB31664_00/UP2089-NPUB31664_00-ADVENTURETIMEFJI_bg_1_42dd76fa40deefba8f7fe5e153a71123f7b43571.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB31664
NPEB02234,Adventure Time: Finn and Jake Investigations,C00,EU,http://zeus.dl.playstation.net/cdn/EP4406/NPEB02234_00/EP4406-NPEB02234_00-ADVENTURETIMEFJI_bg_1_28e5108afdca892be54eb30167976c08b54eff58.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB02234
NPUA30036,Akimi Village,C00,US,http://zeus.dl.playstation.net/cdn/UP0017/NPUA30036_00/nHaGXrCcmqeWPNDCMyKrbneUPoiTdkZretFMbOOxFkhMScXmLCiqhCxdetdVDrzAbOhKlnlxgWjHOfseQkkfFYHrCDwHGBYaMdeXC.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUA30036
NPEB00260,Alien Breed - Impact,C00,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00260_00/HRdcY39cyNnVvCyTeETCnhoLoEjXw6hhSlWGpFmWoS6ue7QQovMEotBiQKYNtChS.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00260
NPEB00345,Alien Breed 2 - Assault,C00,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00345_00/nNSxqbgMvlUkQObeVoUjyPjmWdLEeVIYKEXmsKHfKajURzeZHGWOKoJblXOKTTGX.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00345
NPUB30335,Alien Breed 2: Assault,C00,US,http://ares.dl.playstation.net/cdn/UP4064/NPUB30335_00/roSboKbypjrjappfWZyUEhAldhVWAMqCOPblMAIVhlsFWDupCagAMkNizZLtrBcJsYwMeovCXHdJSIozvjGnAeAZQlrDnmqEIHjVX.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30335
NPEB00346,Alien Breed 3 - Descent,C00,EU,http://zeus.dl.playstation.net/cdn/EP4064/NPEB00346_00/jtzrDLLUPbAzEzeyrDYpjiOfiGONkQMUxckeltQHMfWdxKtFNWZJSeOGMwxDilwX.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00346
NPUB30336,Alien Breed 3: Descent,C00,US,http://zeus.dl.playstation.net/cdn/UP4064/NPUB30336_00/emNRmxydfOvXKNWphaqyzLnxbISFZuCqwVeZAIxHQbSIjTnDWtnZqRUMPCzeTAqfcwoNgHKcfIpVOJBJXoaoKcOhPpVkYJWiUadDN.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30336
NPUB30141,Alien Breed: Impact,C00,US,http://ares.dl.playstation.net/cdn/UP4064/NPUB30141_00/cShiO9kKmsj63ONTCYRa4LTuaKXlDXhdOFv6dMtvi3OWu8S2pwOLtUFrik8ttdHluFAC8IAaVy0eHClpduYjPRtk1HI1lMulouADd.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30141
NPHB00282,Alien Breed: Impact,C00,HK,http://ares.dl.playstation.net/cdn/HP4064/NPHB00282_00/RB5XuauVANAmFe7bsvrF2mJedXLc7MTYYb0eeOjG71wgqTKHUnjGFJVWDogCJ5wUbHgRdjCxNSqwMEfjJmqrwmnFKSYWMxUDsxmlK.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPHB00282
NPEB01088,Alien Rage,C00,EU,http://zeus.dl.playstation.net/cdn/EP4321/NPEB01088_00/lhTardSxiPDbRtwGBiRlmfAfRqTjjgEVMbQIItTGIWnSHIprligAYTWgGfGWzIGu.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB01088
NPUB30863,Alien Rage,C00,US,http://zeus.dl.playstation.net/cdn/UP4321/NPUB30863_00/VqYJhqdVOYniLHnpkOthbmZTHpkQUUeKZfHBZDWMCslETcjkAQMsHnKjTDocelEw.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30863
NPJB00575,Alien Rage,C00,JP,http://ares.dl.playstation.net/cdn/JP0001/NPJB00575_00/AAqBOFRKZdXgTbdveTpShyOcYrWyCmrPPlgymPYTcERfFUXCoQzSfqMcgfrrEsfRxPnMUXooHVAPIAYEBhbseqlCfNftAORlXopwA.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPJB00575
NPEB01022,Alien Spidy,C00,EU,http://ares.dl.playstation.net/cdn/EP4365/NPEB01022_00/DQEZCKkcACOjxGdSwvalcnSwEcWSxLjfEgJFUjAyRjgHwTZLIFmRezyCrwAytsgE.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB01022
NPUB30876,Alien Spidy,C00,US,http://zeus.dl.playstation.net/cdn/UP2060/NPUB30876_00/udNMxBHvsBqqaZACXRsymGugYJEEWExHYaZGJqDyUKviEKloompVzXVKqbwwLHhr.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30876
NPEB00904,Anomaly Warzone Earth,C00,EU,http://zeus.dl.playstation.net/cdn/EP4361/NPEB00904_00/BBVZgAoYHzPJWqqUJuxtFcuxWFvKEKHAMdJxSlzAYqqmkTeWotnclVaEdIbhliYV.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB00904
NPUB30834,Anomaly Warzone Earth,C00,US,http://zeus.dl.playstation.net/cdn/UP4361/NPUB30834_00/glzSbHKmgcFXFroeBqPrUFfJTdetbXeYlzbQSOZrRskHzJuIxekcWOmaBDjNZzhKzaAwUsGKdQjuJRnBYksOFHVFheNrfFKnkxYJT.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30834
NPUB30463,Apples to Apples,C00,US,http://zeus.dl.playstation.net/cdn/UP1005/NPUB30463_00/uBWacHthVujQoycolkdxlADjVfBHrururLZJwfrQDBCURZeUvzERXOjawVUxzVyxwVfOkGCaXvZVDgxJykdmTzGOjbIPHNbushKMB.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPUB30463
NPHB00412,Apples To Apples,C00,HK,http://ares.dl.playstation.net/cdn/HP0646/NPHB00412_00/fwdYOQEYZFcvWcVpgOwiSTRNrnyAtAouvSpcrZuoMlxyAOgtIUFrYOIOHqmulAFmAHSjpUTqLECNrKCPtkIyLzXCBkYkjPlLkoaFS.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPHB00412
NPEB01386,Assassin's Creed Liberation HD,C00,EU,http://zeus.dl.playstation.net/cdn/EP0001/NPEB01386_00/GBFHuSNVKEtZIZTYhJwFLjzdsfVzKMdSpOHXkjKatlIJhThGAotirtnHpOHpWFogNdZOFdbqankevOZeuRYDZYhiVALfqPpjfrfbT.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB01386
NPEB01386,Assassins Creed 3 - Liberation HD,C00,EU,http://zeus.dl.playstation.net/cdn/EP0001/NPEB01386_00/zBZEktRfbHrSsvygVyOAjJaJQXbhHWtUYczfHtHvTcqWvKuIGofbNsxPyojdxiwRvqNaSBmcTJMUEvZExtBfZMLzwMHzEXWLKklsJ.pkg,,NO,PS3,PSN,TRIAL,TRIAL_UNLOCKABLE,NPEB01386
