title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPUA80008,.detuned,PSN,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA80008_00/E3NjWOmPJjdQGYAc58xKJueh0lEeXUV0iyRsXXLkAUOjXicsXhFu06IJSaRu6U2TVPxeS06Bomi9dnwGh5dAYm17J6fHjwRRxd6JP.pkg,UP9000-NPUA80008_00-DETUNED000000001,YES,PSP,PSN,BASE_GAME,NONE,
NPUZ00262,1000 Tiny Claws,Mini,US,http://zeus.dl.playstation.net/cdn/UP4131/NPUZ00262_00/GrUYzmEAfJrkJnPoZbuDCuNxedcqPOzTSnRZYDLtjfKCnBexwLxRnSYCfPzJXYyfuaIBPshWxTpJyPuvFMZWfmIrXsPtSOszktCtV.pkg,UP4131-NPUZ00262_00-1000TINYCLAWSXXX,YES,PSP,MINI,BASE_GAME,NONE,
NPEZ00401,1000 Tiny Claws,Mini,EU,http://zeus.dl.playstation.net/cdn/EP4131/NPEZ00401_00/yOIMIiVzurYnTwoDPKfdDDBTOiHYmTFhwHdMYUaWtadvTJdpMcbhICDZXCHIeFIt.pkg,EP4131-NPEZ00401_00-1000TINYCLAWSXXX,YES,PSP,MINI,BASE_GAME,NONE,
NPJG00071,1000000t no barabara,PSP,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJG00071_00/oVkxs0hqt1cNd3MfMkmQKwBatyj2s7A7dUGKcgoQ82SMFeJexPehj2PM3VrEkUIWErXiotVLgUqJv1JFNXm5kXN2dPITHGamH7jN5.pkg,JP9000-NPJG00071_00-0000111122223333,YES,PSP,PSN,BASE_GAME,NONE,
NPHG00061,1000000t no barabara,PSP,HK,http://zeus.dl.playstation.net/cdn/HP9000/NPHG00061_00/JGDvMWbyAXIcKwSXp0tv2sd0yDMPWoxO8vXjiTn7BFMtmIuogV3XMjX09tLygvFSa1fqjaCnJxtpaT7tGybS9hiJaI9vTaGqbA0QX.pkg,,NO,PSP,PSN,BASE_GAME,NONE,
NPUH10088,101-in-1 Megamix,PSP,US,http://zeus.dl.playstation.net/cdn/UP4069/NPUH10088_00/ExR95Xxdoest15r3nNatBwuNqWQr58qtj5emDBQt6MCkpfgCthONh5O5x3S9mX126p5nKH7yHeqdB49cQ8M3IREu9EBNnMJnrlywY.pkg,UP4069-NPUH10088_00-101IN1MEGAMIXPSP,YES,PSP,PSN,BASE_GAME,NONE,
NPEH00068,101-in-1 Megamix,PSP,EU,http://zeus.dl.playstation.net/cdn/EP4069/NPEH00068_00/6rJOUVjS1NnGHa67stOtBGSxKTt3jDqWEJ7Qe3hU7tsnjpc2iVoAeE88HoJ8MSkX.pkg,,NO,PSP,PSN,BASE_GAME,NONE,
NPEZ00175,20Q,Mini,EU,http://zeus.dl.playstation.net/cdn/EP4163/NPEZ00175_00/ItUCtLjOpXPxsdzSivcRvGoKLIoWQUdLUAaoxaWkiPTYoQRzdhFGNGNEEIMRhgzx.pkg,EP4163-NPEZ00175_00-20Q0000000000001,YES,PSP,MINI,BASE_GAME,NONE,
NPJG90038,23 days Demo,PSP,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJG90038_00/fL8adG59uRJOMWiq5fJfeQvno5PHods8qY6Vq4k4SRUnyiFr7BXYXbrvMkP107EwIpo4mAEAUKaMTEyg0iElAVqLoKjLukvuwvLcK.pkg,JP9000-NPJG90038_00-0000000000000000,YES,PSP,PSN,BASE_GAME,NONE,
ULUS10241,300: March to Glory,PSP,US,http://zeus.dl.playstation.net/cdn/UP1018/ULUS10241_00/sK0XjBYSsn0TQQT62MQ3t3I0GWDvAKotmgWwBHP3C9Lac4dqyGK9qp0d48dthqiuWYDbegmHNXCgy8VP1P5vr3f1pBSnqArXOCF4n.pkg,,NO,PSP,UMD,BASE_GAME,NONE,
NPEZ00305,321SuperCrash,Mini,EU,http://zeus.dl.playstation.net/cdn/EP4128/NPEZ00305_00/eDFGvqKXSckCflfyj6UVuVVpkPH0MvNlsWJd9ucJSFJpDl5ejlGH5eG5XkCYFnRJ.pkg,EP4128-NPEZ00305_00-SUPERCRASH002010,YES,PSP,MINI,BASE_GAME,NONE,
NPUZ00189,321SuperCrash,Mini,US,http://zeus.dl.playstation.net/cdn/UP4128/NPUZ00189_00/JXCSXW8Mc2nkluQy8Pm59HDXL4CDb8LTo8DkS0EfIYHT1yH5RRstWPqK8gTsVqGdmPSW8HLHf68QlhJUDLA19jc6to7RQdcNUPX3P.pkg,,NO,PSP,MINI,BASE_GAME,NONE,
