titleId,gameTitle,platform_source,region_source,url,contentId,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
NPJA90173,Ape Escape Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJA90173_00/xYhQBYfYVfydbLvXPRChVMLIwSbjiQnoCiRfNTepacYcuHyvzZMDeFNdtyjcELapmVamFZdBbmLLknSnLqzCyEpTMmRjlNrZhylKz.pkg,,NO,PSP,PSN,DEMO,NONE,
NPUA70107,Beat Sketcher Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA70107_00/QYVqQnLmvMbXYjPDHEwaXDllTTWVYNVcYvYZDBajfMQSeHVPhpGikSaoIRyTQTeXfWOzQYBCDtbidzEmTAWkcxsogmxJslHHUdYdh.pkg,,NO,PSP,PSN,DEMO,NONE,
NPUH10029,Beta Bloc,PSP,US,http://zeus.dl.playstation.net/cdn/UP0367/NPUH10029_00/uRbR5jGT8yVTH8sLe6DL3033c9vaK7sddpHHln4diXTlxgdYyhqeH0wQb8lxwWuLoXx2Qf1r7RVvmeEnQaRKnjaFNwQSjvt8sAgul.pkg,,NO,PSP,PSN,DEMO,BETA_PROGRAM,NPUH10029
ULES00792,Beta Bloc,PSP,EU,http://zeus.dl.playstation.net/cdn/EP0367/ULES00792_00/e5gM5HKSIw5NI0sEj5EHBFO9mGLWjHhk4fpItypVNPyl2qFhok7PMIMKSpKXEjpi2LgFjfxlEV0mvI239Sbb0q10H1f3jsyr5NtXB.pkg,,NO,PSP,PSN,DEMO,BETA_PROGRAM,ULES00792
NPUA72074,Beyond - Two Souls,Demo,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA72074_00/zYlcoKEUvlLPqzlUJSBMqBreIKlqSAkOjkBSYSCWjIPiegadSreKhrOpPccVFoWr.pkg,,NO,PSP,PSN,DEMO,NONE,
NPJA90259,BEYOND: Two Souls Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJA90259_00/DAewlLMmRwWqsolhRXJHDoHxddTStiXYRLqaTEwmgDjOqwXLixNEegWlQuwmaWGXAzQwJjExDpmfEovZogVMGMbwNVsnaKbXaBksG.pkg,,NO,PSP,PSN,DEMO,NONE,
NPJA90006,Blast Factor Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJA90006_00/5VMq9I2s6afDOjBPa6A1jWFy3y6DHq5VBOHQdF19B8IlB96kmQVQkgPbt0vyHDNVEAXaKW6wUI4Y0aHEA4W6sJ3vQwaMXN7P2AOCf.pkg,,NO,PSP,PSN,DEMO,NONE,
NPUA80025,Blast Factor Demo,Demo,US,http://zeus.dl.playstation.net/cdn/EP9000/NPUA80025_00/ciC0OyWiTDXWWlK92KQQMLs7RAkLGNwYiE1HNmm00EPKH5XnEsCYnDfBihexesw7hy6QodwVUdSuyeQk2yQtjSx2iN9qbjXD32Xsi.pkg,,NO,PSP,PSN,DEMO,NONE,
NPJA00002,BLASTFACTOR Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJA00002_00/w5XhN9xNxyy7BAH8d2ctQjbGBlaXcCcWYipjDSHrxdQCdcw4mdpP11DuFDEycvqIni3Uo40JiNpaeETGp6S3YC7uJ18RHBWHdK9ro.pkg,,NO,PSP,PSN,DEMO,NONE,
NPJA90172,Bleach Soul Ignition Demo,Demo,JP,http://zeus.dl.playstation.net/cdn/JP9000/NPJA90172_00/ApRXmUiippFJqZRLEdmiNEucyEiUXSidlPfEmaCbJGXngvlspRwyFPnHEJupNivDIFjplvJHerfodWsIzitdGcIpPFSvdaUNahSIu.pkg,JP9000-NPJA90172_00-BLEACHHDDBOOT001,YES,PSP,PSN,DEMO,NONE,
NPUA70165,Carnival Island Demo,Demo,US,http://zeus.dl.playstation.net/cdn/UP9000/NPUA70165_00/ABkhTiPJLOdMInUFqAuVVwWUXxkVpZKWuoRbRmiTwldUMyulIenBiAQtXnoPsYECWHGHQDHaioknweEFAdaQdNWmqHYwooxpSkHRX.pkg,,NO,PSP,PSN,DEMO,NONE,
