titleId,final_gameTitle,final_url,final_contentId,final_has_content_id,col_gameTitle,dump_gameTitle,col_region_source,dump_region_source,col_platform,dump_platform,col_distribution,dump_distribution,distribution_same,col_content_type,dump_content_type,content_type_same,col_url,dump_url,dump_unlock_model,dump_unlock_group,dump_contentId
ASIA00048,Ultimate Shooter Pack: Resistance 3 / Killzone 3,,,NO,Ultimate Shooter Pack: Resistance 3 / Killzone 3,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ASIA00049,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs,,,NO,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ASIA00050,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III,,,NO,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ASIA00051,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2,,,NO,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ASIA00052,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III,,,NO,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ASIA00074,Ultimate Uncharted Pack,,,NO,Ultimate Uncharted Pack,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
ATS201009,Catherine Best Selection,,,NO,Catherine Best Selection,,UN,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20001,Ridge Racer 7,,,NO,Ridge Racer 7,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20002,Genji: Kamui Souran,,,NO,Genji: Kamui Souran,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20003,Resistance : Fall of Man,,,NO,Resistance : Fall of Man,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20004,MotorStorm,,,NO,MotorStorm,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20005,Armored Core 4,,,NO,Armored Core 4,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20007,Railfan,,,NO,Railfan,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20008,Enchant Arm,,,NO,Enchant Arm,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20009,Formula One Championship Edition,,,NO,Formula One Championship Edition,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20010,MLB 07: The Show,,,NO,MLB 07: The Show,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20013,Folklore,,,NO,Folklore,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20014,龍潭虎穴,,,NO,龍潭虎穴,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20018,Railfan Taiwan High Speed Rail,,,NO,Railfan Taiwan High Speed Rail,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20019,Everybody's Golf 5,,,NO,Everybody's Golf 5,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20020,Wangan Midnight,,,NO,Wangan Midnight,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20021,The Eye of Judgement,,,NO,The Eye of Judgement,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20022,Tom Clancy's Ghost Recon Advanced Warfighter 2,,,NO,Tom Clancy's Ghost Recon Advanced Warfighter 2,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20023,Ratchet & Clank: A Crack in Time,,,NO,Ratchet & Clank: A Crack in Time,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20024,Uncharted: Drake's Fortune,,,NO,Uncharted: Drake's Fortune,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20026,Time Crisis 4 (with GunCon 3),,,NO,Time Crisis 4 (with GunCon 3),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20027,Gran Turismo 5: Prologue,,,NO,Gran Turismo 5: Prologue,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20028,Beowolf: The Game,,,NO,Beowolf: The Game,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20029,Brothers in Arms: Hell's Highway,,,NO,Brothers in Arms: Hell's Highway,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20030,Haze,,,NO,Haze,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20031,Makai Senki Disgaea 3,,,NO,Makai Senki Disgaea 3,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20032,Trusty Bell: Chopin no Yume Reprise,,,NO,Trusty Bell: Chopin no Yume Reprise,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20033,Lost: Via Domus,,,NO,Lost: Via Domus,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20034,Armored Core: For Answer,,,NO,Armored Core: For Answer,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20035,Motorstorm Complete,,,NO,Motorstorm Complete,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20037,Resistance: Fall of Man (PlayStation 3 the Best),,,NO,Resistance: Fall of Man (PlayStation 3 the Best),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20038,FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best),,,NO,FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20039,Ridge Racer 7 (PlayStation 3 the Best),,,NO,Ridge Racer 7 (PlayStation 3 the Best),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20040,Ninja Gaiden Sigma (PlayStation 3 the Best),,,NO,Ninja Gaiden Sigma (PlayStation 3 the Best),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20041,Hot Shots Golf : Out of Bounds,,,NO,Hot Shots Golf : Out of Bounds,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20042,MLB 08 : The Show,,,NO,MLB 08 : The Show,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20043,Battle Fantasia,,,NO,Battle Fantasia,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20044,MotorStorm II,,,NO,MotorStorm II,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20045,Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best),,,NO,Ratchet & Clank: Tools of Destruction (PlayStation 3 the Best),,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20046,Tears to Tiara : Kakan no Daichi,,,NO,Tears to Tiara : Kakan no Daichi,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20047,SIREN: New Translation,,,NO,SIREN: New Translation,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20048,SoulCalibur IV,,,NO,SoulCalibur IV,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
BCAS20049,Vampire Rain : Altered Species,,,NO,Vampire Rain : Altered Species,,AS,,PS3,,DISC,,NO,BASE_GAME,,NO,,,,,
