title_id,game_title,platform_source,region,url,content_id,has_content_id,platform,distribution,content_type,unlock_model,unlock_group
ASIA00048,Ultimate Shooter Pack: Resistance 3 / Killzone 3,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ASIA00049,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ASIA00050,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ASIA00051,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ASIA00052,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ASIA00074,Ultimate Uncharted Pack,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
ATS201009,Catherine Best Selection,COLLECTION,UN,,,NO,PS3,DISC,BASE_GAME,,
BCAS20001,Ridge Racer 7,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20002,Genji: Kamui Souran,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20003,Resistance : Fall of Man,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20004,MotorStorm,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20005,Armored Core 4,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20007,Railfan,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20008,Enchant Arm,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20009,Formula One Championship Edition,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20010,MLB 07: The Show,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20013,Folklore,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20014,龍潭虎穴,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20018,Railfan Taiwan High Speed Rail,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20019,Everybody's Golf 5,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20020,Wangan Midnight,COLLECTION,AS,EP4389-NPEB01976_00-SYBERIA1PSN00001,EP4389-NPEB01976_00-SYBERIA1PSN00001,NO,PS3,DISC,BASE_GAME,,
BCAS20021,The Eye of Judgement,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20022,Tom Clancy's Ghost Recon Advanced Warfighter 2,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20023,Ratchet & Clank: A Crack in Time,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20024,Uncharted: Drake's Fortune,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20026,Time Crisis 4 (with GunCon 3),COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20027,Gran Turismo 5: Prologue,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20028,Beowolf: The Game,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20029,Brothers in Arms: Hell's Highway,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20030,Haze,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20031,Makai Senki Disgaea 3,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20032,Trusty Bell: Chopin no Yume Reprise,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20033,Lost: Via Domus,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20034,Armored Core: For Answer,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20035,Motorstorm Complete,COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20037,Resistance: Fall of Man (PlayStation 3 the Best),COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
BCAS20038,FolksSoul: Ushinawareta Denshou / Folklore (PlayStation 3 the Best),COLLECTION,AS,,,NO,PS3,DISC,BASE_GAME,,
