title_id,game_title,region,version,url,content_id,platform,distribution,content_type
AEIA000011,YOAKE MAE YORI RURIIRO NA - BRIGHTER THAN DAWNING BLUE [LIMITED EDITION],JP,1.00,,AEIA-000011,PS2,DISC,GAME
ALCH00001,KATAKAMUNA - USHINAWARETA INGARITSU [DELUXE PACK],JP,1.00,,ALCH-00001,PS2,DISC,GAME
ALCH00002,Baldr Force EXE (Mega Box),JP,1.00,,ALCH-00002,PS2,DISC,GAME
ALCH00003,CHOCOLAT MAID CAFE CURIO [LIMITED EDITION],JP,1.00,,ALCH-00003,PS2,DISC,GAME
ALCH00004,Duel Savior Destiny,JP,1.00,,ALCH-00004,PS2,DISC,GAME
ALCH00005,HARU NO ASHIOTO - STEP OF SPRING [PAKU PAKU PACK],JP,1.00,,ALCH-00005,PS2,DISC,GAME
ALCH00006,Baldr Force EXE (Simlacrum Pack Alchemist Best),JP,1.00,,ALCH-00006,PS2,DISC,GAME
ALCH00007,PARFAIT - CHOCOLAT SECOND STYLE [LIMITED EDITION],JP,1.00,,ALCH-00007,PS2,DISC,GAME
ALCH00008,ARIA THE NATURAL ~TOOI YUME NO MIRAGE~ [LIMITED EDITION],JP,1.00,,ALCH-00008,PS2,DISC,GAME
ALCH00009,HIGURASHI NO NAKU KORO NI MATSURI [FIRST PRINT LIMITED EDITION],JP,1.00,,ALCH-00009,PS2,DISC,GAME
ALCH00010,KONO AOZORA NI YAKUSOKU WO - MELODY OF THE SUN AND SEA [LIMITED EDITION],JP,1.00,,ALCH-00010,PS2,DISC,GAME
ALCH00011,PURE X CURE RE:COVERY [KOI NO KYUUKYUU SET],JP,1.00,,ALCH-00011,PS2,DISC,GAME
ALCH00012,Baldr Bullet - Equilibrium,JP,1.00,,ALCH-00012,PS2,DISC,GAME
ALCH00014,ARIA - THE ORIGINATION ~AOI HOSHI NO EL CIELO~ [LIMITED EDITION],JP,1.00,,ALCH-00014,PS2,DISC,GAME
ALCH00015,SUGAR+SPICE! - ANOKO NO SUTEKI NA NANIMOKAMO [FIRST PRESS LIMITED EDITION],JP,1.00,,ALCH-00015,PS2,DISC,GAME
ALCH00016,KOISURU OTOME TO SHUGO NO TATE - THE SHIELD OF AIGIS [LIMITED EDITION],JP,1.00,,ALCH-00016,PS2,DISC,GAME
ALCH00017,TRIGGERHEART EXELICA ENHANCED [NENDROID SUPER SET],JP,1.00,,ALCH-00017,PS2,DISC,GAME
