content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0102-BLES00485_00-AVATARPACK000001,BLES00485,PS3,DISC,AVATAR,EP0102,EP,EUROPE
HP9000-BCAS20270_00-FACTIONAVATARPCK,BCAS20270,PS3,DISC,AVATAR,HP9000,HP,ASIA
HP9000-BCAS20270_00-TOONYAVATARPACK1,BCAS20270,PS3,DISC,AVATAR,HP9000,HP,ASIA
HP9000-BCAS20270_00-TOONYAVATARPACK2,BCAS20270,PS3,DISC,AVATAR,HP9000,HP,ASIA
JP0031-BLJM60444_00-AVATARDATA000001,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000002,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000003,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000004,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000005,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000006,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000007,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000008,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000009,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000010,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000011,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000012,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000013,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000014,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000015,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000016,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000017,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000018,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000019,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000020,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000021,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000022,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000023,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000024,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60444_00-AVATARDATA000025,BLJM60444,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60484_00-AVATARDATA000001,BLJM60484,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60484_00-AVATARDATA000002,BLJM60484,PS3,DISC,AVATAR,JP0031,JP,JAPAN
JP0031-BLJM60484_00-AVATARDATA000003,BLJM60484,PS3,DISC,AVATAR,JP0031,JP,JAPAN
