content_id,title_id,platform,distribution,content_type,store,store_region,region
AP9000-BCAS20013_00-ASIAPARENT000000,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000001,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000002,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000003,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000004,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000005,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
AP9000-BCAS20013_00-FOLKSSOUL2000006,BCAS20013,PS3,DISC,BASE_GAME,AP9000,AP,ASIA
EP0001-BLES00157_00-PHAZEXXXXX000001,BLES00157,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00157_00-PHAZEXXXXX000002,BLES00157,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00164_00-PHAZEXXXXX000004,BLES00164,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00164_00-PHAZEXXXXX000006,BLES00164,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00169_00-PHAZEXXXXX000003,BLES00169,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00169_00-PHAZEXXXXX000005,BLES00169,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00237_00-PTOMCLANCY000001,BLES00237,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00324_00-PFARCRY2XX000001,BLES00324,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00326_00-DISCONLYPARENT00,BLES00326,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00326_00-PTOMCLANCY000002,BLES00326,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00326_00-PTOMCLANCY000003,BLES00326,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00330_00-DISCONLYPARENT00,BLES00330,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00389_00-PPRINCEOFP000001,BLES00389,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00403_00-PSHAUNWHIT000002,BLES00403,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00403_00-PSHAUNWHIT000003,BLES00403,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00403_00-PSHAUNWHIT000004,BLES00403,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00486_00-DISCONLYPARENT00,BLES00486,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00669_00-ASIALCSEQ1200001,BLES00669,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00669_00-ASIALCSEQ1300001,BLES00669,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00669_00-ASIALCSEQ13LGS01,BLES00669,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00669_00-PASSASSINS000004,BLES00669,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00785_00-DISCONLYPARENT00,BLES00785,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-ASIAASSINS000002,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-ASIAASSINS000003,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-ASIALC4000000001,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-ASIALCCOPERNIC01,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000001,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000002,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000003,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000004,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000005,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000006,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-BLES00909_00-AVASSASSIN000007,BLES00909,PS3,DISC,BASE_GAME,EP0001,EP,EUROPE
