contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-NPEB00032_00-GPRINCEOFP000001,NPEB00032,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00075_00-PCELLFACTO000001,NPEB00075,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00174_00-MMCLASHOFHEROES1,NPEB00174,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00174_00-MMCLASHOFHEROES2,NPEB00174,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00174_00-PMIGHTMAGI000002,NPEB00174,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00183_00-GAMEPURCHASE0001,NPEB00183,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00183_00-GAMEPURCHASE0002,NPEB00183,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00341_00-POPSANDSOFTIMEEE,NPEB00341,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00389_00-POPWARRIORWITHIN,NPEB00389,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00390_00-POPTHETWOTHRONES,NPEB00390,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00393_00-ASSASSINSCREPKG1,NPEB00393,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00394_00-VEGAS2PS3REMPKG1,NPEB00394,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00435_00-AVBEYONDGO000001,NPEB00435,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00435_00-BEYONDGANDEKEY01,NPEB00435,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00448_00-ACASCENDPS3VIDEO,NPEB00448,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00462_00-ASSASSINS2BLURAY,NPEB00462,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEB00462_00-PASSASSINS000001,NPEB00462,PS3,PSN,BASE_GAME,EP0001,EP,EUROPE
