content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-BLES01138_00-ASIADELUXEBUNDLE,BLES01138,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIAAICBUNDLE000,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIABZBUNDLE0000,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIAGREENDBUNDLE,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIAHOTEIBUNDLE0,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIAIRMBUNDLE000,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIATSPBUNDLE000,BLES01862,PS3,DISC,BUNDLE,EP0001,EP,EUROPE
EP0006-BLES01066_00-ALLCARSBUNDLE000,BLES01066,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01066_00-FAVE5BUNDLE00000,BLES01066,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01275_00-BF3SCULTIMATE000,BLES01275,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01832_00-SCKITBUNDLE00000,BLES01832,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01832_00-SCVEHBUNDLE00000,BLES01832,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01832_00-SCWPNBUNDLE00000,BLES01832,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES01894_00-NFSRIVALSGOTY000,BLES01894,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES02039_00-BFHULTIMATEEDITI,BLES02039,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP0006-BLES02039_00-SCULTIMATE000000,BLES02039,PS3,DISC,BUNDLE,EP0006,EP,EUROPE
EP1018-BLES00926_00-CATWOMANBUNDLE01,BLES00926,PS3,DISC,BUNDLE,EP1018,EP,EUROPE
EP1018-BLES00926_00-NIGHTWINGBUNDLE1,BLES00926,PS3,DISC,BUNDLE,EP1018,EP,EUROPE
EP1018-BLES00926_00-ROBINBUNDLE00001,BLES00926,PS3,DISC,BUNDLE,EP1018,EP,EUROPE
EP1018-BLES01784_00-SPBRUCEBUNDLECHR,BLES01784,PS3,DISC,BUNDLE,EP1018,EP,EUROPE
EP1018-BLES01784_00-SPDEATHBUNDLECHR,BLES01784,PS3,DISC,BUNDLE,EP1018,EP,EUROPE
EP8802-BLES01611_00-RBGOTYOUW4FFC000,BLES01611,PS3,DISC,BUNDLE,EP8802,EP,EUROPE
EP9000-BCES00701_00-AVAMNRBUNDLE0001,BCES00701,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES00701_00-MODNLOVEBUNDLEXX,BCES00701,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES00764_00-MODNLOVEBUNDLEXX,BCES00764,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES00938_00-AVASOCOMBUNDLE01,BCES00938,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES00938_00-AVASOCOMBUNDLE02,BCES00938,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES01007_00-AVAKZ3BUNDLE0001,BCES01007,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES01007_00-AVAKZ3BUNDLE0002,BCES01007,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES01143_00-AVAINFA2BUNDLE01,BCES01143,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
EP9000-BCES01143_00-AVAINFA2BUNDLE02,BCES01143,PS3,DISC,BUNDLE,EP9000,EP,EUROPE
HP0006-BLAS50380_00-00PROMOBUNDLEPS3,BLAS50380,PS3,DISC,BUNDLE,HP0006,HP,ASIA
HP0006-BLAS50380_00-BF3SCULTIMATEPS3,BLAS50380,PS3,DISC,BUNDLE,HP0006,HP,ASIA
HP0006-BLAS50588_00-SCKITBUNDLE00PS3,BLAS50588,PS3,DISC,BUNDLE,HP0006,HP,ASIA
HP0006-BLAS50588_00-SCVEHBUNDLE00PS3,BLAS50588,PS3,DISC,BUNDLE,HP0006,HP,ASIA
HP0006-BLAS50588_00-SCWPNBUNDLE00PS3,BLAS50588,PS3,DISC,BUNDLE,HP0006,HP,ASIA
HP0106-BLAS50413_00-WPCOMPLETESET001,BLAS50413,PS3,DISC,BUNDLE,HP0106,HP,ASIA
HP9000-BCAS20021_00-BUNDLE_SET2AND_3,BCAS20021,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20171_00-GAMEPLAYBUNDLEPK,BCAS20171,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE000001,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE000002,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE000003,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE200001,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE200002,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
HP9000-BCAS20253_00-MINIBUNDLE200003,BCAS20253,PS3,DISC,BUNDLE,HP9000,HP,ASIA
