content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-BLES01384_00-MPDLCTRIAL000002,BLES01384,PS3,DISC,DEMO,EP0001,EP,EUROPE
EP0006-BLES00228_00-RBRUDEMOOCCF01F3,BLES00228,PS3,DISC,DEMO,EP0006,EP,EUROPE
EP0006-BLES01636_00-MOHWSCDEMO000000,BLES01636,PS3,DISC,DEMO,EP0006,EP,EUROPE
EP0102-BLES01356_00-DLCTRIAL00000000,BLES01356,PS3,DISC,DEMO,EP0102,EP,EUROPE
EP0177-BLES00372_00-VLEDYTRIAL000100,BLES00372,PS3,DISC,DEMO,EP0177,EP,EUROPE
EP0700-BLES01898_00-ACVDPAINTTRIAL00,BLES01898,PS3,DISC,DEMO,EP0700,EP,EUROPE
EP1005-BLES01597_00-DS2DLCTHEDEMONLO,BLES01597,PS3,DISC,DEMO,EP1005,EP,EUROPE
EP9000-BCES01247_00-DANCESTDEMOBNDL1,BCES01247,PS3,DISC,DEMO,EP9000,EP,EUROPE
HP0006-BLAS50505_00-MOHWSCDEMO000000,BLAS50505,PS3,DISC,DEMO,HP0006,HP,ASIA
HP0700-BLAS50618_00-ACVDPAINTTRIAL00,BLAS50618,PS3,DISC,DEMO,HP0700,HP,ASIA
JP0001-BLJM60412_00-MPDLCTRIAL000002,BLJM60412,PS3,DISC,DEMO,JP0001,JP,JAPAN
JP0006-BLJM60541_00-MOHWSCDEMO000000,BLJM60541,PS3,DISC,DEMO,JP0006,JP,JAPAN
JP0031-BCAS20129_00-MATERIALTRIALPAC,BCAS20129,PS3,DISC,DEMO,JP0031,JP,ASIA
JP0031-BCAS20195_00-DEMONOFSTEEL0000,BCAS20195,PS3,DISC,DEMO,JP0031,JP,ASIA
JP0031-BLJM60086_00-ASIA_TRIALPOINTP,BLJM60086,PS3,DISC,DEMO,JP0031,JP,JAPAN
JP0031-BLJM60492_00-ASIATRIALPERIOD0,BLJM60492,PS3,DISC,DEMO,JP0031,JP,JAPAN
JP0102-BLJM60379_00-DLCTRIAL00000000,BLJM60379,PS3,DISC,DEMO,JP0102,JP,JAPAN
JP0506-BLJM61014_00-ACVDPAINTTRIAL00,BLJM61014,PS3,DISC,DEMO,JP0506,JP,JAPAN
JP0642-BLJM60060_00-ASIAVAMPIRETRIAL,BLJM60060,PS3,DISC,DEMO,JP0642,JP,JAPAN
JP0642-BLJM60060_00-ASIA_VR_TRIAL001,BLJM60060,PS3,DISC,DEMO,JP0642,JP,JAPAN
JP0642-BLJM60060_00-ASIA_VR_TRIAL002,BLJM60060,PS3,DISC,DEMO,JP0642,JP,JAPAN
JP0700-BCAS20093_00-TRIALSKILLESTELL,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLFLYNN0,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLJUDITH,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLKAROL0,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLPATTY0,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLRAVEN0,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLREPEDE,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLRITA00,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSKILLYURI00,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BCAS20093_00-TRIALSYNTHESISKI,BCAS20093,PS3,DISC,DEMO,JP0700,JP,ASIA
JP0700-BLAS50285_00-CHATWHOTHEDEMON0,BLAS50285,PS3,DISC,DEMO,JP0700,JP,ASIA
KP0001-BLKS20325_00-MPDLCTRIAL000002,BLKS20325,PS3,DISC,DEMO,KP0001,KP,KOREA
UP0001-BLUS30808_00-ASIATRAVELERDEMO,BLUS30808,PS3,DISC,DEMO,UP0001,UP,USA
UP0001-BLUS30808_00-MPDLCTRIAL000002,BLUS30808,PS3,DISC,DEMO,UP0001,UP,USA
UP0002-BLUS31140_00-CODOPS2DLC2TRIAL,BLUS31140,PS3,DISC,DEMO,UP0002,UP,USA
UP0002-BLUS31140_00-MAPPACKDLC1TRIAL,BLUS31140,PS3,DISC,DEMO,UP0002,UP,USA
UP0006-BLUS30050_00-RBRUDEMOOCCF01F3,BLUS30050,PS3,DISC,DEMO,UP0006,UP,USA
UP0006-BLUS30990_00-ASIASCDEMO000000,BLUS30990,PS3,DISC,DEMO,UP0006,UP,USA
UP0006-BLUS30990_00-MOHWSCDEMO000000,BLUS30990,PS3,DISC,DEMO,UP0006,UP,USA
UP0101-BLUS30339_00-AVACLSDEMON00000,BLUS30339,PS3,DISC,DEMO,UP0101,UP,USA
UP0102-BLUS30720_00-ASIADEMONPROTECT,BLUS30720,PS3,DISC,DEMO,UP0102,UP,USA
UP0102-BLUS30720_00-DLCTRIAL00000000,BLUS30720,PS3,DISC,DEMO,UP0102,UP,USA
UP0177-BLUS30196_00-VLEDYTRIAL000100,BLUS30196,PS3,DISC,DEMO,UP0177,UP,USA
UP0700-BLUS31194_00-ACVDPAINTTRIAL00,BLUS31194,PS3,DISC,DEMO,UP0700,UP,USA
UP1003-BLUS30406_00-HUNTEDDEMONSFORG,BLUS30406,PS3,DISC,DEMO,UP1003,UP,USA
UP1005-BLUS30829_00-ASIAD2THEDEMONLO,BLUS30829,PS3,DISC,DEMO,UP1005,UP,USA
UP1005-BLUS30829_00-DS2DLCTHEDEMONLO,BLUS30829,PS3,DISC,DEMO,UP1005,UP,USA
UP1063-BLUS30181_00-ASIADEMONDETECTI,BLUS30181,PS3,DISC,DEMO,UP1063,UP,USA
UP9000-BCUS98365_00-EBDDEMOPACK00001,BCUS98365,PS3,DISC,DEMO,UP9000,UP,USA
