content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-BLES00326_00-DLCDRM0000000004,BLES00326,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00330_00-TCLANCYHAWXDLC01,BLES00330,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00330_00-TCLANCYHAWXDLC02,BLES00330,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00330_00-TCLANCYHAWXDLC03,BLES00330,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00330_00-TCLANCYHAWXDLC04,BLES00330,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00486_00-TCLANCYHAWXDLC01,BLES00486,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00486_00-TCLANCYHAWXDLC02,BLES00486,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00486_00-TCLANCYHAWXDLC03,BLES00486,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00486_00-TCLANCYHAWXDLC04,BLES00486,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00669_00-AC2DLCSEQ1200001,BLES00669,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00669_00-AC2DLCSEQ1300001,BLES00669,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00669_00-AC2DLCSEQ13LGS01,BLES00669,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00909_00-AC2DLC4000000001,BLES00909,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00909_00-AC2DLCCOPERNIC01,BLES00909,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-ASIADLC000000001,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-ASIADLC000000002,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-ASIADLC000000003,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-DLC0000000000001,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-DLC0000000000002,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES00922_00-DLC0000000000003,BLES00922,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01138_00-ASIAMPDLC0000001,BLES01138,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01138_00-DLCIGE0000000001,BLES01138,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01138_00-MPDLC00000000001,BLES01138,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01216_00-ASIATIMESAVEPACK,BLES01216,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01384_00-ACR000000000DLC1,BLES01384,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01384_00-ACRDLCSUB1600001,BLES01384,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01384_00-ASIA00000000DLC1,BLES01384,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01384_00-ASIADLCSUB160000,BLES01384,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01384_00-MPDLCKEY00000002,BLES01384,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01461_00-DLCWSUITANDMBIKE,BLES01461,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-AC3DLCBENEDICT01,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-SPAC3DLCMP000001,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-SPAC3DLCSP000001,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-SPAC3DLCSP000002,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-SPAC3DLCSP000003,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01667_00-SPAC3DLCULCPACKS,BLES01667,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01722_00-JD4DLC1000000004,BLES01722,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01766_00-HIGHPOWERPACKDLC,BLES01766,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01854_00-ASIAULCPACK00PS3,BLES01854,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-ASIA2PACK0000045,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000045,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000108,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000122,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000168,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000169,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000170,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000171,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000172,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000173,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000174,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000175,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000176,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000177,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000178,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000179,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000180,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000181,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000182,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000183,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000184,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000185,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000186,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000187,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000188,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000189,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000190,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000191,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000192,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000193,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000194,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000195,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000196,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000197,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000198,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000199,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000200,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000201,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000202,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000203,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000204,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000205,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000206,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000207,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000208,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000209,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000210,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000211,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000212,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000213,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000214,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000215,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000216,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000217,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000218,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000219,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
EP0001-BLES01862_00-RS002PACK0000220,BLES01862,PS3,DISC,DLC,EP0001,EP,EUROPE
