content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0006-BLES00228_00-RBTHEMETACCF0351,BLES00228,PS3,DISC,THEME,EP0006,EP,EUROPE
EP9000-BCES00701_00-THEME5ALLPARTSXX,BCES00701,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00701_00-THEME6ICEWORLDXX,BCES00701,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00701_00-THEME7XXXXXXXXXX,BCES00701,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00701_00-UFGTHEMEPROGRESS,BCES00701,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00764_00-THEME5ALLPARTSXX,BCES00764,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00764_00-THEME6ICEWORLDXX,BCES00764,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00764_00-THEME7XXXXXXXXXX,BCES00764,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES00764_00-UFGTHEMEPROGRESS,BCES00764,PS3,DISC,THEME,EP9000,EP,EUROPE
EP9000-BCES10370_00-AVACIMURRAYTHEME,BCES10370,PS3,DISC,THEME,EP9000,EP,EUROPE
HP0082-BCAS20279_00-LRFF13PS3THEME02,BCAS20279,PS3,DISC,THEME,HP0082,HP,ASIA
HP0106-BLAS50308_00-LUXUNTHEME000000,BLAS50308,PS3,DISC,THEME,HP0106,HP,ASIA
HP0106-BLAS50308_00-WANGYUANJITHEME0,BLAS50308,PS3,DISC,THEME,HP0106,HP,ASIA
HP0106-BLAS50308_00-XIAHOUDUNTHEME00,BLAS50308,PS3,DISC,THEME,HP0106,HP,ASIA
HP0576-BLAS50366_00-THEME00000000000,BLAS50366,PS3,DISC,THEME,HP0576,HP,ASIA
HP0576-BLAS50366_00-THEME00000000001,BLAS50366,PS3,DISC,THEME,HP0576,HP,ASIA
HP0576-BLAS50366_00-THEME00000000002,BLAS50366,PS3,DISC,THEME,HP0576,HP,ASIA
HP9000-BCAS20104_00-EYEPETDMTHEME001,BCAS20104,PS3,DISC,THEME,HP9000,HP,ASIA
IP9100-BCJB95006_00-SCEPS3THEME01000,BCJB95006,PS3,DISC,THEME,IP9100,IP,JAPAN
JP0031-BCAS20195_00-NEPTUNEMK2THEME0,BCAS20195,PS3,DISC,THEME,JP0031,JP,ASIA
JP0031-BLJM60444_00-FREETHEME0000001,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-FREETHEME0000002,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-FREETHEME0000003,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-FREETHEME0000004,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-FREETHEME0000005,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-FREETHEME0000006,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
JP0031-BLJM60444_00-SELLTHEME0000001,BLJM60444,PS3,DISC,THEME,JP0031,JP,JAPAN
