contentId,titleId,platform,distribution,content_type,store,store_region,region
HP0700-BCAS20001_00-STEREO3DPATCHPAC,BCAS20001,PS3,DISC,UPDATE,HP0700,HP,ASIA
JP0031-BLJM60444_00-SATORIMAXPATCH01,BLJM60444,PS3,DISC,UPDATE,JP0031,JP,JAPAN
JP0031-BLKS20357_00-SATORIMAXPATCH01,BLKS20357,PS3,DISC,UPDATE,JP0031,JP,KOREA
JP0367-BLJS10203_00-ASIA0000EYEPATCH,BLJS10203,PS3,DISC,UPDATE,JP0367,JP,JAPAN
JP0367-BLJS10203_00-ASIAROSEEYEPATCH,BLJS10203,PS3,DISC,UPDATE,JP0367,JP,JAPAN
JP0700-BLAS50177_00-ARTONEPATCHTYPEA,BLAS50177,PS3,DISC,UPDATE,JP0700,JP,ASIA
JP0700-BLAS50177_00-ARTONEPATCHTYPEB,BLAS50177,PS3,DISC,UPDATE,JP0700,JP,ASIA
JP0700-BLAS50177_00-ARTONEPATCHTYPEC,BLAS50177,PS3,DISC,UPDATE,JP0700,JP,ASIA
JP0700-BLAS50177_00-ARTONEPATCHTYPED,BLAS50177,PS3,DISC,UPDATE,JP0700,JP,ASIA
KP0700-BCKS10001_00-STEREO3DPATCHPAC,BCKS10001,PS3,DISC,UPDATE,KP0700,KP,KOREA
UP0102-BLAS50200_00-UPDATEKIT0000000,BLAS50200,PS3,DISC,UPDATE,UP0102,UP,ASIA
