contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-CUSA02819_00-GRWAVATARBUNDLE0,CUSA02819,PS4,PSN,AVATAR,EP0001,EP,PS4
EP0001-CUSA04206_00-ASIAAVATARBUNDLE,CUSA04206,PS4,PSN,AVATAR,EP0001,EP,PS4
EP0001-CUSA04206_00-TBDAVATARBUNDLE1,CUSA04206,PS4,PSN,AVATAR,EP0001,EP,PS4
EP0082-CUSA02487_00-FFXIVARTAVATAR00,CUSA02487,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA02487_00-FFXIVCGIAVATAR00,CUSA02487,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA02487_00-FFXIVPIXAVATAR00,CUSA02487,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA02747_00-JC3SFAVATARS0001,CUSA02747,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA04548_00-WOFFAVATARBUNDLE,CUSA04548,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA08518_00-DQXISLIMEAVATARS,CUSA08518,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0082-CUSA11736_00-THMAVATARBUNDLE0,CUSA11736,PS4,PSN,AVATAR,EP0082,EP,PS4
EP0102-CUSA03842_00-BH7AVATARPACK001,CUSA03842,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA08558_00-ALLAVATARSBUNDLE,CUSA08558,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA08558_00-AVATARPACK000001,CUSA08558,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA08558_00-AVATARPACK000002,CUSA08558,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA08558_00-AVATARPACK000003,CUSA08558,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA08558_00-AVATARPACK000004,CUSA08558,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0102-CUSA11512_00-PHOENIXAVATARSET,CUSA11512,PS4,PSN,AVATAR,EP0102,EP,PS4
EP0131-CUSA15396_00-DLC5ALLAVATARS00,CUSA15396,PS4,PSN,AVATAR,EP0131,EP,PS4
EP0177-CUSA03951_00-VALKYRIAVATARPAC,CUSA03951,PS4,PSN,AVATAR,EP0177,EP,PS4
EP0700-CUSA07202_00-ACE7AVATARB00000,CUSA07202,PS4,PSN,AVATAR,EP0700,EP,PS4
