content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-CUSA00230_00-ASIATRIALSFUSION,CUSA00230,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA00230_00-TRIALSFUSION0002,CUSA00230,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA00230_00-TRIALSFUSION1111,CUSA00230,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA01262_00-ASIATRIAL0000000,CUSA01262,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA02819_00-ASIADEMO00000000,CUSA02819,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA04206_00-TRIALSBDANDOST00,CUSA04206,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA04206_00-TRIALSBDGAME1234,CUSA04206,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA10245_00-STEEPDEMO1234567,CUSA10245,PS4,PSN,DEMO,EP0001,EP,PS4
EP0001-CUSA24166_00-JD2021DEMOSIEE00,CUSA24166,PS4,PSN,DEMO,EP0001,EP,PS4
EP0002-CUSA00568_00-DESTINYDEMO00000,CUSA00568,PS4,PSN,DEMO,EP0002,EP,PS4
EP0002-CUSA24267_00-CODCWZMTRIAL0001,CUSA24267,PS4,PSN,DEMO,EP0002,EP,PS4
EP0040-CUSA12644_00-HORIZONTURBODEMO,CUSA12644,PS4,PSN,DEMO,EP0040,EP,PS4
EP0082-CUSA00285_00-FFXIVFREETRIAL00,CUSA00285,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA00652_00-0000000THIEFDEMO,CUSA00652,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA07007_00-NIERAUTOMATADEMO,CUSA07007,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA07235_00-FFVIIRDEMOGERMAN,CUSA07235,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA07235_00-FFVIIREMAKETRIAL,CUSA07235,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA16021_00-ONINAKIDEMO00000,CUSA16021,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA17794_00-CREATETRIAL20000,CUSA17794,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA18246_00-TOMPS4DEMOEU0001,CUSA18246,PS4,PSN,DEMO,EP0082,EP,PS4
EP0082-CUSA23949_00-KHMOMDEMO0000000,CUSA23949,PS4,PSN,DEMO,EP0082,EP,PS4
EP0101-CUSA13093_00-DEMOGAME00000002,CUSA13093,PS4,PSN,DEMO,EP0101,EP,PS4
EP0101-CUSA16863_00-ROGUECORPSDEMOPS,CUSA16863,PS4,PSN,DEMO,EP0101,EP,PS4
EP0102-CUSA00087_00-STREUHG4TRIAL001,CUSA00087,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA00804_00-BHR2HGTRIALPS401,CUSA00804,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA04767_00-BH70000000DEMO01,CUSA04767,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA08443_00-DUCKDEMO00000000,CUSA08443,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA12369_00-MM11TRIAL0000000,CUSA12369,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA13447_00-DMC5DEMO00000001,CUSA13447,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA17925_00-BH3ROFFDEMO00001,CUSA17925,PS4,PSN,DEMO,EP0102,EP,PS4
EP0102-CUSA17975_00-BH2R0000000DEMO2,CUSA17975,PS4,PSN,DEMO,EP0102,EP,PS4
EP0177-CUSA05768_00-PJDX393PRPRTRIAL,CUSA05768,PS4,PSN,DEMO,EP0177,EP,PS4
EP0177-CUSA05950_00-PDJVRLIVETRIAL39,CUSA05950,PS4,PSN,DEMO,EP0177,EP,PS4
EP0177-CUSA09732_00-YAKUZA6DEMONAENG,CUSA09732,PS4,PSN,DEMO,EP0177,EP,PS4
EP0177-CUSA10937_00-SHININGRESDEMO00,CUSA10937,PS4,PSN,DEMO,EP0177,EP,PS4
EP0177-CUSA15341_00-000000000000DEMO,CUSA15341,PS4,PSN,DEMO,EP0177,EP,PS4
EP0188-CUSA09546_00-MIRRIMDEMOPS4000,CUSA09546,PS4,PSN,DEMO,EP0188,EP,PS4
EP0700-CUSA05086_00-ASIAIECEBBTRIAL0,CUSA05086,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA05952_00-ASIALTNDEMO00000,CUSA05952,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA10168_00-ASIADEMO00000000,CUSA10168,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA10168_00-SAOFBTRIALBUND01,CUSA10168,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA10489_00-ASIADEMO00000000,CUSA10489,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA10489_00-PROJECTCARS2DEMO,CUSA10489,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA10716_00-HACKGURECODEDEMO,CUSA10716,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA11202_00-ASIADEMO00000000,CUSA11202,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA11783_00-ASIAVEINTRIAL000,CUSA11783,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA11783_00-CODEVEINTRIAL000,CUSA11783,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA13365_00-ASIAATER3TRIAL00,CUSA13365,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA13365_00-GODEATER3TRIAL00,CUSA13365,PS4,PSN,DEMO,EP0700,EP,PS4
EP0700-CUSA25785_00-TSUBASADEMO00000,CUSA25785,PS4,PSN,DEMO,EP0700,EP,PS4
EP1001-CUSA07470_00-MAFIAIIIGAMEDEMO,CUSA07470,PS4,PSN,DEMO,EP1001,EP,PS4
EP1001-CUSA16547_00-NBA2K20DEMO00000,CUSA16547,PS4,PSN,DEMO,EP1001,EP,PS4
EP1001-CUSA20194_00-NBA2K21DEMO00000,CUSA20194,PS4,PSN,DEMO,EP1001,EP,PS4
EP1003-CUSA08458_00-PREYDEMO00000000,CUSA08458,PS4,PSN,DEMO,EP1003,EP,PS4
