contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-CUSA00009_00-ACAVELINEPACKDLC,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFDLCSP0000001,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0002,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0003,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0004,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0005,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0006,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFMICRODLC0007,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ACBFSEASONPASS01,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIABFDLCULCPACK,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIABFMPDLCCHAR2,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIADLCSP0000001,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAIAMPDLCCHAR1,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0002,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0003,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0004,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0005,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0006,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-ASIAMICRODLC0007,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-SPACBFDLCULCPACK,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-SPACBFMPDLCCHAR1,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00009_00-SPACBFMPDLCCHAR2,CUSA00009,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00016_00-ASIABADBLOODDLC0,CUSA00016,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00016_00-ASIAHDOGULCPACK2,CUSA00016,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00016_00-ASIASEASONPASS00,CUSA00016,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00161_00-THECREWSEASONPAS,CUSA00161,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC01OUTSIDE,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC02UTOPIA0,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC03THESEA0,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC04BENEATH,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC05UNLEASH,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC06AFTERIN,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00230_00-TFS0DLC07LIDMKL1,CUSA00230,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00435_00-ACBFDLCSPSA00001,CUSA00435,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00462_00-FC4PS4SEASONPASS,CUSA00462,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00462_00-HURKDELUXEDLC000,CUSA00462,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00462_00-PVPMAPSDLC000000,CUSA00462,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00462_00-SURVIVORSDLC0000,CUSA00462,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00462_00-YETIHUNTERSDLC00,CUSA00462,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-ASIADLCULCPACK01,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-ASIADLCUNDEADKIN,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-DLCULCPACK000001,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-DLCULCPACK000002,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-DLCUNDEADKINGS00,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-DLCWEAPONPACK000,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-VCSEASONPASS0001,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00605_00-VCSEASONPASS0002,CUSA00605,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00745_00-RS001PACK0000BBB,CUSA00745,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00745_00-RS002PACK0000045,CUSA00745,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00745_00-RS002PACK0000086,CUSA00745,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00745_00-RS002PACK0000108,CUSA00745,PS4,PSN,DLC,EP0001,EP,PS4
EP0001-CUSA00745_00-RS002PACK0000122,CUSA00745,PS4,PSN,DLC,EP0001,EP,PS4
