contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0101-CUSA01154_00-MGSVTUPDATEV0110,CUSA01154,PS4,PSN,UPDATE,EP0101,EP,PS4
EP2377-CUSA09991_00-WUUPDATE00000000,CUSA09991,PS4,PSN,UPDATE,EP2377,EP,PS4
HP0101-CUSA03579_00-MGSVTUPDATEV0110,CUSA03579,PS4,PSN,UPDATE,HP0101,HP,PS4
JP0101-CUSA01099_00-MGSVTUPDATEV0110,CUSA01099,PS4,PSN,UPDATE,JP0101,JP,PS4
JP0704-CUSA06612_00-KBTAVTRPATCHE001,CUSA06612,PS4,PSN,UPDATE,JP0704,JP,PS4
JP0704-CUSA06612_00-KBTAVTRPATCHE002,CUSA06612,PS4,PSN,UPDATE,JP0704,JP,PS4
JP0704-CUSA06612_00-KBTAVTRPATCHE003,CUSA06612,PS4,PSN,UPDATE,JP0704,JP,PS4
JP0704-CUSA06612_00-KBTAVTRPATCHE004,CUSA06612,PS4,PSN,UPDATE,JP0704,JP,PS4
UP0101-CUSA01140_00-MGSVTUPDATEV0110,CUSA01140,PS4,PSN,UPDATE,UP0101,UP,PS4
UP2514-CUSA10205_00-WUUPDATE00000000,CUSA10205,PS4,PSN,UPDATE,UP2514,UP,PS4
