contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-PPSA01490_00-EDITIONULTIMATE0,PPSA01490,PS5,PSN,BUNDLE,EP0001,EP,PS5
EP0002-PPSA02050_00-CODCWULTIMATE001,PPSA02050,PS5,PSN,BUNDLE,EP0002,EP,PS5
EP0006-PPSA01326_00-PS5LAUNCHBUNDLE0,PPSA01326,PS5,PSN,BUNDLE,EP0006,EP,PS5
EP0006-PPSA01344_00-HOLIDAYDELUXEBUN,PPSA01344,PS5,PSN,BUNDLE,EP0006,EP,PS5
EP0006-PPSA01344_00-HOLIDAYMVPBUNDLE,PPSA01344,PS5,PSN,BUNDLE,EP0006,EP,PS5
EP0006-PPSA01344_00-M21SPRSTARBUNDLE,PPSA01344,PS5,PSN,BUNDLE,EP0006,EP,PS5
EP0006-PPSA01344_00-PS5LAUNCHBUNDLE0,PPSA01344,PS5,PSN,BUNDLE,EP0006,EP,PS5
EP0102-PPSA01443_00-DMC5BUNDLE000SE1,PPSA01443,PS5,PSN,BUNDLE,EP0102,EP,PS5
EP0290-PPSA01349_00-GODFALLDELUXE000,PPSA01349,PS5,PSN,BUNDLE,EP0290,EP,PS5
EP0290-PPSA01349_00-GODFALLDELUXECON,PPSA01349,PS5,PSN,BUNDLE,EP0290,EP,PS5
EP1018-PPSA01619_00-MK11ULTIMATEKOLL,PPSA01619,PS5,PSN,BUNDLE,EP1018,EP,PS5
EP1018-PPSA01619_00-ULTIMATEUPGRADE0,PPSA01619,PS5,PSN,BUNDLE,EP1018,EP,PS5
EP1018-PPSA01696_00-BACK4BLOODDELUXE,PPSA01696,PS5,PSN,BUNDLE,EP1018,EP,PS5
EP2377-PPSA01735_00-PLANCODELUXE0000,PPSA01735,PS5,PSN,BUNDLE,EP2377,EP,PS5
EP3969-PPSA01769_00-S1GOTYH30000DIGI,PPSA01769,PS5,PSN,BUNDLE,EP3969,EP,PS5
EP9000-PPSA01288_00-DIGITALDELUXE001,PPSA01288,PS5,PSN,BUNDLE,EP9000,EP,PS5
