content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-PPSA01490_00-EXPANSIONPASS000,PPSA01490,PS5,PSN,DLC,EP0001,EP,PS5
EP0001-PPSA01490_00-STOREPACKBUNDLE0,PPSA01490,PS5,PSN,DLC,EP0001,EP,PS5
EP0001-PPSA01506_00-ADVPACK000000000,PPSA01506,PS5,PSN,DLC,EP0001,EP,PS5
EP0001-PPSA01506_00-ULTPACK000000000,PPSA01506,PS5,PSN,DLC,EP0001,EP,PS5
EP0002-PPSA02410_00-D2BLSEASON000001,PPSA02410,PS5,PSN,DLC,EP0002,EP,PS5
EP0102-PPSA01443_00-DMC5DLCBGM000005,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCBLUEORB01,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCBLUEORB02,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCBLUEORB03,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCCHARA0002,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCCHARA0003,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCCOLOR0004,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCTAUNT0002,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP0102-PPSA01443_00-DMC5DLCTAUNT0003,PPSA01443,PS5,PSN,DLC,EP0102,EP,PS5
EP1001-PPSA01463_00-00000ONGSIEEDLC1,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-00000ONGSIEEDLC2,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-00000ONGSIEEDLC3,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-00000ONGSIEEDLC4,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-00000ONGSIEEDLC5,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-BL3SEASONPASSCO1,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-BL3SEASONPASSCO2,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-OAKNGWESKINSIEE1,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-ONGCHARSKINSIEE1,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1001-PPSA01463_00-ONGCHARSKINSIEE2,PPSA01463,PS5,PSN,DLC,EP1001,EP,PS5
EP1018-PPSA01619_00-AFTERMATHSKINPAK,PPSA01619,PS5,PSN,DLC,EP1018,EP,PS5
EP1018-PPSA01619_00-AFTERMPACKINSKIN,PPSA01619,PS5,PSN,DLC,EP1018,EP,PS5
EP1018-PPSA01619_00-AFTERMSKINPACK01,PPSA01619,PS5,PSN,DLC,EP1018,EP,PS5
EP1018-PPSA01619_00-AFTERMSKINPACK02,PPSA01619,PS5,PSN,DLC,EP1018,EP,PS5
EP1018-PPSA01619_00-AFTERMSKINPACK03,PPSA01619,PS5,PSN,DLC,EP1018,EP,PS5
