contentId,titleId,platform,distribution,content_type,store,store_region,region
HP0015-NPHP00060_00-AVATAR2010111601,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2010111602,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2010111603,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2010111604,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011801,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011802,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011803,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011804,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011805,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011806,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011807,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011808,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011809,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011810,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011811,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011812,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011813,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011814,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011815,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011816,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011817,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011818,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011819,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011820,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011821,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0015-NPHP00060_00-AVATAR2011011822,NPHP00060,PSP,PSN,AVATAR,HP0015,HP,ASIA
HP0102-NPHP00056_00-AVATARAOASHIRA00,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARDOBORUBERU,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARDOSFUROGI0,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARGAHGUA0000,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARJINOUGA000,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARPAPURUBOCC,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARRANGROTORA,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARRIOREUS000,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARTIGAREXSUB,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00056_00-AVATARURUKUSUSU0,NPHP00056,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000001,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000002,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000003,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000004,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000005,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000006,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000007,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0102-NPHP00170_00-AVATAR1209000008,NPHP00170,PSP,PSN,AVATAR,HP0102,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000001,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000002,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000003,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000004,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000005,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000006,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000007,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000008,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000009,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000010,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000011,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000012,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000013,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000014,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000015,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000016,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000017,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000018,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000019,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
HP0106-NPHP00119_00-AVATAR0000000020,NPHP00119,PSP,PSN,AVATAR,HP0106,HP,ASIA
