content_id,title_id,platform,distribution,content_type,store,store_region,region
JV0010-NPMA07234_CN-0000000000010922,NPMA07234,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA29368_CN-0000000000079951,NPMA29368,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA29401_CN-0000000000079984,NPMA29401,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA29532_CN-0000000000080237,NPMA29532,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA29968_CN-0000000000082908,NPMA29968,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA30376_CN-0000000000085598,NPMA30376,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA30436_CN-0000000000086145,NPMA30436,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA30676_CN-0000000000088092,NPMA30676,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA30716_CN-0000000000088406,NPMA30716,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA30745_CN-0000000000088471,NPMA30745,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA33389_CN-0000000000116790,NPMA33389,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA37104_CN-0000000000146464,NPMA37104,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39004_CN-0000000000168242,NPMA39004,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39007_CN-0000000000168264,NPMA39007,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39409_CN-0000000000170782,NPMA39409,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39410_CN-0000000000170783,NPMA39410,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39730_CN-0000000000173758,NPMA39730,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA39887_CN-0000000000175157,NPMA39887,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA40011_CN-0000000000176264,NPMA40011,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA40544_CN-0000000000181517,NPMA40544,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA40547_CN-0000000000181532,NPMA40547,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA42084_CN-0000000000189548,NPMA42084,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA42824_CN-0000000000194768,NPMA42824,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA42965_CN-0000000000195509,NPMA42965,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA44672_CN-0000000000210687,NPMA44672,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA45306_CN-0000000000216157,NPMA45306,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA45307_CN-0000000000216163,NPMA45307,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA45916_CN-0000000000220525,NPMA45916,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA45937_CN-0000000000220706,NPMA45937,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA46411_CN-0000000000222792,NPMA46411,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA46506_CN-0000000000223204,NPMA46506,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA48491_CN-0000000000234723,NPMA48491,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA49345_CN-0000000000242692,NPMA49345,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA50106_CN-0000000000248933,NPMA50106,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53156_CN-0000000000269580,NPMA53156,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53159_CN-0000000000269613,NPMA53159,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53216_CN-0000000000269781,NPMA53216,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53219_CN-0000000000269808,NPMA53219,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53522_CN-0000000000271801,NPMA53522,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA53525_CN-0000000000271815,NPMA53525,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA55135_CN-0000000000282041,NPMA55135,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA55138_CN-0000000000282053,NPMA55138,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
JV0010-NPMA55155_CN-0000000000282521,NPMA55155,PSP,MINI,BASE_GAME,JV0010,JV,PSP_MINI
