content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-NPEF00021_00-GDRIVERXXX000001,NPEF00021,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEF00022_00-GRAINBOWSI000001,NPEF00022,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEF00023_00-GRAYMANXXX000001,NPEF00023,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEF00108_00-GRAYMAN2TH000001,NPEF00108,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEH00029_00-0000111122223333,NPEH00029,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEH00043_00-VOODOODICEFULL13,NPEH00043,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEH00110_00-GPCDRIVER7000001,NPEH00110,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASCREE000001,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASSINS000003,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASSINS000004,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASSINS000005,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASSINS000006,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00027_00-VASSASSINS000007,NPEL00027,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000001,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000002,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000003,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000004,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000006,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000009,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00079_00-VPRINCEOFP000010,NPEL00079,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00196_00-VGHOSTRECO000005,NPEL00196,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000004,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000005,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000006,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000007,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000008,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000010,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000011,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00436_00-VASSASSINS000012,NPEL00436,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00468_00-DISCONLYPARENT00,NPEL00468,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00468_00-VROCKSMITH000002,NPEL00468,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00489_00-VBABELRISI000001,NPEL00489,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00549_00-VTOMCLANCY000001,NPEL00549,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00554_00-VWATCHDOGS000009,NPEL00554,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00554_00-VWATCH_DOG000001,NPEL00554,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00554_00-VWATCH_DOG000002,NPEL00554,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00554_00-VWATCH_DOG000006,NPEL00554,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00570_00-VFARCRY3BL000001,NPEL00570,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00570_00-VFARCRY3BL000002,NPEL00570,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00581_00-VASSASSINS000003,NPEL00581,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00581_00-VASSASSINS000004,NPEL00581,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00581_00-VASSASSINS000005,NPEL00581,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00581_00-VASSASSINS000007,NPEL00581,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00581_00-VASSASSINS000010,NPEL00581,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00603_00-DISCONLYPARENT00,NPEL00603,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEL00603_00-VRAYMANLEG000001,NPEL00603,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEP00221_00-TWATCHDOGS000002,NPEP00221,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEP50009_00-WPRINCEOFP000001,NPEP50009,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEP50009_00-WPRINCEOFP000002,NPEP50009,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEP50009_00-WPRINCEOFP000003,NPEP50009,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
EP0001-NPEP50009_00-WPRINCEOFP000004,NPEP50009,PSP,PSN,BASE_GAME,EP0001,EP,EUROPE
