contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-ULES00223_00-ASIA000000000000,ULES00223,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00223_00-GPCPRINCEO000001,ULES00223,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00276_00-GPCSTREETR000001,ULES00276,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00281_00-GPCSPLINTE000001,ULES00281,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00363_00-GPCASTONIS000001,ULES00363,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00507_00-GPCOPENSEA000001,ULES00507,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00579_00-GPCPRINCEO000001,ULES00579,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00584_00-GPCTOMCLAN000001,ULES00584,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00608_00-GPCBROTHER000001,ULES00608,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00740_00-GPCDRIVER7000001,ULES00740,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES00770_00-GPCGHOSTRE000002,ULES00770,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01068_00-GPCTOMCLAN000001,ULES01068,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01266_00-PPCPETZMYB000001,ULES01266,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01267_00-PPCPETZMYP000002,ULES01267,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01302_00-0000000000002001,ULES01302,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01302_00-0000000000002002,ULES01302,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01302_00-0000000000002003,ULES01302,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01302_00-0000111122223333,ULES01302,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01318_00-DISCONLYPARENT00,ULES01318,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01319_00-CLOUDYPSP0000001,ULES01319,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
EP0001-ULES01319_00-DISCONLYPARENT00,ULES01319,PSP,UMD,BASE_GAME,EP0001,EP,EUROPE
