content_id,title_id,platform,distribution,content_type,store,store_region,region
EP9000-NPUA80002_00-BFBUNDLE_CANADA_,NPUA80002,PSP,PSN,BUNDLE,EP9000,EP,USA
ET0001-NPEP00026_00-APOCADREAMBUNDLE,NPEP00026,PSP,PSN,BUNDLE,ET0001,ET,EUROPE
ET0001-NPEP00026_00-DBACCELERABUNDLE,NPEP00026,PSP,PSN,BUNDLE,ET0001,ET,EUROPE
ET0001-NPEP00026_00-MILCOURAGEBUNDLE,NPEP00026,PSP,PSN,BUNDLE,ET0001,ET,EUROPE
ET0001-NPEP00026_00-MILFREEDOMBUNDLE,NPEP00026,PSP,PSN,BUNDLE,ET0001,ET,EUROPE
ET0001-NPEP00026_00-MILJUSTICEBUNDLE,NPEP00026,PSP,PSN,BUNDLE,ET0001,ET,EUROPE
HP0743-NPHH00054_00-PJMONSTERSDELUXE,NPHH00054,PSP,PSN,BUNDLE,HP0743,HP,ASIA
HP1017-NPHP00129_00-DARKNESS2BUNDLE1,NPHP00129,PSP,PSN,BUNDLE,HP1017,HP,ASIA
HP1017-NPHP00129_00-DARKNESS2BUNDLE2,NPHP00129,PSP,PSN,BUNDLE,HP1017,HP,ASIA
HP1017-NPHP00129_00-DARKNESS2BUNDLE3,NPHP00129,PSP,PSN,BUNDLE,HP1017,HP,ASIA
HP9000-NPHO00050_00-AVAECCHROMBUNDLE,NPHO00050,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00051_00-FLOWERBUNDLE0000,NPHO00051,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00051_00-FLOWERBUNDLE2000,NPHO00051,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00080_00-BUNDLE0000000000,NPHO00080,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00125_00-PREMIUMBUNDLE000,NPHO00125,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00170_00-AVAGWALOABUNDLE0,NPHO00170,PSP,PSN,BUNDLE,HP9000,HP,ASIA
HP9000-NPHO00170_00-AVAGWSOOBUNDLE00,NPHO00170,PSP,PSN,BUNDLE,HP9000,HP,ASIA
JP0743-NPJH00008_00-PJMONSTERSDELUXE,NPJH00008,PSP,PSN,BUNDLE,JP0743,JP,JAPAN
JP9000-NPJA00032_00-PAIN0DFBUNDLE001,NPJA00032,PSP,PSN,BUNDLE,JP9000,JP,JAPAN
JP9000-NPJA00032_00-PAIN0MOVEBUNDLE0,NPJA00032,PSP,PSN,BUNDLE,JP9000,JP,JAPAN
JP9000-NPJA00032_00-PAIN0OLBUNDLE001,NPJA00032,PSP,PSN,BUNDLE,JP9000,JP,JAPAN
