contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0776-NPEF00201_00-GPANDEMONI000001,NPEF00201,PSP,PSN,DEMO,EP0776,EP,EUROPE
EP0776-NPEF00202_00-GPANDEMONI000001,NPEF00202,PSP,PSN,DEMO,EP0776,EP,EUROPE
EP9000-NPEG90016_00-FFDISSIDIADEMO01,NPEG90016,PSP,PSN,DEMO,EP9000,EP,EUROPE
EP9000-NPUA80002_00-BLASTFACTORDEMO1,NPUA80002,PSP,PSN,DEMO,EP9000,EP,USA
ET0001-NPEP00026_00-DP1FAN1DEMONZOMB,NPEP00026,PSP,PSN,DEMO,ET0001,ET,EUROPE
ET0001-NPEP00026_00-DP1NCK1THEDEMON2,NPEP00026,PSP,PSN,DEMO,ET0001,ET,EUROPE
HP0082-NPHH00115_00-000000000000DEMO,NPHH00115,PSP,PSN,DEMO,HP0082,HP,ASIA
HP0101-NPHH00145_00-MGPEACEWALKRDEMO,NPHH00145,PSP,PSN,DEMO,HP0101,HP,ASIA
HP0177-NPHH00262_00-0KUROHYODEMOASIA,NPHH00262,PSP,PSN,DEMO,HP0177,HP,ASIA
HP0604-NPHH00007_00-KENKABA3ASIADEMO,NPHH00007,PSP,PSN,DEMO,HP0604,HP,ASIA
HP0743-NPHH00146_00-PJMONSTERSDEMO01,NPHH00146,PSP,PSN,DEMO,HP0743,HP,ASIA
HP5002-NPHH00069_00-FGPPTRIAL0000002,NPHH00069,PSP,PSN,DEMO,HP5002,HP,ASIA
HP9000-NPHG00011_00-00000SACDEMOASIA,NPHG00011,PSP,PSN,DEMO,HP9000,HP,ASIA
HP9000-NPHG00014_00-LOCOROCO2TRIALV1,NPHG00014,PSP,PSN,DEMO,HP9000,HP,ASIA
HP9000-NPHG00042_00-JAKANDDAXTERDEMO,NPHG00042,PSP,PSN,DEMO,HP9000,HP,ASIA
HP9000-NPHG00050_00-ECHOSHIFTPSPDEMO,NPHG00050,PSP,PSN,DEMO,HP9000,HP,ASIA
HP9000-NPHG00061_00-100MANTONDEMOASI,NPHG00061,PSP,PSN,DEMO,HP9000,HP,ASIA
HP9000-NPHG00091_00-GOWGSDEMO000ASIA,NPHG00091,PSP,PSN,DEMO,HP9000,HP,ASIA
JP0082-NPHH00264_00-LORDOFARCANADEMO,NPHH00264,PSP,PSN,DEMO,JP0082,JP,ASIA
JP0082-NPHH00342_00-FF0ZEROSHIKIDEMO,NPHH00342,PSP,PSN,DEMO,JP0082,JP,ASIA
JP0177-NPJH90076_00-VALKYRIA2TRIALJP,NPJH90076,PSP,PSN,DEMO,JP0177,JP,JAPAN
JP0604-NPJH90196_00-GATITORATRIAL000,NPJH90196,PSP,PSN,DEMO,JP0604,JP,JAPAN
JP0700-NPHH00298_00-0VENUSBRAVESDEMO,NPHH00298,PSP,PSN,DEMO,JP0700,JP,ASIA
JP9000-NPJA00012_00-STARSTRKDEMO0001,NPJA00012,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA00030_00-DELEFUNKPSDEMOO1,NPJA00030,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA00064_00-TUMBLEXXXTRIAL01,NPJA00064,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA00087_00-UNFINISHEDTRIAL0,NPJA00087,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90009_00-LEMMINGSDEMO0001,NPJA90009,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90063_00-UNCHARTEDDEMO001,NPJA90063,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90068_00-ASIA_SIREN_TRIAL,NPJA90068,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90068_00-SIRENNTTRIAL0001,NPJA90068,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90129_00-DEMO000000000001,NPJA90129,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90140_00-KUNGFURIDERDEMO1,NPJA90140,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90156_00-PSMOVEHEROESDEMO,NPJA90156,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90158_00-LBP2DEMO00000000,NPJA90158,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90179_00-STARHAWKSPDEMO01,NPJA90179,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90185_00-EATTHEMTRIAL0001,NPJA90185,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90206_00-GOWORIGINCOLDEMO,NPJA90206,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90220_00-CARNIVALDEMO0001,NPJA90220,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJA90244_00-LBPKARTING0DEMO1,NPJA90244,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG00034_00-DEMOADDSTAGESET1,NPJG00034,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90002_00-LRPSPDEMO0000001,NPJG90002,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90003_00-DLGDEMO000000001,NPJG90003,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90034_00-LOCOROCO2TRIALV1,NPJG90034,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90060_00-JAKANDDAXTERDEMO,NPJG90060,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90070_00-WHFDEMO000000000,NPJG90070,PSP,PSN,DEMO,JP9000,JP,JAPAN
JP9000-NPJG90077_00-Y3DDEMO000000001,NPJG90077,PSP,PSN,DEMO,JP9000,JP,JAPAN
UP0001-NPUH90024_00-SADDLECLUBDEMO01,NPUH90024,PSP,PSN,DEMO,UP0001,UP,UNKNOWN
UP0082-NPHH00307_00-LOAENGVER000DEMO,NPHH00307,PSP,PSN,DEMO,UP0082,UP,ASIA
UP0101-NPUH90066_00-MGPEACEWALKRDEMO,NPUH90066,PSP,PSN,DEMO,UP0101,UP,UNKNOWN
UP0102-NPUH90026_00-MHDEMOVERSION001,NPUH90026,PSP,PSN,DEMO,UP0102,UP,UNKNOWN
