contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-NPEH00111_00-GPCBIPACKG000001,NPEH00111,PSP,PSN,DLC,EP0001,EP,EUROPE
EP0001-NPEH00113_00-GPCBIPACKB000001,NPEH00113,PSP,PSN,DLC,EP0001,EP,EUROPE
EP0001-NPEH00115_00-GPCBIPACKP000001,NPEH00115,PSP,PSN,DLC,EP0001,EP,EUROPE
EP4101-NPEZ00444_00-ASIAJETPACKJOYRI,NPEZ00444,PSP,PSN,DLC,EP4101,EP,EUROPE
EP4101-NPEZ00444_00-JETPACKJOYRIDE00,NPEZ00444,PSP,PSN,DLC,EP4101,EP,EUROPE
EP4101-NPEZ00469_00-JETPACKJOYRIDE50,NPEZ00469,PSP,PSN,DLC,EP4101,EP,EUROPE
EP4101-NPEZ00470_00-JETPACKJOYRIDE20,NPEZ00470,PSP,PSN,DLC,EP4101,EP,EUROPE
EP4160-NPEH00102_00-PLAYENGLISHDLC00,NPEH00102,PSP,PSN,DLC,EP4160,EP,EUROPE
EP4249-NPEP50091_00-WJETPACKJO000001,NPEP50091,PSP,PSN,DLC,EP4249,EP,EUROPE
EP4478-NPEP00258_00-ASIAAUTUMNSEASON,NPEP00258,PSP,PSN,DLC,EP4478,EP,EUROPE
ET0001-NPEP00026_00-DP1DYN1SEASONSGR,NPEP00026,PSP,PSN,DLC,ET0001,ET,EUROPE
ET0001-NPEP00026_00-SEASONSSTROLLBUN,NPEP00026,PSP,PSN,DLC,ET0001,ET,EUROPE
HP9000-NPHG00024_00-LOCOROCOMCADDON2,NPHG00024,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHG00032_00-PRESELLADDONPCK0,NPHG00032,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHG00032_00-PRESELLADDONPCK1,NPHG00032,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHG00032_00-PRESELLADDONPCK2,NPHG00032,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHG00032_00-PRESELLADDONPCK3,NPHG00032,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00040_00-TOROCUSTOM00PACK,NPHO00040,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00049_00-UNCHARTED2PACK01,NPHO00049,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00049_00-UNCHARTED2PACK02,NPHO00049,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00059_00-UNCHAR_DRAKPACK1,NPHO00059,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00059_00-UNCHAR_DRAKPACK2,NPHO00059,PSP,PSN,DLC,HP9000,HP,ASIA
HP9000-NPHO00130_00-ESCAPEPLANPACK01,NPHO00130,PSP,PSN,DLC,HP9000,HP,ASIA
