content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0106-ULES01221_00-STRIKEFORCEDLC04,ULES01221,PSP,UMD,DLC,EP0106,EP,EUROPE
EP0106-ULES01221_00-STRIKEFORCEDLC05,ULES01221,PSP,UMD,DLC,EP0106,EP,EUROPE
EP0106-ULES01221_00-STRIKEFORCEDLC06,ULES01221,PSP,UMD,DLC,EP0106,EP,EUROPE
EP0106-ULES01221_00-STRIKEFORCEDLC07,ULES01221,PSP,UMD,DLC,EP0106,EP,EUROPE
EP1006-ULES01303_00-MOMENTPACK000003,ULES01303,PSP,UMD,DLC,EP1006,EP,EUROPE
EP1006-ULES01303_00-MUSICIANPACK0001,ULES01303,PSP,UMD,DLC,EP1006,EP,EUROPE
EP1006-ULES01303_00-STAGEPACK0000004,ULES01303,PSP,UMD,DLC,EP1006,EP,EUROPE
EP1006-ULES01303_00-WARDROBEPACK0002,ULES01303,PSP,UMD,DLC,EP1006,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00001,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00002,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00003,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00004,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00005,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00006,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01392_00-DISGAEA2DLC00007,ULES01392,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01418_00-BADMAN2DLC000001,ULES01418,PSP,UMD,DLC,EP1063,EP,EUROPE
EP1063-ULES01418_00-BADMAN2DLC000002,ULES01418,PSP,UMD,DLC,EP1063,EP,EUROPE
EP9000-UCES01242_00-PRESELLADDONPCK1,UCES01242,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01242_00-PRESELLADDONPCK2,UCES01242,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK001,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK002,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK003,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK004,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK007,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK008,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK009,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK010,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK011,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK012,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK013,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK014,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK015,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK016,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK017,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK018,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK019,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK020,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK021,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK022,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK023,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK024,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK025,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYCK026,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLK002,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP001,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP002,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP003,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP004,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP005,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP006,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP007,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP008,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP009,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP010,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
EP9000-UCES01264_00-LBPPDLCSONYLP011,UCES01264,PSP,UMD,DLC,EP9000,EP,EUROPE
