contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0700-PCSB00550_00-TOHR00000AVATARB,PCSB00550,PSVITA,DISC,AVATAR,EP0700,EP,EUROPE
EP4492-PCSB00601_00-CRIMSONAVATARSET,PCSB00601,PSVITA,DISC,AVATAR,EP4492,EP,EUROPE
EP4492-PCSB00601_00-GESSENAVATARSET0,PCSB00601,PSVITA,DISC,AVATAR,EP4492,EP,EUROPE
EP4492-PCSB00601_00-HANZOAVATARSET00,PCSB00601,PSVITA,DISC,AVATAR,EP4492,EP,EUROPE
EP9000-PCSF00536_00-ORESHIKAAVATARPK,PCSF00536,PSVITA,DISC,AVATAR,EP9000,EP,EUROPE
JP0005-PCSG00364_00-AVATAR1507000SET,PCSG00364,PSVITA,DISC,AVATAR,JP0005,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0001,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0002,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0003,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0004,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0005,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0006,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0007,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0008,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0009,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0010,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0011,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0012,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
JP0082-PCSG00182_00-AVATAR1311MA0013,PCSG00182,PSVITA,DISC,AVATAR,JP0082,JP,JAPAN
