contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-PCSB00074_00-AC3LIBERATION575,PCSB00074,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00074_00-EVI0000000000054,PCSB00074,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00074_00-EVI0000000000084,PCSB00074,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00079_00-RAYMANORIGINS000,PCSB00079,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00360_00-ASIARAYMANGAME00,PCSB00360,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00360_00-RAYMANLEGENDS000,PCSB00360,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00598_00-B000000000001229,PCSB00598,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00598_00-CHILDOFLIGHT0000,PCSB00598,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00792_00-ACCVITA000000001,PCSB00792,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0001-PCSB00792_00-ASIA000000000000,PCSB00792,PSVITA,DISC,BASE_GAME,EP0001,EP,EUROPE
EP0002-PCSB00213_00-DECLASSIFIEDEU01,PCSB00213,PSVITA,DISC,BASE_GAME,EP0002,EP,EUROPE
EP0002-PCSB00232_00-DECLASSIFIEDEU02,PCSB00232,PSVITA,DISC,BASE_GAME,EP0002,EP,EUROPE
EP0002-PCSB00769_00-GEOMETRYWARS3PSV,PCSB00769,PSVITA,DISC,BASE_GAME,EP0002,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2XXXXX,PCSB00539,PSVITA,DISC,BASE_GAME,EP0005,EP,EUROPE
EP0005-PCSB00599_00-AVCITIZENS000001,PCSB00599,PSVITA,DISC,BASE_GAME,EP0005,EP,EUROPE
EP0005-PCSB00599_00-AVCITIZENS000002,PCSB00599,PSVITA,DISC,BASE_GAME,EP0005,EP,EUROPE
