contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0031-PCSB00710_00-ULTIMATECLASHNEP,PCSB00710,PSVITA,DISC,BUNDLE,EP0031,EP,EUROPE
EP0031-PCSB01032_00-KAZEBUNDLE000001,PCSB01032,PSVITA,DISC,BUNDLE,EP0031,EP,EUROPE
EP0552-PCSB00967_00-SUPERBLASTDELUXE,PCSB00967,PSVITA,DISC,BUNDLE,EP0552,EP,EUROPE
EP0700-PCSB00875_00-GE2RBBUNDLE00000,PCSB00875,PSVITA,DISC,BUNDLE,EP0700,EP,EUROPE
EP0700-PCSB01183_00-PSVDMCSHMDELUXE0,PCSB01183,PSVITA,DISC,BUNDLE,EP0700,EP,EUROPE
EP1024-PCSB00404_00-MURAMASACOMPLETE,PCSB00404,PSVITA,DISC,BUNDLE,EP1024,EP,EUROPE
EP2145-PCSB00702_00-DBOXBUNDLE000000,PCSB00702,PSVITA,DISC,BUNDLE,EP2145,EP,EUROPE
EP2475-PCSB01103_00-CALIGULABUNDLE00,PCSB01103,PSVITA,DISC,BUNDLE,EP2475,EP,EUROPE
EP4042-PCSB00094_00-IRONCASTLEBUNDLE,PCSB00094,PSVITA,DISC,BUNDLE,EP4042,EP,EUROPE
EP4143-PCSB00439_00-ASIASURGEDELUXE0,PCSB00439,PSVITA,DISC,BUNDLE,EP4143,EP,EUROPE
EP4143-PCSB00439_00-SURGEDELUXE00000,PCSB00439,PSVITA,DISC,BUNDLE,EP4143,EP,EUROPE
EP4293-PCSB00956_00-GALG0000COMPLETE,PCSB00956,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000001,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000002,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000003,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000004,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000005,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000006,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000007,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000008,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000009,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000010,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000011,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000012,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000013,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000014,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000015,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000016,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000017,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000018,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000019,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
EP4293-PCSB01011_00-BUNDLE0000000020,PCSB01011,PSVITA,DISC,BUNDLE,EP4293,EP,EUROPE
