contentId,titleId,platform,distribution,content_type,store,store_region,region
EP0001-PCSB00360_00-ASIARAYMANDEMO00,PCSB00360,PSVITA,DISC,DEMO,EP0001,EP,EUROPE
EP0005-PCSB00547_00-CONCEPTION2TRIAL,PCSB00547,PSVITA,DISC,DEMO,EP0005,EP,EUROPE
EP0036-PCSB00614_00-MAGICALBEATDEMO0,PCSB00614,PSVITA,DISC,DEMO,EP0036,EP,EUROPE
EP0177-PCSB00136_00-JETSETRADIODEMO0,PCSB00136,PSVITA,DISC,DEMO,EP0177,EP,EUROPE
EP0177-PCSB00234_00-SASRTRNSFRMDDEMO,PCSB00234,PSVITA,DISC,DEMO,EP0177,EP,EUROPE
EP0177-PCSB00506_00-PJDF393PRPRTRIAL,PCSB00506,PSVITA,DISC,DEMO,EP0177,EP,EUROPE
EP0177-PCSB01009_00-PJDX393PRPRTRIAL,PCSB01009,PSVITA,DISC,DEMO,EP0177,EP,EUROPE
EP1023-PCSB01295_00-MYSTERIADEMO0000,PCSB01295,PSVITA,DISC,DEMO,EP1023,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSV2014,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSVD005,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSVD006,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSVD007,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSVD008,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB00460_00-DEMONGAZEPSVD009,PCSB00460,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC001,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC002,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC003,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC004,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC005,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC006,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZE2DLC007,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP1063-PCSB01150_00-DEMONGAZEPSV2017,PCSB01150,PSVITA,DISC,DEMO,EP1063,EP,EUROPE
EP4108-PCSB00477_00-PKGTOUKIDENDEMO0,PCSB00477,PSVITA,DISC,DEMO,EP4108,EP,EUROPE
EP4115-PCSB00025_00-ASIA00000000DEMO,PCSB00025,PSVITA,DISC,DEMO,EP4115,EP,EUROPE
EP4143-PCSB00302_00-ASIAVELOCITYDEMO,PCSB00302,PSVITA,DISC,DEMO,EP4143,EP,EUROPE
EP4175-PCSB00161_00-ASIASINEMORADEMO,PCSB00161,PSVITA,DISC,DEMO,EP4175,EP,EUROPE
EP4175-PCSB00161_00-SINEMORATRIAL001,PCSB00161,PSVITA,DISC,DEMO,EP4175,EP,EUROPE
EP4176-PCSB00056_00-ASIAAMEN000TRIAL,PCSB00056,PSVITA,DISC,DEMO,EP4176,EP,EUROPE
EP4176-PCSB00154_00-000000000000DEMO,PCSB00154,PSVITA,DISC,DEMO,EP4176,EP,EUROPE
EP4252-PCSB00732_00-AETERNOBLADEDEMO,PCSB00732,PSVITA,DISC,DEMO,EP4252,EP,EUROPE
EP4433-PCSB00560_00-ASIA00000000DEMO,PCSB00560,PSVITA,DISC,DEMO,EP4433,EP,EUROPE
EP4437-PCSB00468_00-ASIA00000000DEMO,PCSB00468,PSVITA,DISC,DEMO,EP4437,EP,EUROPE
EP8909-PCSB00854_00-XEONGPEUPSNDEMOX,PCSB00854,PSVITA,DISC,DEMO,EP8909,EP,EUROPE
EP9000-PCSF00010_00-HUSTLEKINTRIAL01,PCSF00010,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
EP9000-PCSF00022_00-TRIAL000000000EU,PCSF00022,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
EP9000-PCSF00095_00-MNRV000000DEMODE,PCSF00095,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
EP9000-PCSF00095_00-MNRV000000DLDEMO,PCSF00095,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
EP9000-PCSF00110_00-WIPEOUT2048DEMO0,PCSF00110,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
EP9000-PCSF00128_00-ZIPPERUNIT13DEMO,PCSF00128,PSVITA,DISC,DEMO,EP9000,EP,EUROPE
