content_id,title_id,platform,distribution,content_type,store,store_region,region
EP0001-PCSB00598_00-DLC0100000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0200000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0300000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0400000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0500000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0600000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0001-PCSB00598_00-DLC0700000000000,PCSB00598,PSVITA,DISC,DLC,EP0001,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC01,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC02,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC03,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC04,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC05,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC06,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC07,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC08,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC09,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC10,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC11,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC12,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC13,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
EP0005-PCSB00539_00-CONCEPTION2DLC14,PCSB00539,PSVITA,DISC,DLC,EP0005,EP,EUROPE
