game_name,id,type,region,languages,title,year,month,day,rom_name
Ultimate Shooter Pack: Resistance 3 / Killzone 3 (EN),ASIA00048,PS3,,EN,Ultimate Shooter Pack: Resistance 3 / Killzone 3,2014,,,Ultimate Shooter Pack: Resistance 3 / Killzone 3 (EN).iso
Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs (EN),ASIA00049,PS3,,EN,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs,2014,,,Square Enix Adventure Pack: Tomb Raider / Sleeping Dogs (EN).iso
Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III (EN),ASIA00050,PS3,,EN,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III,2014,,,Ultimate Adventure Pack: Uncharted 3: Drake's Deception / God of War III (EN).iso
PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 (EN),ASIA00051,PS3,,EN,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2,2014,,,PS3 Best Hit Collection Vol. 1: Uncharted 3: Drake's Deception / LittleBigPlanet 2 (EN).iso
PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III (EN),ASIA00052,PS3,,EN,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III,2014,,,PS3 Best Hit Collection Vol. 2: Resistance 3 / God of War III (EN).iso
Ultimate Uncharted Pack (EN),ASIA00074,PS3,,EN,Ultimate Uncharted Pack,2014,,,Ultimate Uncharted Pack (EN).iso
Catherine Best Selection (JA),ATS201009,PS3,,JA,Catherine Best Selection,2012,,,Catherine Best Selection (JA).iso
Ratchet & Clank: QForce (Taiwan) (ZHTW),BCAS01594,PS3,NTSC-A,ZHTW,Ratchet & Clank: QForce,2012,1,1,Ratchet & Clank: QForce (Taiwan) (ZHTW).iso
"Ridge Racer 7 (Taiwan) (EN,JA,KO)",BCAS20001,PS3,NTSC-A,"EN,JA,KO",Ridge Racer 7,2006,11,11,"Ridge Racer 7 (Taiwan) (EN,JA,KO).iso"
Genji: Kamui Souran (Taiwan) (JA),BCAS20002,PS3,NTSC-A,JA,Genji: Kamui Souran,2006,11,17,Genji: Kamui Souran (Taiwan) (JA).iso
Resistance: Fall of Man (Taiwan) (JA),BCAS20003,PS3,NTSC-A,JA,Resistance: Fall of Man,2006,12,7,Resistance: Fall of Man (Taiwan) (JA).iso
MotorStorm (Taiwan) (EN),BCAS20004,PS3,NTSC-A,EN,MotorStorm,2008,5,22,MotorStorm (Taiwan) (EN).iso
Armored Core 4 (Taiwan) (JA),BCAS20005,PS3,NTSC-A,JA,Armored Core 4,2006,12,1,Armored Core 4 (Taiwan) (JA).iso
NBA '07 (Taiwan),BCAS20006,PS3,NTSC-A,,NBA '07,2007,1,11,NBA '07 (Taiwan).iso
Railfan (Taiwan) (JA),BCAS20007,PS3,NTSC-A,JA,Railfan,2006,12,21,Railfan (Taiwan) (JA).iso
Enchant Arm (Taiwan) (JA),BCAS20008,PS3,NTSC-A,JA,Enchant Arm,2007,1,25,Enchant Arm (Taiwan) (JA).iso
Formula One Championship Edition (Taiwan) (EN),BCAS20009,PS3,NTSC-A,EN,Formula One Championship Edition,2007,3,23,Formula One Championship Edition (Taiwan) (EN).iso
MLB 07: The Show (Taiwan) (EN),BCAS20010,PS3,NTSC-A,EN,MLB 07: The Show,2007,5,1,MLB 07: The Show (Taiwan) (EN).iso
Ninja Gaiden Sigma (Taiwan) (JA),BCAS20012,PS3,NTSC-A,JA,Ninja Gaiden Sigma,2007,6,14,Ninja Gaiden Sigma (Taiwan) (JA).iso
